project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
jedi,2023-02-07 07:39:05.672000,{jedi},{c89fa8e9275502227b913d2ce01b569977dea1e6},2023-02-08 07:15:37.243000,{jedi},{aeadba7cad3b7aa74effe98796cac25601332eb7},9454.0,38137.0,9454.0,38137.0,0.0,0.0
jedi,2023-02-10 06:11:30.106000,{jedi},{aeadba7cad3b7aa74effe98796cac25601332eb7},2023-02-11 06:44:14.106000,{jedi},{b0025ee6bac9a7ed1ec4041f38cfdd9f14dc54d3},9483.0,38137.0,9483.0,38137.0,0.0,0.0
jedi,2023-02-13 19:35:23.344000,{jedi},{b0025ee6bac9a7ed1ec4041f38cfdd9f14dc54d3},2023-02-14 06:09:01.691000,{jedi},{b814ca2951b29be2a103395039240dbe6c5c154d},9482.0,38137.0,9482.0,38137.0,0.0,0.0
jedi,2023-03-13 06:57:41.282000,{jedi},{b814ca2951b29be2a103395039240dbe6c5c154d},2023-03-14 06:31:17.609000,{jedi},{6ee33bd385c9f5e3b1ceba6338d465953d64f7a2},5569.0,16395.0,5570.0,16399.0,4.0,-0.0021873707106720985
jedi,2023-03-21 06:47:54.922000,{jedi},{6ee33bd385c9f5e3b1ceba6338d465953d64f7a2},2023-03-22 06:06:54.262000,{jedi},{77cfefc1cc25d41b10018c3457ad91e445c2622a},5568.0,16399.0,5569.0,16399.0,0.0,0.006097932800777528
jedi,2023-04-12 06:19:52.782000,{jedi},{77cfefc1cc25d41b10018c3457ad91e445c2622a},2023-04-13 06:26:44.748000,{jedi},{431d1e104d3d70944d79df4dd5dd8d982811d798},5570.0,16399.0,5570.0,16399.0,0.0,0.0
jedi,2023-04-21 07:14:15.796000,{jedi},{431d1e104d3d70944d79df4dd5dd8d982811d798},2023-04-22 06:47:13.026000,{jedi},{825c6b93bf67f5b44552357db52a11b3f62cf864},5570.0,16399.0,5570.0,16399.0,0.0,0.0
jedi,2023-05-26 07:03:32.885000,{jedi},{825c6b93bf67f5b44552357db52a11b3f62cf864},2023-05-27 06:15:19.203000,{jedi},{3dbcd2c6de98bb72a0f01cdac5daf198f8df7422},5569.0,16399.0,5569.0,16399.0,0.0,0.0
jedi,2023-05-27 06:15:19.203000,{jedi},{3dbcd2c6de98bb72a0f01cdac5daf198f8df7422},2023-05-28 06:11:21.883000,{jedi},{d421b920fabbf2d4f5119f5e8a2413c5765a3372},5569.0,16399.0,5568.0,16402.0,3.0,-0.012308143110757896
jedi,2023-05-28 06:11:21.883000,{jedi},{d421b920fabbf2d4f5119f5e8a2413c5765a3372},2023-05-29 06:38:42.951000,{jedi},{a28bd24befa4331101d151df10445367de8df16a},5568.0,16402.0,5571.0,16413.0,11.0,-0.004473153955323994
