project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
jimfs,2022-09-21 06:04:07.504000,"{jimfs,centipede,aflplusplus}","{139c10e662eb99a14f4475a983e4afc53e112beb,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:13:43.406000,"{jimfs,centipede,aflplusplus}","{139c10e662eb99a14f4475a983e4afc53e112beb,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2382.0,11262.0,2382.0,11262.0,0.0,0.0
jimfs,2022-10-03 06:05:40.994000,"{jimfs,centipede,aflplusplus}","{139c10e662eb99a14f4475a983e4afc53e112beb,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-04 06:22:39.272000,"{jimfs,centipede,aflplusplus}","{10806eec8baf29306fec9a0de65004bb03d1df9d,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2382.0,11262.0,2382.0,11262.0,0.0,0.0
jimfs,2022-10-13 06:13:36.206000,"{jimfs,centipede,aflplusplus}","{10806eec8baf29306fec9a0de65004bb03d1df9d,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-14 06:31:24.576000,"{jimfs,centipede,aflplusplus}","{2c7330557d5387a0460d99f30533b31ee9cdd3a4,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2382.0,11262.0,2382.0,11262.0,0.0,0.0
jimfs,2022-10-20 06:39:50.932000,"{jimfs,centipede,aflplusplus}","{2c7330557d5387a0460d99f30533b31ee9cdd3a4,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-20 23:35:27.271000,"{jimfs,centipede,aflplusplus}","{c6a44ad2d871bd0399ea0b44adace8e50c59a309,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2382.0,11262.0,2382.0,11262.0,0.0,0.0
jimfs,2022-10-26 19:17:36.541000,"{jimfs,centipede,aflplusplus}","{c6a44ad2d871bd0399ea0b44adace8e50c59a309,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:36:14.627000,"{jimfs,centipede}","{c6a44ad2d871bd0399ea0b44adace8e50c59a309,baa82e7189677bb9086beb5d9b5e58018d991607}",2382.0,11262.0,2424.0,11262.0,0.0,0.37293553542887636
jimfs,2022-11-16 06:06:03.008000,"{jimfs,centipede}","{c6a44ad2d871bd0399ea0b44adace8e50c59a309,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:11:42.605000,{jimfs},{c6a44ad2d871bd0399ea0b44adace8e50c59a309},2382.0,11262.0,2382.0,11262.0,0.0,0.0
jimfs,2023-01-06 06:04:54.736000,{jimfs},{c6a44ad2d871bd0399ea0b44adace8e50c59a309},2023-01-13 06:06:25.515000,{jimfs},{0585fa1b182fc92893ccf1807bbd9f6e642ed755},2382.0,11262.0,2423.0,11262.0,0.0,0.36405611791866477
jimfs,2023-01-13 06:06:25.515000,{jimfs},{0585fa1b182fc92893ccf1807bbd9f6e642ed755},2023-01-14 06:45:42.335000,{jimfs},{b35d4c93ce9ded8af63821cd363df48d5a1f5f5c},2423.0,11262.0,2382.0,11262.0,0.0,-0.36405611791866477
jimfs,2023-02-21 06:25:01.369000,{jimfs},{b35d4c93ce9ded8af63821cd363df48d5a1f5f5c},2023-02-22 06:40:23.441000,{jimfs},{67919281372c3067c2f33e2528aa5cdca01394bb},2423.0,11262.0,2423.0,11262.0,0.0,0.0
jimfs,2023-02-28 06:46:02.531000,{jimfs},{67919281372c3067c2f33e2528aa5cdca01394bb},2023-03-01 06:19:03.391000,{jimfs},{845b66d5f832b550b92d5cb0fe164727b2849889},2382.0,11262.0,2382.0,11262.0,0.0,0.0
