project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
jinja2,2022-12-29 06:11:37.995000,{jinja},{ae53ea5350c5dd622c7e4b85f8aca5dedc5af7a7},2022-12-30 06:15:37.951000,{jinja},{36b601f24b30a91fe2fdc857116382bcb7655466},4716.0,10946.0,4716.0,10946.0,0.0,0.0
jinja2,2023-01-03 06:27:20.423000,{jinja},{36b601f24b30a91fe2fdc857116382bcb7655466},2023-01-03 21:41:00.211000,{jinja},{80e7a83235025bcd4190a88dfd3fe7c644462954},4727.0,10946.0,4727.0,10946.0,0.0,0.0
jinja2,2023-01-09 06:36:01.159000,{jinja},{80e7a83235025bcd4190a88dfd3fe7c644462954},2023-01-10 06:16:16.509000,{jinja},{89eec1c5ee5022342f05c121dccb0e7b8b0ac523},4845.0,11148.0,4884.0,11148.0,0.0,0.3498385360602754
jinja2,2023-01-19 06:15:36.688000,{jinja},{89eec1c5ee5022342f05c121dccb0e7b8b0ac523},2023-01-20 06:47:29.340000,{jinja},{05a5f8120a62f2e1da322131c632be2ba8d969fc},4948.0,11148.0,4960.0,11148.0,0.0,0.10764262648008582
jinja2,2023-01-20 06:47:29.340000,{jinja},{05a5f8120a62f2e1da322131c632be2ba8d969fc},2023-01-21 06:33:22.295000,{jinja},{96a83e90145436dc47c902d3a9039bfbcb6699b0},4960.0,11148.0,4960.0,11148.0,0.0,0.0
jinja2,2023-02-01 06:17:30.805000,{jinja},{96a83e90145436dc47c902d3a9039bfbcb6699b0},2023-02-01 18:07:58.810000,{jinja},{37561cead6fc8b11684e09bfe35987a0b39a5d54},5030.0,11148.0,5030.0,11148.0,0.0,0.0
jinja2,2023-02-07 06:52:09.366000,{jinja},{37561cead6fc8b11684e09bfe35987a0b39a5d54},2023-02-08 06:54:34.545000,{jinja},{b7cb6ee6675b12a027c5e7518f832b2926dfe293},4967.0,11117.0,4967.0,11117.0,0.0,0.0
jinja2,2023-03-01 06:37:06.784000,{jinja},{b7cb6ee6675b12a027c5e7518f832b2926dfe293},2023-03-02 06:48:58.578000,{jinja},{9dad679695ccf84f06f8df897a6c5908e1963363},3589.0,5871.0,3589.0,5871.0,0.0,0.0
jinja2,2023-04-03 06:27:24.302000,{jinja},{9dad679695ccf84f06f8df897a6c5908e1963363},2023-04-04 07:14:08.294000,{jinja},{85e5ad85d10eaf119dc0f17f245118c9f78bb864},3590.0,5871.0,3590.0,5871.0,0.0,0.0
jinja2,2023-04-07 06:27:44.849000,{jinja},{85e5ad85d10eaf119dc0f17f245118c9f78bb864},2023-04-08 07:10:10.061000,{jinja},{090a5a9e22a7888da93ead324b33b255d106a0c2},3590.0,5871.0,3590.0,5871.0,0.0,0.0
jinja2,2023-05-01 06:24:21.987000,{jinja},{090a5a9e22a7888da93ead324b33b255d106a0c2},2023-05-01 22:55:22.511000,{jinja},{953acd65b2be5428482dcb60f5b8481b66252ac9},3590.0,5871.0,3590.0,5871.0,0.0,0.0
jinja2,2023-06-01 16:06:13.648000,{jinja},{953acd65b2be5428482dcb60f5b8481b66252ac9},2023-06-02 07:26:47.990000,{jinja},{7b48764688dce68e99341bec59b1eedf0c5c3ba5},3590.0,5871.0,3590.0,5873.0,2.0,-0.020823434588884027
jinja2,2023-06-27 07:07:48.571000,{jinja},{7b48764688dce68e99341bec59b1eedf0c5c3ba5},2023-06-28 07:48:21.720000,{jinja},{fed2d0808f1101eb0fb0fdec9e29d49fa48c549a},3606.0,5894.0,3606.0,5894.0,0.0,0.0
jinja2,2023-06-28 07:48:21.720000,{jinja},{fed2d0808f1101eb0fb0fdec9e29d49fa48c549a},2023-07-13 07:12:40.242000,{jinja},{2a2bfb7f95cb76673f3f7fbdb0c9ef38c7a33537},3606.0,5894.0,3606.0,5894.0,0.0,0.0
jinja2,2023-08-01 06:14:19.633000,{jinja},{2a2bfb7f95cb76673f3f7fbdb0c9ef38c7a33537},2023-08-02 06:40:20.667000,{jinja},{86f28a9df0a97a3d3bfa3785b082651e2a8e994d},3606.0,5894.0,3606.0,5894.0,0.0,0.0
