project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
jq,2023-07-19 07:17:33.072000,{jq},{0615d4982c1f3973a37972539a44958f18c02ba6},2023-07-20 06:40:31.433000,{jq},{3ec66c858ca38306192d64b274e4819accbd1a9d},1560.0,39557.0,1560.0,39553.0,-4.0,0.0003988244850270384
jq,2023-07-20 06:40:31.433000,{jq},{3ec66c858ca38306192d64b274e4819accbd1a9d},2023-07-21 06:05:53.239000,{jq},{99a77f724b6bd4006ade19592b506ebba5a2bfa0},1560.0,39553.0,1560.0,39554.0,1.0,-9.971368353545174e-05
jq,2023-07-21 06:05:53.239000,{jq},{99a77f724b6bd4006ade19592b506ebba5a2bfa0},2023-07-22 06:17:24.191000,{jq},{e0e1b2293ece0a15808ea548437d120d796ea3af},1560.0,39554.0,1560.0,39554.0,0.0,0.0
jq,2023-07-22 06:17:24.191000,{jq},{e0e1b2293ece0a15808ea548437d120d796ea3af},2023-07-23 06:04:14.395000,{jq},{575372222a7aced6153df416c1abd92abd050b5e},1560.0,39554.0,1560.0,39554.0,0.0,0.0
jq,2023-07-23 06:04:14.395000,{jq},{575372222a7aced6153df416c1abd92abd050b5e},2023-07-24 06:08:15.625000,{jq},{98f709d0c1fd87a8b6a3e10c679442667712b264},1560.0,39554.0,1560.0,39568.0,14.0,-0.0013954623571628133
jq,2023-07-24 06:08:15.625000,{jq},{98f709d0c1fd87a8b6a3e10c679442667712b264},2023-07-25 06:40:16.359000,{jq},{4705a22c7d8e9238161cbba9b6bad875155e28df},1560.0,39568.0,1562.0,39599.0,31.0,0.0019641916276174065
jq,2023-07-25 06:40:16.359000,{jq},{4705a22c7d8e9238161cbba9b6bad875155e28df},2023-07-26 07:11:23.681000,{jq},{13fbe98dff927dbe6a3eddd89e4487af3f009185},1562.0,39599.0,6647.0,39652.0,53.0,12.818797013142603
jq,2023-07-26 07:11:23.681000,{jq},{13fbe98dff927dbe6a3eddd89e4487af3f009185},2023-07-27 07:12:06.263000,{jq},{668607e3054d70bee596681f4558da685df81b6f},6647.0,39652.0,6795.0,39652.0,0.0,0.37324725108443246
jq,2023-07-27 07:12:06.263000,{jq},{668607e3054d70bee596681f4558da685df81b6f},2023-07-28 06:37:41.221000,{jq},{17889a1a85c79b8e08179370aec51131f69a503e},6795.0,39652.0,6851.0,39653.0,1.0,0.14079296425697052
jq,2023-07-28 06:37:41.221000,{jq},{17889a1a85c79b8e08179370aec51131f69a503e},2023-07-29 06:18:10.118000,{jq},{70bbd10b0b58e797d03963264fc934879bb44454},6851.0,39653.0,7396.0,39660.0,7.0,1.3711310723908596
jq,2023-07-29 06:18:10.118000,{jq},{70bbd10b0b58e797d03963264fc934879bb44454},2023-07-30 06:47:06.996000,{jq},{4af3f99728f924b327b6f455c52452ef0ca09e1a},7396.0,39660.0,7436.0,39669.0,9.0,0.09660347850475048
jq,2023-07-30 06:47:06.996000,{jq},{4af3f99728f924b327b6f455c52452ef0ca09e1a},2023-07-31 07:23:51.797000,{jq},{c8e28da12973f8844ac0457e2db6ccd56286b34a},7436.0,39669.0,7479.0,39669.0,0.0,0.10839698505130002
jq,2023-07-31 07:23:51.797000,{jq},{c8e28da12973f8844ac0457e2db6ccd56286b34a},2023-08-01 06:06:03.727000,{jq},{29698118c51d2f04ccdacb3518b0c86551970a7a},7479.0,39669.0,7566.0,39671.0,2.0,0.21835328008779342
jq,2023-08-01 06:06:03.727000,{jq},{29698118c51d2f04ccdacb3518b0c86551970a7a},2023-08-02 06:17:32.158000,{jq},{680baeffeb7983e7570b5e68db07fe47f94db8c7},7566.0,39671.0,7606.0,39672.0,1.0,0.10034604088276922
jq,2023-08-02 06:17:32.158000,{jq},{680baeffeb7983e7570b5e68db07fe47f94db8c7},2023-08-03 06:16:58.814000,{jq},{ff4bf68b29a4bf75387bc1918e49937758509e78},7606.0,39672.0,7678.0,39672.0,0.0,0.18148820326678816
jq,2023-08-03 06:16:58.814000,{jq},{ff4bf68b29a4bf75387bc1918e49937758509e78},2023-08-04 06:21:46.287000,{jq},{71941a0d4706fecf641df249c27ec73771bc149c},7678.0,39672.0,7677.0,39666.0,-6.0,0.0004064488997350679
jq,2023-08-04 06:21:46.287000,{jq},{71941a0d4706fecf641df249c27ec73771bc149c},2023-08-05 07:08:53.778000,{jq},{f94a9d463ffb3422861a0da140470dbf5ce76632},7677.0,39666.0,7833.0,39641.0,-25.0,0.4057378136220784
jq,2023-08-05 07:08:53.778000,{jq},{f94a9d463ffb3422861a0da140470dbf5ce76632},2023-08-06 06:31:48.181000,{jq},{a6920601299913ec5f9c9a8883517ec10dd71ffe},7833.0,39641.0,7949.0,39641.0,0.0,0.29262632123306886
jq,2023-08-09 06:40:01.543000,{jq},{a6920601299913ec5f9c9a8883517ec10dd71ffe},2023-08-10 06:22:41.020000,{jq},{d1a6da22054fc249ae4cbe04402709b029101786},7987.0,39641.0,7987.0,39641.0,0.0,0.0
