project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
json-smart-v2,2023-03-17 06:26:08.290000,{json-smart},{08517d2033289386aa97462ce43b986eee928b9f},2023-03-18 06:19:25.339000,{json-smart},{d6a8c5e0facd25bc3aa6bdc712e7451767c1e804},586.0,1845.0,587.0,1846.0,1.0,0.0369655917577596
json-smart-v2,2023-03-19 06:26:46.191000,{json-smart},{d6a8c5e0facd25bc3aa6bdc712e7451767c1e804},2023-03-20 06:09:25.431000,{json-smart},{53f7b12f338ec74a011696b6c4bf8ff109504f4b},587.0,1846.0,587.0,1846.0,0.0,0.0
json-smart-v2,2023-03-22 06:08:00.140000,{json-smart},{53f7b12f338ec74a011696b6c4bf8ff109504f4b},2023-03-23 06:59:48.515000,{json-smart},{618d3546061ad93f3e04b11b1806cfcc465e1cf8},587.0,1846.0,587.0,1846.0,0.0,0.0
json-smart-v2,2023-03-26 06:10:36.486000,{json-smart},{618d3546061ad93f3e04b11b1806cfcc465e1cf8},2023-03-27 06:17:51.470000,{json-smart},{d1b662e738f0e5727ccb47531a88cf0e18b35b63},587.0,1846.0,587.0,1846.0,0.0,0.0
json-smart-v2,2023-03-28 06:34:22.434000,{json-smart},{d1b662e738f0e5727ccb47531a88cf0e18b35b63},2023-03-29 06:04:33.119000,{json-smart},{30cf1ac78683e479920179e0de0f8496cb2d825a},587.0,1846.0,587.0,1846.0,0.0,0.0
json-smart-v2,2023-04-26 06:05:06.956000,{json-smart},{30cf1ac78683e479920179e0de0f8496cb2d825a},2023-04-27 06:20:44.651000,{json-smart},{5a0297ef13127562dfc1e4e6a3fba8e0a13b1c32},587.0,1846.0,587.0,1846.0,0.0,0.0
json-smart-v2,2023-05-05 06:29:07.410000,{json-smart},{5a0297ef13127562dfc1e4e6a3fba8e0a13b1c32},2023-05-06 06:34:02.373000,{json-smart},{b79fc56282f6255c056156ad3c4c18e67e8ae072},587.0,1846.0,587.0,1846.0,0.0,0.0
json-smart-v2,2023-05-07 06:13:54.916000,{json-smart},{b79fc56282f6255c056156ad3c4c18e67e8ae072},2023-05-08 06:48:12.475000,{json-smart},{87a9d5c0e105ef3965c9433d2035fecbf597fde9},587.0,1846.0,587.0,1846.0,0.0,0.0
json-smart-v2,2023-05-17 06:06:12.094000,{json-smart},{87a9d5c0e105ef3965c9433d2035fecbf597fde9},2023-05-18 06:18:23.819000,{json-smart},{1deae1e79a706c6480e2bc8a8f7a861803411442},587.0,1846.0,587.0,1846.0,0.0,0.0
json-smart-v2,2023-05-18 06:18:23.819000,{json-smart},{1deae1e79a706c6480e2bc8a8f7a861803411442},2023-05-19 06:13:17.645000,{json-smart},{d30f3ccd908b2cd4af99c3878201bc992c858143},587.0,1846.0,587.0,1846.0,0.0,0.0
json-smart-v2,2023-05-21 06:06:41.642000,{json-smart},{d30f3ccd908b2cd4af99c3878201bc992c858143},2023-05-22 06:48:40.771000,{json-smart},{9c22ee2a84049ceda2b8cce853ecb8917df8c1df},587.0,1846.0,587.0,1846.0,0.0,0.0
json-smart-v2,2023-06-04 07:51:37.222000,{json-smart},{9c22ee2a84049ceda2b8cce853ecb8917df8c1df},2023-06-05 07:08:18.808000,{json-smart},{2a7ba6eccef15ac81dffd4b0ce86858e48b24fec},587.0,1846.0,587.0,1846.0,0.0,0.0
json-smart-v2,2023-07-09 06:43:02.988000,{json-smart},{2a7ba6eccef15ac81dffd4b0ce86858e48b24fec},2023-07-10 06:44:56.647000,{json-smart},{54eb6f06cf4f63687d1147a9a3beaba8750e7be0},1360.0,3702.0,1361.0,3703.0,1.0,0.017084283290969893
json-smart-v2,2023-07-23 06:38:32.240000,{json-smart},{54eb6f06cf4f63687d1147a9a3beaba8750e7be0},2023-07-24 06:04:18.803000,{json-smart},{f20a32d7853db979e461bb18786ee6925d4c2763},1361.0,3703.0,1361.0,3703.0,0.0,0.0
json-smart-v2,2023-11-28 06:38:04.429000,{json-smart},{f20a32d7853db979e461bb18786ee6925d4c2763},2023-11-29 07:09:07.552000,{json-smart},{9bd9d2a2aef9e35cfe70dca3430ed3ad32649686},588.0,8901.0,588.0,8974.0,73.0,-0.05373723543481734
json-smart-v2,2023-12-02 06:13:13.691000,{json-smart},{9bd9d2a2aef9e35cfe70dca3430ed3ad32649686},2023-12-04 06:08:50.179000,{json-smart},{99c18727916f5ce68c2cc5ba5a10b54464286a80},588.0,8974.0,588.0,8974.0,0.0,0.0
json-smart-v2,2023-12-18 07:03:21.279000,{json-smart},{99c18727916f5ce68c2cc5ba5a10b54464286a80},2023-12-19 06:59:37.837000,{json-smart},{142a59a1c62c224eb223486e11be02afc3a1c2df},588.0,8974.0,588.0,8974.0,0.0,0.0
json-smart-v2,2024-01-15 06:21:21.312000,{json-smart},{142a59a1c62c224eb223486e11be02afc3a1c2df},2024-01-16 06:07:06.911000,{json-smart},{0f3fdc691827149470511e0ed9ff33289cdfd634},588.0,8974.0,588.0,8974.0,0.0,0.0
json-smart-v2,2024-03-12 06:22:08.127000,{json-smart},{0f3fdc691827149470511e0ed9ff33289cdfd634},2024-03-13 06:08:06.074000,{json-smart},{fca4257f0d2544a4b242b44b21a5b186fb239962},588.0,8974.0,588.0,8974.0,0.0,0.0
json-smart-v2,2024-03-14 06:22:50.392000,{json-smart},{fca4257f0d2544a4b242b44b21a5b186fb239962},2024-03-15 06:28:32.316000,{json-smart},{e62420efabc344cf9986cd8aa940d7e4e203d6a3},588.0,8974.0,588.0,8974.0,0.0,0.0
json-smart-v2,2024-03-18 06:19:07.176000,{json-smart},{e62420efabc344cf9986cd8aa940d7e4e203d6a3},2024-03-19 06:33:44.231000,{json-smart},{8346cf476ae583ab13d9e69360c3f095c2cdfed0},588.0,8974.0,588.0,8981.0,7.0,-0.0051069852614844535
json-smart-v2,2024-03-29 06:08:36.897000,{json-smart},{8346cf476ae583ab13d9e69360c3f095c2cdfed0},2024-03-30 06:03:56.124000,{json-smart},{ac2afa6d29e10fdabbe5274c1b938a0977d879bd},588.0,8981.0,588.0,8981.0,0.0,0.0
json-smart-v2,2024-04-30 06:12:57.434000,{json-smart},{ac2afa6d29e10fdabbe5274c1b938a0977d879bd},2024-05-01 06:06:40.909000,{json-smart},{6d1d8b0b460b8cd9c47e4bc82e4e395658e939c2},588.0,8981.0,588.0,8981.0,0.0,0.0
json-smart-v2,2024-05-13 06:37:57.247000,{json-smart},{6d1d8b0b460b8cd9c47e4bc82e4e395658e939c2},2024-05-14 06:11:36.185000,{json-smart},{4b1a6b516b10deec9edbaabf8eaccefa14667628},588.0,8981.0,588.0,8981.0,0.0,0.0
json-smart-v2,2024-05-31 06:06:00.166000,{json-smart},{4b1a6b516b10deec9edbaabf8eaccefa14667628},2024-06-02 06:35:41.502000,{json-smart},{069ddab3f66d45e19b3fb4e1ff344e6b868dd43a},588.0,8981.0,588.0,8981.0,0.0,0.0
json-smart-v2,2024-06-30 06:20:19.360000,{json-smart},{069ddab3f66d45e19b3fb4e1ff344e6b868dd43a},2024-07-01 06:35:04.379000,{json-smart},{5dc008157163568c835deeb6369417027c16edd3},588.0,8981.0,588.0,8981.0,0.0,0.0
json-smart-v2,2024-07-31 06:12:45.430000,{json-smart},{5dc008157163568c835deeb6369417027c16edd3},2024-08-01 06:14:35.272000,{json-smart},{ae7d4cd8a2e23c45834ffdae62f43ca6c25b486f},588.0,8981.0,588.0,8981.0,0.0,0.0
json-smart-v2,2024-08-31 06:30:16.465000,{json-smart},{ae7d4cd8a2e23c45834ffdae62f43ca6c25b486f},2024-09-01 06:34:20.110000,{json-smart},{e88db65f184d3c82d06b7b4db2581a98e4d26128},588.0,8981.0,588.0,8981.0,0.0,0.0
json-smart-v2,2024-10-01 06:40:27.176000,{json-smart},{e88db65f184d3c82d06b7b4db2581a98e4d26128},2024-10-02 06:50:56.252000,{json-smart},{0ca953888efe124c727a0e3fa39e255caa8ee9f2},588.0,8981.0,588.0,8981.0,0.0,0.0
json-smart-v2,2024-10-06 08:13:32.327000,{json-smart},{0ca953888efe124c727a0e3fa39e255caa8ee9f2},2024-10-12 13:28:34.388000,{json-smart},{833c5bdcc6cd13f9d72c1102fdc39f96ef0a145a},588.0,8981.0,588.0,9000.0,19.0,-0.013821771888802736
json-smart-v2,2024-10-31 06:04:34.725000,{json-smart},{833c5bdcc6cd13f9d72c1102fdc39f96ef0a145a},2024-11-01 06:44:42.150000,{json-smart},{b368fa127fcacc1c4e93c2fdaaacd912d78e9456},588.0,9000.0,588.0,9000.0,0.0,0.0
