project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
jul-to-slf4j,2022-05-17 06:37:29.470000,"{slf4j,aflplusplus}","{e454d28282e5db980d5be7afb3a5894b9ac9b35c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-18 06:26:13.620000,"{slf4j,aflplusplus}","{82a592ed790cc8072aef1455f1065b6c9d207501,c208dcf9c573e3d85990c7dea777646f7fa4961c}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-05-27 06:04:16.025000,"{slf4j,aflplusplus}","{82a592ed790cc8072aef1455f1065b6c9d207501,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-28 06:12:38.560000,"{slf4j,aflplusplus}","{ae032b12970b0d17b9c5e97c8657619a37e36be3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-06-08 06:04:38.737000,"{slf4j,aflplusplus}","{ae032b12970b0d17b9c5e97c8657619a37e36be3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-09 06:22:34.354000,"{slf4j,aflplusplus}","{5537ff1699373d8ea99a462924ea456c0941bf64,c208dcf9c573e3d85990c7dea777646f7fa4961c}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-06-11 06:04:36.384000,"{slf4j,aflplusplus}","{5537ff1699373d8ea99a462924ea456c0941bf64,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-16 06:04:53.655000,"{slf4j,aflplusplus}","{c0001d461946ca4b147a24e66b8e9e1582b5d56a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-07-21 06:21:45.895000,"{slf4j,aflplusplus}","{c0001d461946ca4b147a24e66b8e9e1582b5d56a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-22 06:10:57.017000,"{slf4j,aflplusplus}","{d93a5e0456f83b83e2336f47d12e2493fd67510f,c208dcf9c573e3d85990c7dea777646f7fa4961c}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-08-05 18:03:22.572000,"{slf4j,aflplusplus}","{d93a5e0456f83b83e2336f47d12e2493fd67510f,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-06 06:39:06.617000,"{slf4j,aflplusplus}","{2314de9dd9f9abbef360f5c6240487c0ac7e5fc3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-08-06 06:39:06.617000,"{slf4j,aflplusplus}","{2314de9dd9f9abbef360f5c6240487c0ac7e5fc3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-07 06:24:04.738000,"{slf4j,aflplusplus}","{b1afcd01b1092f0dfda12b4502aa202124e24a8e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-08-10 06:03:54.309000,"{slf4j,aflplusplus}","{b1afcd01b1092f0dfda12b4502aa202124e24a8e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-21 06:24:11.963000,"{slf4j,centipede,aflplusplus}","{0645c18cafbad8dfcebf2d57926cba496c8ab055,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-09-21 06:24:11.963000,"{slf4j,centipede,aflplusplus}","{0645c18cafbad8dfcebf2d57926cba496c8ab055,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:27:20.949000,"{slf4j,centipede,aflplusplus}","{eb1710af7bbc4a05efa1078d34ee076e1c591a73,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-09-25 06:07:34.238000,"{slf4j,centipede,aflplusplus}","{eb1710af7bbc4a05efa1078d34ee076e1c591a73,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-26 06:38:09.818000,"{slf4j,centipede,aflplusplus}","{bcbbe40ffde9b32729198014a771482cf796c5af,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-09-26 06:38:09.818000,"{slf4j,centipede,aflplusplus}","{bcbbe40ffde9b32729198014a771482cf796c5af,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-27 06:15:49.712000,"{slf4j,centipede,aflplusplus}","{b500a6fdfd80772b089cd4069430dd0f6106afb1,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-09-28 06:29:48.231000,"{slf4j,centipede,aflplusplus}","{b500a6fdfd80772b089cd4069430dd0f6106afb1,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-29 01:16:36.035000,"{slf4j,centipede,aflplusplus}","{47c7cc7fa46d883d46b4000028aab6ef5562a139,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-10-11 06:30:47.475000,"{slf4j,centipede,aflplusplus}","{47c7cc7fa46d883d46b4000028aab6ef5562a139,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-12 06:30:28.192000,"{slf4j,centipede,aflplusplus}","{e540299d58bc5f53cab3236cc1b2f29281982074,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-10-26 19:43:28.158000,"{slf4j,centipede,aflplusplus}","{e540299d58bc5f53cab3236cc1b2f29281982074,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:27:24.904000,"{slf4j,centipede}","{e540299d58bc5f53cab3236cc1b2f29281982074,baa82e7189677bb9086beb5d9b5e58018d991607}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-11-14 06:02:45.579000,"{slf4j,centipede}","{e540299d58bc5f53cab3236cc1b2f29281982074,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-15 06:03:58.008000,"{slf4j,centipede}","{632410565b26e4d67fc7ef2ce4c212380b4e59d1,baa82e7189677bb9086beb5d9b5e58018d991607}",14.0,87.0,14.0,87.0,0.0,0.0
jul-to-slf4j,2022-11-16 06:09:51.428000,"{slf4j,centipede}","{632410565b26e4d67fc7ef2ce4c212380b4e59d1,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:26:25.246000,{slf4j},{632410565b26e4d67fc7ef2ce4c212380b4e59d1},14.0,87.0,14.0,87.0,0.0,0.0
