project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
lame,2019-03-23 14:07:34.589000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,356832}",2019-03-24 14:07:16.781000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,356855}",11777.0,20125.0,11870.0,20125.0,0.0,0.46211180124223716
lame,2019-03-24 14:07:16.781000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,356855}",2019-03-25 14:18:36.531000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,356898}",11870.0,20125.0,11875.0,20125.0,0.0,0.024844720496901118
lame,2019-03-25 14:18:36.531000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,356898}",2019-04-01 14:10:27.579000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357388}",11875.0,20125.0,11890.0,20125.0,0.0,0.07453416149068204
lame,2019-04-01 14:10:27.579000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357388}",2019-04-02 16:19:42.597000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357489}",11890.0,20125.0,11890.0,20125.0,0.0,0.0
lame,2019-04-02 16:19:42.597000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357489}",2019-04-03 14:04:53.736000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357581}",11890.0,20125.0,11888.0,20125.0,0.0,-0.009937888198756184
lame,2019-04-03 14:04:53.736000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357581}",2019-04-04 14:07:31.848000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357695}",11888.0,20125.0,11890.0,20125.0,0.0,0.009937888198756184
lame,2019-04-04 14:07:31.848000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357695}",2019-04-05 14:11:11.058000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357764}",11890.0,20125.0,11890.0,20125.0,0.0,0.0
lame,2019-04-05 14:11:11.058000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357764}",2019-04-06 14:06:27.934000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357839}",11890.0,20125.0,11890.0,20125.0,0.0,0.0
lame,2019-04-06 14:06:27.934000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357839}",2019-04-07 14:04:26.779000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357866}",11890.0,20125.0,11890.0,20125.0,0.0,0.0
lame,2019-04-07 14:04:26.779000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357866}",2019-04-08 14:08:00.435000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357914}",11890.0,20125.0,11890.0,20125.0,0.0,0.0
lame,2019-04-08 14:08:00.435000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,357914}",2019-04-09 14:19:24.339000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358005}",11890.0,20125.0,11890.0,20125.0,0.0,0.0
lame,2019-04-09 14:19:24.339000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358005}",2019-04-10 14:13:37.277000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358083}",11890.0,20125.0,11890.0,20125.0,0.0,0.0
lame,2019-04-10 14:13:37.277000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358083}",2019-04-11 14:14:03.697000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358168}",11890.0,20125.0,11890.0,20125.0,0.0,0.0
lame,2019-04-11 14:14:03.697000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358168}",2019-04-12 14:08:50.582000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358284}",11890.0,20125.0,11890.0,20125.0,0.0,0.0
lame,2019-04-12 14:08:50.582000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358284}",2019-04-13 14:16:23.956000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358332}",11890.0,20125.0,11890.0,20125.0,0.0,0.0
lame,2019-04-13 14:16:23.956000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358332}",2019-04-14 14:06:47.317000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358357}",11890.0,20125.0,11890.0,20125.0,0.0,0.0
lame,2019-04-14 14:06:47.317000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358357}",2019-04-15 14:17:49.955000,"{LAME-fuzzers,lame,libfuzzer}","{b7906421843636b2646e760856a9bd4c84249491,6440,358409}",11890.0,20125.0,11890.0,20125.0,0.0,0.0
