project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
leptonica,2019-03-13 14:02:39.158000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{13cc7c610ea2d1a4cdd0849f2b5aaf8a460895e7,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,067031eaed11e91d9914e1e872738c7bdf075e0b,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356048}",2019-03-14 14:01:09.338000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{45139e9fd555bfe97cba5223b572f510a1d43eff,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,067031eaed11e91d9914e1e872738c7bdf075e0b,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356145}",20584.0,227405.0,20623.0,227396.0,-9.0,0.01750895014528986
leptonica,2019-03-14 14:01:09.338000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{45139e9fd555bfe97cba5223b572f510a1d43eff,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,067031eaed11e91d9914e1e872738c7bdf075e0b,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356145}",2019-03-15 13:59:38.140000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{45139e9fd555bfe97cba5223b572f510a1d43eff,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,fcfd9c71b40c19c5f00760262520dae15ccacf17,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356259}",20623.0,227396.0,20669.0,227407.0,11.0,0.019789359124740002
leptonica,2019-03-15 13:59:38.140000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{45139e9fd555bfe97cba5223b572f510a1d43eff,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,fcfd9c71b40c19c5f00760262520dae15ccacf17,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356259}",2019-03-16 13:58:51.563000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{f52a7d8faa13d6fc7fa3853ab8f96e4484cd5df7,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,fcfd9c71b40c19c5f00760262520dae15ccacf17,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356322}",20669.0,227407.0,20632.0,227407.0,0.0,-0.016270387455090685
leptonica,2019-03-16 13:58:51.563000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{f52a7d8faa13d6fc7fa3853ab8f96e4484cd5df7,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,fcfd9c71b40c19c5f00760262520dae15ccacf17,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356322}",2019-03-17 13:57:46.743000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{f52a7d8faa13d6fc7fa3853ab8f96e4484cd5df7,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,8c3f04febb951d604cedc8e70b06f3db271e6273,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356330}",20632.0,227407.0,20658.0,227407.0,0.0,0.011433245238711365
leptonica,2019-03-17 13:57:46.743000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{f52a7d8faa13d6fc7fa3853ab8f96e4484cd5df7,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,8c3f04febb951d604cedc8e70b06f3db271e6273,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356330}",2019-03-18 14:01:31.550000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{f52a7d8faa13d6fc7fa3853ab8f96e4484cd5df7,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,8c3f04febb951d604cedc8e70b06f3db271e6273,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356367}",20658.0,227407.0,22712.0,227407.0,0.0,0.9032263738583257
leptonica,2019-03-18 14:01:31.550000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{f52a7d8faa13d6fc7fa3853ab8f96e4484cd5df7,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,8c3f04febb951d604cedc8e70b06f3db271e6273,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356367}",2019-03-19 13:57:40.988000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{f52a7d8faa13d6fc7fa3853ab8f96e4484cd5df7,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,af0bac643a40812a74daed2c20404e8d4b32c3f2,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356453}",22712.0,227407.0,21842.0,227407.0,0.0,-0.3825739752953954
leptonica,2019-03-19 13:57:40.988000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{f52a7d8faa13d6fc7fa3853ab8f96e4484cd5df7,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,af0bac643a40812a74daed2c20404e8d4b32c3f2,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356453}",2019-03-20 13:58:21.366000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{0dd3588accb239365a530dedbcfa649a5ecbda57,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,af0bac643a40812a74daed2c20404e8d4b32c3f2,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356553}",21842.0,227407.0,21842.0,227502.0,95.0,-0.004010762633679832
leptonica,2019-03-20 13:58:21.366000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{0dd3588accb239365a530dedbcfa649a5ecbda57,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,af0bac643a40812a74daed2c20404e8d4b32c3f2,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356553}",2019-03-21 13:58:59.293000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{0dd3588accb239365a530dedbcfa649a5ecbda57,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,af0bac643a40812a74daed2c20404e8d4b32c3f2,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356664}",21842.0,227502.0,21423.0,227502.0,0.0,-0.18417420506193416
leptonica,2019-03-21 13:58:59.293000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{0dd3588accb239365a530dedbcfa649a5ecbda57,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,af0bac643a40812a74daed2c20404e8d4b32c3f2,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,cdb46481f44923687c671c2afea6e17b1a3008ad,356664}",2019-03-22 14:00:06.679000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{0c7668cd06d715b290ad4648162ec7e78ebeb2de,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,af0bac643a40812a74daed2c20404e8d4b32c3f2,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,87b8219360bca3c9929a5705c3d9c50c42c34bca,356750}",21423.0,227502.0,21423.0,227552.0,50.0,-0.0020691139856445773
leptonica,2019-03-22 14:00:06.679000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{0c7668cd06d715b290ad4648162ec7e78ebeb2de,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,af0bac643a40812a74daed2c20404e8d4b32c3f2,8439534daa1d3a5705ba92e653eda9251246dd61,e3d738277b5c7ec23c33294435d1bbbd152f77b8,cacf7f1d4e3d44d871b605da3b647f07d718623f,87b8219360bca3c9929a5705c3d9c50c42c34bca,356750}",2019-03-23 13:58:31.435000,"{zstd,libjpeg-turbo,jbigkit,libwebp,libpng,libtiff,zlib,leptonica,libfuzzer}","{0c7668cd06d715b290ad4648162ec7e78ebeb2de,5857929f95c933bdf03e40a65ec73fe31d3f667e,dce101373d87445ed55a385fddad02d8a8751de4,af0bac643a40812a74daed2c20404e8d4b32c3f2,8439534daa1d3a5705ba92e653eda9251246dd61,bf3589510740d30f231bdbc340502622cbcc5984,cacf7f1d4e3d44d871b605da3b647f07d718623f,f414750326e26301715a6ab764a48980357a1d06,356832}",21423.0,227552.0,21439.0,227608.0,56.0,0.004713301472893505
