project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
leveldb,2020-11-30 06:21:27.023000,"{leveldb,afl}","{b7d302326961fb809d92a95ce813e2d26fe2e16e,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-01 07:40:20.168000,"{leveldb,afl}","{295ce1336f4a21b154054ecb53e4380a74d40002,82b5e359463238d790cadbe2dd494d6a4928bff3}",4806.0,6454.0,4806.0,6454.0,0.0,0.0
leveldb,2020-12-14 06:59:31.120000,"{leveldb,afl}","{295ce1336f4a21b154054ecb53e4380a74d40002,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-15 09:17:04.813000,"{leveldb,afl}","{6721eda0b46654d3531b4a0a00c90dc659b337d6,82b5e359463238d790cadbe2dd494d6a4928bff3}",4729.0,6468.0,4821.0,6468.0,0.0,1.422387136672853
leveldb,2021-01-01 07:00:00.803000,"{leveldb,afl}","{6721eda0b46654d3531b4a0a00c90dc659b337d6,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-02 07:25:31.155000,"{leveldb,afl}","{fdc8f72895544cfbc05bb7fa50d4f235e5808ae0,82b5e359463238d790cadbe2dd494d6a4928bff3}",4820.0,6468.0,4845.0,6468.0,0.0,0.38651824366110077
leveldb,2021-01-11 09:37:10.308000,"{leveldb,afl}","{fdc8f72895544cfbc05bb7fa50d4f235e5808ae0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-12 06:32:45.012000,"{leveldb,afl}","{8cce47e450b365347769959c53b8836ef0216df9,82b5e359463238d790cadbe2dd494d6a4928bff3}",4816.0,6468.0,4837.0,6483.0,15.0,0.15164536219602098
leveldb,2021-01-12 06:32:45.012000,"{leveldb,afl}","{8cce47e450b365347769959c53b8836ef0216df9,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-13 10:27:36.345000,"{leveldb,afl}","{1998c0ef15f0fb64994e165230473337f041fd8c,82b5e359463238d790cadbe2dd494d6a4928bff3}",4837.0,6483.0,4829.0,6494.0,11.0,-0.24957125316164763
leveldb,2021-01-25 09:12:59.737000,"{leveldb,afl}","{1998c0ef15f0fb64994e165230473337f041fd8c,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-26 07:19:57.585000,"{leveldb,aflplusplus,afl}","{4a919ea4f7cf2b78bb1403e40b4888f592610c5a,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",4853.0,6494.0,4829.0,6494.0,0.0,-0.3695719125346528
leveldb,2021-01-31 07:35:21.979000,"{leveldb,aflplusplus,afl}","{4a919ea4f7cf2b78bb1403e40b4888f592610c5a,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-01 07:33:34.772000,"{leveldb,aflplusplus}","{4a919ea4f7cf2b78bb1403e40b4888f592610c5a,068bef5eab942df0a133c92522f2ab81b28ac636}",4844.0,6494.0,4853.0,6494.0,0.0,0.13858946720048948
leveldb,2021-02-01 07:33:34.772000,"{leveldb,aflplusplus}","{4a919ea4f7cf2b78bb1403e40b4888f592610c5a,068bef5eab942df0a133c92522f2ab81b28ac636}",2021-02-02 08:12:45.446000,"{leveldb,aflplusplus,afl}","{4a919ea4f7cf2b78bb1403e40b4888f592610c5a,654f389e73c9fd5b7e141b33ea28ab0fdda3178f,82b5e359463238d790cadbe2dd494d6a4928bff3}",4853.0,6494.0,4826.0,6494.0,0.0,-0.41576840160148265
leveldb,2021-02-02 08:12:45.446000,"{leveldb,aflplusplus,afl}","{4a919ea4f7cf2b78bb1403e40b4888f592610c5a,654f389e73c9fd5b7e141b33ea28ab0fdda3178f,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-03 09:00:19.616000,"{leveldb,aflplusplus}","{4a919ea4f7cf2b78bb1403e40b4888f592610c5a,1f71b85426f837ebcae8381897d44a3a67c73a4f}",4826.0,6494.0,4836.0,6494.0,0.0,0.1539882968894375
leveldb,2021-02-06 06:53:47.282000,"{leveldb,aflplusplus}","{4a919ea4f7cf2b78bb1403e40b4888f592610c5a,1f71b85426f837ebcae8381897d44a3a67c73a4f}",2021-02-07 06:34:08.505000,"{leveldb,aflplusplus}","{4a919ea4f7cf2b78bb1403e40b4888f592610c5a,a763c61d89f90330bcde7c294c57cfccda1431b8}",4833.0,6494.0,4842.0,6494.0,0.0,0.13858946720048948
leveldb,2021-02-07 06:34:08.505000,"{leveldb,aflplusplus}","{4a919ea4f7cf2b78bb1403e40b4888f592610c5a,a763c61d89f90330bcde7c294c57cfccda1431b8}",2021-02-08 08:52:29.572000,"{leveldb,aflplusplus}","{4a919ea4f7cf2b78bb1403e40b4888f592610c5a,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",4842.0,6494.0,4837.0,6494.0,0.0,-0.07699414844471164
leveldb,2021-02-16 07:23:07.787000,"{leveldb,aflplusplus}","{4a919ea4f7cf2b78bb1403e40b4888f592610c5a,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2021-02-17 07:01:13.040000,"{leveldb,aflplusplus}","{2a47801868e223fd10af272ed9fbd8b699711aae,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",4827.0,6494.0,4838.0,6494.0,0.0,0.1693871265783855
leveldb,2021-02-17 07:01:13.040000,"{leveldb,aflplusplus}","{2a47801868e223fd10af272ed9fbd8b699711aae,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2021-02-18 10:18:25.895000,"{leveldb,aflplusplus}","{37aaf2fccd8db3b18bb303bfdb25b455f5c75c51,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",4838.0,6494.0,4851.0,6494.0,0.0,0.2001847859562531
