project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libass,2019-03-13 14:28:51.950000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356052}",2019-03-14 14:11:53.480000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356146}",8694.0,12685.0,8694.0,12685.0,0.0,0.0
libass,2019-03-14 14:11:53.480000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356146}",2019-03-15 14:11:01.628000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356263}",8694.0,12685.0,8666.0,12685.0,0.0,-0.22073314938904787
libass,2019-03-15 14:11:01.628000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356263}",2019-03-16 14:08:27.276000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356323}",8666.0,12685.0,8660.0,12685.0,0.0,-0.04729996058335928
libass,2019-03-16 14:08:27.276000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356323}",2019-03-17 14:08:20.096000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356331}",8660.0,12685.0,8659.0,12685.0,0.0,-0.007883326763902687
libass,2019-03-17 14:08:20.096000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356331}",2019-03-18 14:13:48.323000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356370}",8659.0,12685.0,8660.0,12685.0,0.0,0.007883326763902687
libass,2019-03-18 14:13:48.323000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356370}",2019-03-19 14:09:59.896000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356456}",8660.0,12685.0,8659.0,12685.0,0.0,-0.007883326763902687
libass,2019-03-19 14:09:59.896000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356456}",2019-03-20 14:07:40.658000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356554}",8659.0,12685.0,8659.0,12685.0,0.0,0.0
libass,2019-03-20 14:07:40.658000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356554}",2019-03-21 14:10:58.557000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356667}",8659.0,12685.0,8659.0,12685.0,0.0,0.0
libass,2019-03-21 14:10:58.557000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356667}",2019-03-22 14:12:21.322000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356751}",8659.0,12685.0,8660.0,12685.0,0.0,0.007883326763902687
libass,2019-03-22 14:12:21.322000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356751}",2019-03-23 14:09:02.165000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356832}",8660.0,12685.0,8661.0,12685.0,0.0,0.007883326763888476
libass,2019-03-23 14:09:02.165000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356832}",2019-03-24 14:07:39.276000,"{fribidi,libass,libfuzzer}","{58c6cb390a9a18c98b2cbaac555d8ea9352a9e4f,fa49852cd7fbab79653e62e1e52cedeb33a536ea,356855}",8661.0,12685.0,8661.0,12685.0,0.0,0.0
