project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libdwarf,2021-11-03 06:58:18.316000,"{libdwarf,aflplusplus}","{719af6996fdcf7de8bd2274692cd7582c0c87bec,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-04 07:23:27.029000,"{libdwarf,aflplusplus}","{79d6e012d7c4655b05a1670f1392780778e5f633,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",1188.0,32319.0,3581.0,32321.0,2.0,7.403627619423445
libdwarf,2021-11-04 07:23:27.029000,"{libdwarf,aflplusplus}","{79d6e012d7c4655b05a1670f1392780778e5f633,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-05 11:15:18.690000,"{libdwarf,aflplusplus}","{09ded6dd0c70e9db859529be1a4635e316693ef0,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3581.0,32321.0,3633.0,32353.0,32.0,0.14976838359164546
libdwarf,2021-11-05 11:15:18.690000,"{libdwarf,aflplusplus}","{09ded6dd0c70e9db859529be1a4635e316693ef0,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-06 06:25:58.964000,"{libdwarf,aflplusplus}","{98bd6d99d52a0895daf353f6fd25061bc5a1a5a9,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3633.0,32353.0,3813.0,32376.0,23.0,0.5479900913287494
libdwarf,2021-11-06 06:25:58.964000,"{libdwarf,aflplusplus}","{98bd6d99d52a0895daf353f6fd25061bc5a1a5a9,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-07 06:16:31.793000,"{libdwarf,aflplusplus}","{30132d513f7566097bf3a9ccd2e093e3fe076f86,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3813.0,32376.0,3905.0,32383.0,7.0,0.28155388022072003
libdwarf,2021-11-07 06:16:31.793000,"{libdwarf,aflplusplus}","{30132d513f7566097bf3a9ccd2e093e3fe076f86,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-08 07:32:54.083000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,eeec32b6f674efa8eacc72c656fc9a2f44f8e482,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3905.0,32383.0,3919.0,32405.0,22.0,0.03501640122808247
libdwarf,2021-11-08 07:32:54.083000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,eeec32b6f674efa8eacc72c656fc9a2f44f8e482,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-09 10:50:46.640000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,9770b2cc4812857022a8e147bdfe1f102adba382,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3919.0,32405.0,4816.0,32405.0,0.0,2.768091343928406
libdwarf,2021-11-09 10:50:46.640000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,9770b2cc4812857022a8e147bdfe1f102adba382,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-10 10:03:48.041000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,c361a7eb576dbaad2b5d826d3651433c66f10d3c,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",4816.0,32405.0,4816.0,32405.0,0.0,0.0
libdwarf,2021-11-10 10:03:48.041000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,c361a7eb576dbaad2b5d826d3651433c66f10d3c,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-11 11:17:43.419000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,00c21b50764440a20545aa89da0f73c5ad365245,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",4816.0,32405.0,4950.0,32405.0,0.0,0.41351643264928306
libdwarf,2021-11-11 11:17:43.419000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,00c21b50764440a20545aa89da0f73c5ad365245,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-12 06:42:46.234000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,00c21b50764440a20545aa89da0f73c5ad365245,533e979010ca338df6fc415d87668f8187752915}",4950.0,32405.0,4956.0,32405.0,0.0,0.01851566116340031
libdwarf,2021-11-12 06:42:46.234000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,00c21b50764440a20545aa89da0f73c5ad365245,533e979010ca338df6fc415d87668f8187752915}",2021-11-13 08:43:54.111000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,1bb2cae0ed9c9dbbb88b84dd5e0506b34a007dc1,533e979010ca338df6fc415d87668f8187752915}",4956.0,32405.0,4995.0,32442.0,37.0,0.10277185017952384
libdwarf,2021-11-15 11:38:26.503000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,1bb2cae0ed9c9dbbb88b84dd5e0506b34a007dc1,533e979010ca338df6fc415d87668f8187752915}",2021-11-16 07:04:37.859000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,b4ef1850a66940b70596e3db6ca3cbf7da47cd6a,533e979010ca338df6fc415d87668f8187752915}",5003.0,32442.0,5023.0,32442.0,0.0,0.0616484803649584
libdwarf,2021-11-17 11:31:57.728000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,b4ef1850a66940b70596e3db6ca3cbf7da47cd6a,533e979010ca338df6fc415d87668f8187752915}",2021-11-18 10:26:53.535000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,b4ef1850a66940b70596e3db6ca3cbf7da47cd6a,132630d48d0f9fe50e9388f941433c85636587da}",5029.0,32442.0,5029.0,32442.0,0.0,0.0
libdwarf,2021-11-19 06:45:35.288000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,b4ef1850a66940b70596e3db6ca3cbf7da47cd6a,132630d48d0f9fe50e9388f941433c85636587da}",2021-11-20 07:16:15.949000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,6a6567a7c439cbd5fe97001e129ee84c1ac9903d,7777045c09c404b1274c930788317525fedb43ad}",5029.0,32442.0,5030.0,32455.0,13.0,-0.003128012171959682
libdwarf,2021-11-20 07:16:15.949000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,6a6567a7c439cbd5fe97001e129ee84c1ac9903d,7777045c09c404b1274c930788317525fedb43ad}",2021-11-21 10:53:37.455000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,6aff30a67168cf1d89ddc58eb13dc9c70fa2301e,7777045c09c404b1274c930788317525fedb43ad}",5030.0,32455.0,5608.0,32455.0,0.0,1.7809274379910658
libdwarf,2021-11-21 10:53:37.455000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,6aff30a67168cf1d89ddc58eb13dc9c70fa2301e,7777045c09c404b1274c930788317525fedb43ad}",2021-11-22 06:35:52.543000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,9e31d015a40fa1363f9dbf5de1eba8210b72b171,7777045c09c404b1274c930788317525fedb43ad}",5608.0,32455.0,5658.0,32463.0,8.0,0.14976328501651892
libdwarf,2021-11-22 06:35:52.543000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,9e31d015a40fa1363f9dbf5de1eba8210b72b171,7777045c09c404b1274c930788317525fedb43ad}",2021-11-23 08:22:29.203000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,145d3f6af7314dfb6642cd08eb6b0e0ab0bb0524,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",5658.0,32463.0,5695.0,32463.0,0.0,0.11397591103717986
libdwarf,2021-11-24 06:45:30.687000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,145d3f6af7314dfb6642cd08eb6b0e0ab0bb0524,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",2021-11-25 06:26:38.464000,"{binary-samples,libdwarf,aflplusplus}","{8c61df835c1b4ced083db6dac3e90f3758340922,5ac807035df091290279097ad6a81c154106ce7e,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",5668.0,32463.0,5672.0,32463.0,0.0,0.0123217201121264
