project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libevent,2020-06-18 13:40:26.424000,"{libevent,afl}","{efbe563b4e247c6a39c0373f066bad3ec585d936,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-19 13:42:17.596000,"{libevent,afl}","{26d5ff457c9e6cf9b84ec9d8fb83d87caf083d96,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",545.0,17236.0,545.0,17236.0,0.0,0.0
libevent,2020-06-22 13:43:12.547000,"{libevent,afl}","{26d5ff457c9e6cf9b84ec9d8fb83d87caf083d96,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-23 13:42:03.348000,"{libevent,afl}","{45c3fc29fb2240dbaa066c971f3fd59861293305,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",545.0,17236.0,545.0,17236.0,0.0,0.0
libevent,2020-06-24 13:40:53.672000,"{libevent,afl}","{45c3fc29fb2240dbaa066c971f3fd59861293305,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-25 13:55:46.951000,"{libevent,afl}","{c424594b04439e2c29af41c66848b6b208f35310,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",545.0,17236.0,547.0,17241.0,5.0,0.010683258935154871
libevent,2020-06-25 13:55:46.951000,"{libevent,afl}","{c424594b04439e2c29af41c66848b6b208f35310,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-26 13:46:22.039000,"{libevent,afl}","{0ac3cfc0b70edc2cfb429712d6aaf1b3a63d2d1a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",547.0,17241.0,549.0,17243.0,2.0,0.011230914597374575
libevent,2020-06-28 13:45:27.529000,"{libevent,afl}","{0ac3cfc0b70edc2cfb429712d6aaf1b3a63d2d1a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-29 13:45:20.891000,"{libevent,afl}","{1cea01d6d5c84337dac663e5464059ccd2d6a8dd,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",549.0,17243.0,549.0,17243.0,0.0,0.0
libevent,2020-06-30 13:45:05.043000,"{libevent,afl}","{1cea01d6d5c84337dac663e5464059ccd2d6a8dd,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-07-01 13:42:40.582000,"{libevent,afl}","{1cea01d6d5c84337dac663e5464059ccd2d6a8dd,518e42281f77768215851d31fc61e8970ce21481}",549.0,17243.0,549.0,17243.0,0.0,0.0
libevent,2020-07-02 13:42:11.928000,"{libevent,afl}","{1cea01d6d5c84337dac663e5464059ccd2d6a8dd,518e42281f77768215851d31fc61e8970ce21481}",2020-07-03 13:41:25.404000,"{libevent,afl}","{9ca7a492f5680dbbc14634f0979e6f1d5a4533fa,518e42281f77768215851d31fc61e8970ce21481}",549.0,17243.0,549.0,17243.0,0.0,0.0
libevent,2020-07-04 13:41:01.319000,"{libevent,afl}","{9ca7a492f5680dbbc14634f0979e6f1d5a4533fa,518e42281f77768215851d31fc61e8970ce21481}",2020-07-05 13:40:31.539000,"{libevent,afl}","{e9a6b127696f75097dea01d197735596335865bb,82b5e359463238d790cadbe2dd494d6a4928bff3}",549.0,17243.0,549.0,17243.0,0.0,0.0
libevent,2020-07-10 13:43:23.687000,"{libevent,afl}","{e9a6b127696f75097dea01d197735596335865bb,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-11 13:44:23.390000,"{libevent,afl}","{883587a9bff465176df39302526d8ae54b9d3cee,82b5e359463238d790cadbe2dd494d6a4928bff3}",549.0,17243.0,549.0,17243.0,0.0,0.0
libevent,2020-07-20 13:47:23.041000,"{libevent,afl}","{883587a9bff465176df39302526d8ae54b9d3cee,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-21 13:44:48.781000,"{libevent,afl}","{79dc8789f5a679391639fe9995a47f2bcd997e07,82b5e359463238d790cadbe2dd494d6a4928bff3}",549.0,17243.0,549.0,17243.0,0.0,0.0
