project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libexif,2019-03-13 13:54:10.038000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356048}",2019-03-14 13:52:32.687000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356145}",3347.0,6516.0,3347.0,6516.0,0.0,0.0
libexif,2019-03-14 13:52:32.687000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356145}",2019-03-15 13:51:51.139000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356260}",3347.0,6516.0,3347.0,6516.0,0.0,0.0
libexif,2019-03-15 13:51:51.139000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356260}",2019-03-16 13:51:44.225000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356323}",3347.0,6516.0,3347.0,6516.0,0.0,0.0
libexif,2019-03-16 13:51:44.225000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356323}",2019-03-17 13:51:47.999000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356330}",3347.0,6516.0,3347.0,6516.0,0.0,0.0
libexif,2019-03-17 13:51:47.999000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356330}",2019-03-18 13:53:16.845000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356367}",3347.0,6516.0,3347.0,6516.0,0.0,0.0
libexif,2019-03-18 13:53:16.845000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356367}",2019-03-19 13:50:34.134000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356454}",3347.0,6516.0,3347.0,6516.0,0.0,0.0
libexif,2019-03-19 13:50:34.134000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356454}",2019-03-20 13:49:58.853000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356553}",3347.0,6516.0,3347.0,6516.0,0.0,0.0
libexif,2019-03-20 13:49:58.853000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356553}",2019-03-21 13:52:15.367000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356664}",3347.0,6516.0,3347.0,6516.0,0.0,0.0
libexif,2019-03-21 13:52:15.367000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356664}",2019-03-22 13:52:51.622000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356750}",3347.0,6516.0,3347.0,6516.0,0.0,0.0
libexif,2019-03-22 13:52:51.622000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356750}",2019-03-23 13:50:45.320000,"{exif-samples,libexif,libfuzzer}","{1c14d21c5278c77fc8183f260876b9799ea14a3b,62db8bc415c7edee5cf8aebb400cfd54b7a0df75,356832}",3347.0,6516.0,3347.0,6516.0,0.0,0.0
