project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libfuse,2023-05-12 06:06:47.778000,"{libfuse,fuzz-headers}","{bb1890afd7d1eb33e95f36d1d9936dbd574260b6,af84402d46e5d668364d561687291344608d4c9d}",2023-05-13 06:14:34.855000,"{libfuse,fuzz-headers}","{4c177c904778c45ebd992b7f651af4f0039c550c,af84402d46e5d668364d561687291344608d4c9d}",344.0,456.0,344.0,456.0,0.0,0.0
libfuse,2023-05-19 06:31:12.607000,"{libfuse,fuzz-headers}","{4c177c904778c45ebd992b7f651af4f0039c550c,af84402d46e5d668364d561687291344608d4c9d}",2023-05-20 06:09:46.813000,"{libfuse,fuzz-headers}","{6fc5ffd4bd37e57a446faa73a0a65ca9f4e6ac1d,af84402d46e5d668364d561687291344608d4c9d}",344.0,456.0,344.0,456.0,0.0,0.0
libfuse,2023-06-06 06:06:23.868000,"{libfuse,fuzz-headers}","{6fc5ffd4bd37e57a446faa73a0a65ca9f4e6ac1d,af84402d46e5d668364d561687291344608d4c9d}",2023-06-07 00:58:42.772000,"{libfuse,fuzz-headers}","{841cd09006f99539e03cab207a29e258cfb6d023,af84402d46e5d668364d561687291344608d4c9d}",344.0,456.0,344.0,456.0,0.0,0.0
libfuse,2023-06-07 06:22:08.199000,"{libfuse,fuzz-headers}","{841cd09006f99539e03cab207a29e258cfb6d023,af84402d46e5d668364d561687291344608d4c9d}",2023-06-08 07:36:48.656000,"{libfuse,fuzz-headers}","{30a300a848ee5158afa89d1344392a5949923602,af84402d46e5d668364d561687291344608d4c9d}",344.0,456.0,344.0,456.0,0.0,0.0
libfuse,2023-06-08 08:45:22.787000,"{libfuse,fuzz-headers}","{30a300a848ee5158afa89d1344392a5949923602,af84402d46e5d668364d561687291344608d4c9d}",2023-06-09 06:47:08.610000,"{libfuse,fuzz-headers}","{e0041ada71d923e5babe5f9a0df6da31a6dbd039,af84402d46e5d668364d561687291344608d4c9d}",344.0,456.0,344.0,456.0,0.0,0.0
libfuse,2023-06-09 06:47:08.610000,"{libfuse,fuzz-headers}","{e0041ada71d923e5babe5f9a0df6da31a6dbd039,af84402d46e5d668364d561687291344608d4c9d}",2023-06-10 06:31:43.529000,"{libfuse,fuzz-headers}","{6d08472ea47db895748d5ca7d3daf032c3fefcf8,af84402d46e5d668364d561687291344608d4c9d}",344.0,456.0,344.0,456.0,0.0,0.0
libfuse,2023-06-13 08:12:30.367000,"{libfuse,fuzz-headers}","{6d08472ea47db895748d5ca7d3daf032c3fefcf8,af84402d46e5d668364d561687291344608d4c9d}",2023-06-13 16:09:57.083000,"{libfuse,fuzz-headers}","{b58a0014bff619f1810af49441d987d732c4244e,af84402d46e5d668364d561687291344608d4c9d}",344.0,456.0,344.0,456.0,0.0,0.0
libfuse,2023-06-19 07:12:22.490000,"{libfuse,fuzz-headers}","{b58a0014bff619f1810af49441d987d732c4244e,af84402d46e5d668364d561687291344608d4c9d}",2023-06-20 06:05:55.707000,"{libfuse,fuzz-headers}","{010d820131adc2059d3b2516991ebaa16dc0bdd9,af84402d46e5d668364d561687291344608d4c9d}",344.0,456.0,344.0,456.0,0.0,0.0
libfuse,2023-06-29 07:12:38.860000,"{libfuse,fuzz-headers}","{010d820131adc2059d3b2516991ebaa16dc0bdd9,af84402d46e5d668364d561687291344608d4c9d}",2023-06-30 06:15:30.435000,"{libfuse,fuzz-headers}","{756726800683b22b9c4eb75bf56bcf30cb50cca1,af84402d46e5d668364d561687291344608d4c9d}",344.0,456.0,344.0,456.0,0.0,0.0
libfuse,2023-06-30 06:15:30.435000,"{libfuse,fuzz-headers}","{756726800683b22b9c4eb75bf56bcf30cb50cca1,af84402d46e5d668364d561687291344608d4c9d}",2023-07-01 06:43:47.390000,"{libfuse,fuzz-headers}","{51bc827df873d9ff4069b83796cd32fcb6bd659e,af84402d46e5d668364d561687291344608d4c9d}",344.0,456.0,344.0,456.0,0.0,0.0
