project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libical,2019-04-11 14:19:10.268000,"{libical,libfuzzer}","{621488e59945ec1e7c1b6fae78ebbe4e3a90eec1,358171}",2019-04-12 14:16:19.169000,"{libical,libfuzzer}","{621488e59945ec1e7c1b6fae78ebbe4e3a90eec1,358285}",4517.0,18872.0,4518.0,18872.0,0.0,0.005298855447222195
libical,2019-04-12 14:16:19.169000,"{libical,libfuzzer}","{621488e59945ec1e7c1b6fae78ebbe4e3a90eec1,358285}",2019-04-13 14:21:58.172000,"{libical,libfuzzer}","{621488e59945ec1e7c1b6fae78ebbe4e3a90eec1,358332}",4518.0,18872.0,4518.0,18872.0,0.0,0.0
libical,2019-04-13 14:21:58.172000,"{libical,libfuzzer}","{621488e59945ec1e7c1b6fae78ebbe4e3a90eec1,358332}",2019-04-14 14:15:29.994000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358357}",4518.0,18872.0,4518.0,18872.0,0.0,0.0
libical,2019-04-14 14:15:29.994000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358357}",2019-04-15 14:24:26.923000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358410}",4518.0,18872.0,4521.0,18872.0,0.0,0.015896566341670137
libical,2019-04-15 14:24:26.923000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358410}",2019-04-16 14:28:45.596000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358493}",4521.0,18872.0,4521.0,18872.0,0.0,0.0
libical,2019-04-16 14:28:45.596000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358493}",2019-04-17 14:20:01.712000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358579}",4521.0,18872.0,4523.0,18872.0,0.0,0.010597710894447943
libical,2019-04-17 14:20:01.712000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358579}",2019-04-18 14:21:11.976000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358666}",4523.0,18872.0,4523.0,18872.0,0.0,0.0
libical,2019-04-18 14:21:11.976000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358666}",2019-04-19 14:18:02.900000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358760}",4523.0,18872.0,4523.0,18872.0,0.0,0.0
libical,2019-04-19 14:18:02.900000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358760}",2019-04-20 14:22:17.253000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358816}",4523.0,18872.0,4523.0,18872.0,0.0,0.0
libical,2019-04-20 14:22:17.253000,"{libical,libfuzzer}","{5fb9289fc1656988e59bdce9a6ab39afc0b58b6c,358816}",2019-04-21 14:23:00.875000,"{libical,libfuzzer}","{f00ab49f6c1c61090bc2d952897759bbf33e4d35,358851}",4523.0,18872.0,4523.0,18872.0,0.0,0.0
