project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libldac,2019-03-13 13:18:03.493000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356046}",2019-03-14 13:16:54.202000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356140}",1941.0,3400.0,1931.0,3400.0,0.0,-0.29411764705882604
libldac,2019-03-14 13:16:54.202000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356140}",2019-03-15 13:17:06.526000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356258}",1931.0,3400.0,1938.0,3400.0,0.0,0.20588235294116686
libldac,2019-03-15 13:17:06.526000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356258}",2019-03-16 13:16:18.290000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356322}",1938.0,3400.0,1945.0,3400.0,0.0,0.20588235294118107
libldac,2019-03-16 13:16:18.290000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356322}",2019-03-17 13:17:27.710000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356330}",1945.0,3400.0,1931.0,3400.0,0.0,-0.4117647058823479
libldac,2019-03-17 13:17:27.710000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356330}",2019-03-18 13:17:14.392000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356365}",1931.0,3400.0,1943.0,3400.0,0.0,0.3529411764705799
libldac,2019-03-18 13:17:14.392000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356365}",2019-03-19 13:17:06.259000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356451}",1943.0,3400.0,1938.0,3400.0,0.0,-0.14705882352941302
libldac,2019-03-19 13:17:06.259000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356451}",2019-03-20 13:16:53.507000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356552}",1938.0,3400.0,1929.0,3400.0,0.0,-0.2647058823529349
libldac,2019-03-20 13:16:53.507000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356552}",2019-03-21 13:17:09.345000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356662}",1929.0,3400.0,1938.0,3400.0,0.0,0.2647058823529349
libldac,2019-03-21 13:17:09.345000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356662}",2019-03-22 13:18:42.171000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356747}",1938.0,3400.0,1938.0,3400.0,0.0,0.0
libldac,2019-03-22 13:18:42.171000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356747}",2019-03-23 13:17:24.463000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356831}",1938.0,3400.0,1945.0,3400.0,0.0,0.20588235294118107
libldac,2019-03-23 13:17:24.463000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356831}",2019-03-24 13:16:37.675000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356852}",1945.0,3400.0,1925.0,3400.0,0.0,-0.588235294117645
libldac,2019-03-24 13:16:37.675000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356852}",2019-03-25 13:19:46.994000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356894}",1925.0,3400.0,1938.0,3400.0,0.0,0.3823529411764639
libldac,2019-03-25 13:19:46.994000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,356894}",2019-04-01 13:17:02.382000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357380}",1938.0,3400.0,1935.0,3400.0,0.0,-0.08823529411764497
libldac,2019-04-01 13:17:02.382000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357380}",2019-04-03 13:15:23.598000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357577}",1935.0,3400.0,1931.0,3400.0,0.0,-0.11764705882352189
libldac,2019-04-03 13:15:23.598000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357577}",2019-04-04 13:16:58.970000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357690}",1931.0,3400.0,1943.0,3400.0,0.0,0.3529411764705799
libldac,2019-04-04 13:16:58.970000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357690}",2019-04-05 13:17:29.278000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357759}",1943.0,3400.0,1942.0,3400.0,0.0,-0.02941176470587692
libldac,2019-04-05 13:17:29.278000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357759}",2019-04-06 13:16:26.628000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357838}",1942.0,3400.0,1941.0,3400.0,0.0,-0.02941176470587692
libldac,2019-04-06 13:16:26.628000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357838}",2019-04-07 13:16:12.996000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357862}",1941.0,3400.0,1940.0,3400.0,0.0,-0.02941176470589113
libldac,2019-04-07 13:16:12.996000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357862}",2019-04-08 13:16:58.775000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357909}",1940.0,3400.0,1938.0,3400.0,0.0,-0.05882352941176805
libldac,2019-04-08 13:16:58.775000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,357909}",2019-04-09 13:17:38.304000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358000}",1938.0,3400.0,1943.0,3400.0,0.0,0.14705882352941302
libldac,2019-04-09 13:17:38.304000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358000}",2019-04-10 13:17:15.382000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358080}",1943.0,3400.0,1941.0,3400.0,0.0,-0.05882352941175384
libldac,2019-04-10 13:17:15.382000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358080}",2019-04-11 13:17:37.943000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358164}",1941.0,3400.0,1931.0,3400.0,0.0,-0.29411764705882604
libldac,2019-04-11 13:17:37.943000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358164}",2019-04-12 13:16:08.565000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358282}",1931.0,3400.0,1934.0,3400.0,0.0,0.08823529411764497
libldac,2019-04-12 13:16:08.565000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358282}",2019-04-13 13:17:11.760000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358331}",1934.0,3400.0,1942.0,3400.0,0.0,0.235294117647058
libldac,2019-04-13 13:17:11.760000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358331}",2019-04-14 13:16:55.284000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358356}",1942.0,3400.0,1938.0,3400.0,0.0,-0.1176470588235361
libldac,2019-04-14 13:16:55.284000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358356}",2019-04-15 13:16:59.900000,"{libldac,libfuzzer}","{03d2145edb1f93f97b6b4931ff60cf82aaf915dc,358403}",1938.0,3400.0,1945.0,3400.0,0.0,0.20588235294118107
