project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libprotobuf-mutator,2019-03-13 14:22:08.415000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356050}",2019-03-14 14:18:49.925000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356146}",30556.0,177700.0,30556.0,177700.0,0.0,0.0
libprotobuf-mutator,2019-03-14 14:18:49.925000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356146}",2019-03-15 14:18:02.582000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356263}",30556.0,177700.0,30557.0,177700.0,0.0,0.0005627462014636819
libprotobuf-mutator,2019-03-15 14:18:02.582000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356263}",2019-03-16 14:15:09.969000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356323}",30557.0,177700.0,30550.0,177700.0,0.0,-0.003939223410242221
libprotobuf-mutator,2019-03-16 14:15:09.969000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356323}",2019-03-17 14:13:42.914000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356331}",30550.0,177700.0,30551.0,177700.0,0.0,0.0005627462014636819
libprotobuf-mutator,2019-03-17 14:13:42.914000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356331}",2019-03-18 14:21:05.906000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356370}",30551.0,177700.0,30549.0,177700.0,0.0,-0.0011254924029273639
libprotobuf-mutator,2019-03-18 14:21:05.906000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356370}",2019-03-20 14:14:08.885000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356554}",30549.0,177700.0,30556.0,177700.0,0.0,0.003939223410242221
libprotobuf-mutator,2019-03-20 14:14:08.885000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356554}",2019-03-21 14:17:32.634000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356667}",30556.0,177700.0,30549.0,177700.0,0.0,-0.003939223410242221
libprotobuf-mutator,2019-03-21 14:17:32.634000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356667}",2019-03-22 14:19:05.174000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356751}",30549.0,177700.0,30549.0,177700.0,0.0,0.0
libprotobuf-mutator,2019-03-22 14:19:05.174000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356751}",2019-03-23 14:16:04.656000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356832}",30549.0,177700.0,30557.0,177700.0,0.0,0.004501969611705903
libprotobuf-mutator,2019-03-23 14:16:04.656000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356832}",2019-03-24 14:13:32.900000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356855}",30557.0,177700.0,30557.0,177700.0,0.0,0.0
libprotobuf-mutator,2019-03-24 14:13:32.900000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356855}",2019-03-25 14:26:37.731000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356898}",30557.0,177700.0,30556.0,177700.0,0.0,-0.0005627462014636819
libprotobuf-mutator,2019-03-25 14:26:37.731000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,356898}",2019-04-01 14:15:38.897000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,357389}",30556.0,177700.0,30612.0,177713.0,13.0,0.030253619329400294
libprotobuf-mutator,2019-04-01 14:15:38.897000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,357389}",2019-04-02 16:38:00.159000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,357491}",30612.0,177713.0,30611.0,177713.0,0.0,-0.0005627050356480368
libprotobuf-mutator,2019-04-02 16:38:00.159000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,357491}",2019-04-03 14:10:43.117000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,357582}",30611.0,177713.0,30612.0,177713.0,0.0,0.0005627050356480368
libprotobuf-mutator,2019-04-03 14:10:43.117000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,357582}",2019-04-04 14:16:31.369000,"{libprotobuf-mutator,libfuzzer}","{3d1ea5f9eb5fc90f9f8e28447541929482cfb049,357698}",30612.0,177713.0,30618.0,177713.0,0.0,0.003376230213881115
