project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
librdkafka,2020-11-20 08:22:29.666000,"{librdkafka,afl}","{bd5f04dc0f00f8e2a51ed62b23252dc14a683b02,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-21 08:17:43.891000,"{librdkafka,afl}","{55995b9afed08dc33a0da0c161507fa429f10322,82b5e359463238d790cadbe2dd494d6a4928bff3}",627.0,1079.0,631.0,1083.0,4.0,0.1547207367719281
librdkafka,2020-11-24 10:48:05.129000,"{librdkafka,afl}","{55995b9afed08dc33a0da0c161507fa429f10322,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-25 08:02:05.954000,"{librdkafka,afl}","{d5860484fb918d90744222658e4c3f79c6971eb9,82b5e359463238d790cadbe2dd494d6a4928bff3}",631.0,1083.0,631.0,1083.0,0.0,0.0
librdkafka,2020-12-08 07:15:57.172000,"{librdkafka,afl}","{d5860484fb918d90744222658e4c3f79c6971eb9,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-09 07:13:11.514000,"{librdkafka,afl}","{b1dbb53fce8360577fb158839aab7bedbd892593,82b5e359463238d790cadbe2dd494d6a4928bff3}",631.0,1083.0,631.0,1083.0,0.0,0.0
librdkafka,2020-12-10 07:46:26.711000,"{librdkafka,afl}","{b1dbb53fce8360577fb158839aab7bedbd892593,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-11 07:57:14.978000,"{librdkafka,afl}","{de865ef331cbbf6d9039ab201254214305466b7d,82b5e359463238d790cadbe2dd494d6a4928bff3}",631.0,1083.0,637.0,1089.0,6.0,0.22994996553293845
librdkafka,2020-12-14 06:05:23.845000,"{librdkafka,afl}","{de865ef331cbbf6d9039ab201254214305466b7d,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-15 06:18:24.932000,"{librdkafka,afl}","{a850afd0dac0494d27738c52705909325b6495ab,82b5e359463238d790cadbe2dd494d6a4928bff3}",637.0,1089.0,637.0,1089.0,0.0,0.0
librdkafka,2020-12-15 06:18:24.932000,"{librdkafka,afl}","{a850afd0dac0494d27738c52705909325b6495ab,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-16 09:18:47.101000,"{librdkafka,afl}","{96035076f9b19ff4e739fc8a777ef301ee0becfd,82b5e359463238d790cadbe2dd494d6a4928bff3}",637.0,1089.0,637.0,1089.0,0.0,0.0
librdkafka,2020-12-16 09:18:47.101000,"{librdkafka,afl}","{96035076f9b19ff4e739fc8a777ef301ee0becfd,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-17 06:33:13.057000,"{librdkafka,afl}","{5aea437961217137bc07fd4454de8d34d5d53aa6,82b5e359463238d790cadbe2dd494d6a4928bff3}",637.0,1089.0,637.0,1089.0,0.0,0.0
librdkafka,2020-12-23 06:41:34.214000,"{librdkafka,afl}","{5aea437961217137bc07fd4454de8d34d5d53aa6,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-24 07:54:31.616000,"{librdkafka,afl}","{e116a873bbe395b78d3b40171afa9c68dc93da78,82b5e359463238d790cadbe2dd494d6a4928bff3}",637.0,1089.0,637.0,1089.0,0.0,0.0
librdkafka,2021-01-03 08:04:11.782000,"{librdkafka,afl}","{e116a873bbe395b78d3b40171afa9c68dc93da78,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-04 09:28:28.617000,"{librdkafka,afl}","{130e66db6a4b9389a073e70c2fd8131cf6a8ea4e,82b5e359463238d790cadbe2dd494d6a4928bff3}",637.0,1089.0,637.0,1089.0,0.0,0.0
librdkafka,2021-01-04 09:28:28.617000,"{librdkafka,afl}","{130e66db6a4b9389a073e70c2fd8131cf6a8ea4e,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-05 09:12:17.675000,"{librdkafka,afl}","{e9f34032d15668946bd0b889fb0765949d0e9920,82b5e359463238d790cadbe2dd494d6a4928bff3}",637.0,1089.0,637.0,1089.0,0.0,0.0
librdkafka,2021-01-11 10:31:58.221000,"{librdkafka,afl}","{e9f34032d15668946bd0b889fb0765949d0e9920,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-12 06:19:35.454000,"{librdkafka,afl}","{76543e2d2bb92d63dbffacd0fce62b565f7f4fa5,82b5e359463238d790cadbe2dd494d6a4928bff3}",637.0,1089.0,637.0,1089.0,0.0,0.0
librdkafka,2021-01-13 07:51:02.736000,"{librdkafka,afl}","{76543e2d2bb92d63dbffacd0fce62b565f7f4fa5,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-14 08:57:59.852000,"{librdkafka,afl}","{fc7e0ee60155079cff6b553211906c01786523b8,82b5e359463238d790cadbe2dd494d6a4928bff3}",637.0,1089.0,637.0,1089.0,0.0,0.0
librdkafka,2021-01-18 08:02:40.030000,"{librdkafka,afl}","{fc7e0ee60155079cff6b553211906c01786523b8,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-19 08:59:27.003000,"{librdkafka,afl}","{74b1790f97e2b1999de1cc6b714c68d21f4556ec,82b5e359463238d790cadbe2dd494d6a4928bff3}",637.0,1089.0,637.0,1089.0,0.0,0.0
librdkafka,2021-01-25 06:10:37.045000,"{librdkafka,afl}","{74b1790f97e2b1999de1cc6b714c68d21f4556ec,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-26 10:14:39.049000,"{librdkafka,aflplusplus,afl}","{7fe18e432e49e351c72b72fb7c2f2564346e1add,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",637.0,1089.0,637.0,1089.0,0.0,0.0
librdkafka,2021-01-31 08:36:46.532000,"{librdkafka,aflplusplus,afl}","{7fe18e432e49e351c72b72fb7c2f2564346e1add,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-01 07:37:24.323000,"{librdkafka,aflplusplus}","{7fe18e432e49e351c72b72fb7c2f2564346e1add,068bef5eab942df0a133c92522f2ab81b28ac636}",637.0,1089.0,637.0,1089.0,0.0,0.0
librdkafka,2021-02-01 07:37:24.323000,"{librdkafka,aflplusplus}","{7fe18e432e49e351c72b72fb7c2f2564346e1add,068bef5eab942df0a133c92522f2ab81b28ac636}",2021-02-02 10:21:04.023000,"{librdkafka,aflplusplus,afl}","{7fe18e432e49e351c72b72fb7c2f2564346e1add,654f389e73c9fd5b7e141b33ea28ab0fdda3178f,82b5e359463238d790cadbe2dd494d6a4928bff3}",637.0,1089.0,637.0,1089.0,0.0,0.0
