project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libsndfile,2020-09-17 09:57:15.318000,"{libsndfile,afl}","{03bcd1dfff5843f3fa867b42bbeea3bf8f7ad1dd,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-21 07:15:39.606000,"{libsndfile,afl}","{8e97d8182e6d75daa87431f095b000f87ac6f597,82b5e359463238d790cadbe2dd494d6a4928bff3}",8483.0,32122.0,8506.0,32122.0,0.0,0.07160201730901505
libsndfile,2020-09-21 07:15:39.606000,"{libsndfile,afl}","{8e97d8182e6d75daa87431f095b000f87ac6f597,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-23 06:28:07.308000,"{libsndfile,afl}","{b45f0d7dcf22bc7877e431f22548b82b085f0c3b,82b5e359463238d790cadbe2dd494d6a4928bff3}",8506.0,32122.0,8551.0,32122.0,0.0,0.14009090343066788
libsndfile,2020-09-23 06:28:07.308000,"{libsndfile,afl}","{b45f0d7dcf22bc7877e431f22548b82b085f0c3b,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-13 09:47:05.116000,"{libsndfile,afl}","{6b20d2d312785e19294aaf29ae8178c2ee95f165,82b5e359463238d790cadbe2dd494d6a4928bff3}",8551.0,32122.0,9137.0,32122.0,0.0,1.8242948757860624
libsndfile,2020-10-13 09:47:05.116000,"{libsndfile,afl}","{6b20d2d312785e19294aaf29ae8178c2ee95f165,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-22 07:12:33.307000,"{libsndfile,afl}","{e44d3276af3c4b3c57100bf268c6ab388a372168,82b5e359463238d790cadbe2dd494d6a4928bff3}",9137.0,32122.0,9122.0,32150.0,28.0,-0.07142926999832966
libsndfile,2020-10-22 07:12:33.307000,"{libsndfile,afl}","{e44d3276af3c4b3c57100bf268c6ab388a372168,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-23 06:51:46.504000,"{libsndfile,afl}","{ed40d14e1f72ea6f9c9aa8ef891a825219a009a2,82b5e359463238d790cadbe2dd494d6a4928bff3}",9122.0,32150.0,9327.0,32165.0,15.0,0.624106987227357
libsndfile,2020-10-25 06:52:19.728000,"{libsndfile,afl}","{ed40d14e1f72ea6f9c9aa8ef891a825219a009a2,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-26 06:09:12.937000,"{libsndfile,afl}","{77209fa248c20e6b9c25d55e27ac6bb3431b20d8,82b5e359463238d790cadbe2dd494d6a4928bff3}",10172.0,32165.0,10369.0,32165.0,0.0,0.6124669672003726
libsndfile,2020-10-27 07:16:21.728000,"{libsndfile,afl}","{77209fa248c20e6b9c25d55e27ac6bb3431b20d8,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-28 06:15:20.389000,"{libsndfile,afl}","{dc982dad37827d960d3ec2db8cf5ebd19812e082,82b5e359463238d790cadbe2dd494d6a4928bff3}",10504.0,32165.0,10628.0,32165.0,0.0,0.3855122027048026
libsndfile,2020-10-28 06:15:20.389000,"{libsndfile,afl}","{dc982dad37827d960d3ec2db8cf5ebd19812e082,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-29 07:28:41.709000,"{libsndfile,afl}","{4819cad05c577c0a5b5e9c5bc13dae5f32afde03,82b5e359463238d790cadbe2dd494d6a4928bff3}",10628.0,32165.0,10915.0,32175.0,10.0,0.8817273888003001
libsndfile,2020-10-31 07:37:18.664000,"{libsndfile,afl}","{4819cad05c577c0a5b5e9c5bc13dae5f32afde03,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-01 08:33:15.355000,"{libsndfile,afl}","{2cea76b40e55a0ae56ac9acbd2129fead6ed43e7,82b5e359463238d790cadbe2dd494d6a4928bff3}",11059.0,32175.0,11104.0,32175.0,0.0,0.13986013986014
libsndfile,2020-11-07 08:34:54.175000,"{libsndfile,afl}","{2cea76b40e55a0ae56ac9acbd2129fead6ed43e7,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-08 08:20:33.011000,"{libsndfile,afl}","{08d802a3d18fa19c74f38ed910d9e33f80248187,82b5e359463238d790cadbe2dd494d6a4928bff3}",11036.0,32175.0,11334.0,32180.0,5.0,0.9207116341982697
