project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libsodium,2019-03-13 13:16:19.437000,"{libsodium,libfuzzer}","{be509424e9d28f6bcde6e453da7c772fc8ae6682,356046}",2019-03-14 13:16:37.417000,"{libsodium,libfuzzer}","{be509424e9d28f6bcde6e453da7c772fc8ae6682,356140}",1763.0,8479.0,1763.0,8479.0,0.0,0.0
libsodium,2019-03-14 13:16:37.417000,"{libsodium,libfuzzer}","{be509424e9d28f6bcde6e453da7c772fc8ae6682,356140}",2019-03-15 13:15:59.534000,"{libsodium,libfuzzer}","{be509424e9d28f6bcde6e453da7c772fc8ae6682,356258}",1763.0,8479.0,1763.0,8479.0,0.0,0.0
libsodium,2019-03-15 13:15:59.534000,"{libsodium,libfuzzer}","{be509424e9d28f6bcde6e453da7c772fc8ae6682,356258}",2019-03-16 13:16:00.822000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356322}",1763.0,8479.0,1763.0,8479.0,0.0,0.0
libsodium,2019-03-16 13:16:00.822000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356322}",2019-03-17 13:16:20.927000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356330}",1763.0,8479.0,1763.0,8479.0,0.0,0.0
libsodium,2019-03-17 13:16:20.927000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356330}",2019-03-18 13:16:21.464000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356365}",1763.0,8479.0,1763.0,8479.0,0.0,0.0
libsodium,2019-03-18 13:16:21.464000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356365}",2019-03-19 13:16:09.924000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356450}",1763.0,8479.0,1763.0,8479.0,0.0,0.0
libsodium,2019-03-19 13:16:09.924000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356450}",2019-03-20 13:15:38.366000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356552}",1763.0,8479.0,1763.0,8479.0,0.0,0.0
libsodium,2019-03-20 13:15:38.366000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356552}",2019-03-21 13:16:45.889000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356662}",1763.0,8479.0,1763.0,8479.0,0.0,0.0
libsodium,2019-03-21 13:16:45.889000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356662}",2019-03-22 13:16:29.363000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356747}",1763.0,8479.0,1763.0,8479.0,0.0,0.0
libsodium,2019-03-22 13:16:29.363000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356747}",2019-03-23 13:16:30.791000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356831}",1763.0,8479.0,1763.0,8479.0,0.0,0.0
libsodium,2019-03-23 13:16:30.791000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356831}",2019-03-24 13:16:32.011000,"{libsodium,libfuzzer}","{8f8d060e111eafd6200e6ea4dd91214b7606bab7,356852}",1763.0,8479.0,1763.0,8479.0,0.0,0.0
