project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libspectre,2020-02-28 14:15:59.533000,"{libspectre,afl}","{ca205d084434915127e64a9d54eafd05cdee872b,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-02-29 14:13:29.118000,"{libspectre,afl}","{920c30cf1d4353b28266fc91f88b2ae72e0f5e4f,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",75888.0,527042.0,40109.0,525037.0,-2005.0,-6.759581326289272
libspectre,2020-03-01 14:13:34.694000,"{libspectre,afl}","{920c30cf1d4353b28266fc91f88b2ae72e0f5e4f,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-02 14:08:22.754000,"{libspectre,afl}","{836217c48d2b499f9dda2dcc848cf1dc85a4b18a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",40109.0,525037.0,40120.0,525037.0,0.0,0.0020950904412453397
libspectre,2020-03-02 14:08:22.754000,"{libspectre,afl}","{836217c48d2b499f9dda2dcc848cf1dc85a4b18a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-03 14:08:10.254000,"{libspectre,afl}","{3bff18aa496ff00b9ddd127c83241a4399850ef0,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",40120.0,525037.0,40207.0,525038.0,1.0,0.016555675272594605
libspectre,2020-03-06 14:08:20.605000,"{libspectre,afl}","{3bff18aa496ff00b9ddd127c83241a4399850ef0,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-07 14:08:40.473000,"{libspectre,afl}","{567f72a04dcc5e883e708bd2a3a149e818c1c12f,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",40258.0,525038.0,40269.0,525039.0,1.0,0.002080478525432916
libspectre,2020-03-10 13:08:31.538000,"{libspectre,afl}","{567f72a04dcc5e883e708bd2a3a149e818c1c12f,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-12 16:33:04.994000,"{libspectre,afl}","{945d39259c0ca1dfd6c594a9d3ed971152313190,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",40276.0,525039.0,40231.0,525040.0,1.0,-0.00858538596906655
libspectre,2020-03-28 13:09:40.716000,"{libspectre,afl}","{945d39259c0ca1dfd6c594a9d3ed971152313190,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-03-29 13:09:31.118000,"{libspectre,afl}","{f56ba915e3f125130f131cca8a89580e1990c0e2,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",40290.0,525040.0,40291.0,525041.0,1.0,0.00017584588431684978
libspectre,2020-04-08 13:09:49.598000,"{libspectre,afl}","{f56ba915e3f125130f131cca8a89580e1990c0e2,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-04-09 13:09:50.256000,"{libspectre,afl}","{dd7168828cf07971adc8c24bab0f3b6e3d28e0c9,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",40300.0,525041.0,40296.0,525043.0,2.0,-0.0007910803155137813
libspectre,2020-04-09 13:09:50.256000,"{libspectre,afl}","{dd7168828cf07971adc8c24bab0f3b6e3d28e0c9,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-04-10 13:10:03.139000,"{libspectre,afl}","{af1cb4cb719dcb94314bbefc78b59ac426b8fed2,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",40296.0,525043.0,40296.0,525045.0,2.0,-2.9234827373159078e-05
libspectre,2020-04-11 13:09:52.834000,"{libspectre,afl}","{af1cb4cb719dcb94314bbefc78b59ac426b8fed2,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-04-12 13:10:08.287000,"{libspectre,afl}","{465a5c66e5e1ea04a8f70105b1db4ef8051c0428,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",40296.0,525045.0,40283.0,525055.0,10.0,-0.00262210188901868
libspectre,2020-04-13 13:09:38.074000,"{libspectre,afl}","{465a5c66e5e1ea04a8f70105b1db4ef8051c0428,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-04-14 13:10:16.098000,"{libspectre,afl}","{3639f1fe932d8374dd482de4e01457afe3e43a34,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",40283.0,525055.0,40287.0,525059.0,4.0,0.0007033712506059331
