project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libtheora,2019-09-21 14:16:58.809000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,1f414d53535ea470bba3858bc1324081baf22c75,372469}",2019-09-22 14:15:22.461000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,1f414d53535ea470bba3858bc1324081baf22c75,372508}",3348.0,4367.0,3348.0,4367.0,0.0,0.0
libtheora,2019-09-22 14:15:22.461000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,1f414d53535ea470bba3858bc1324081baf22c75,372508}",2019-09-23 14:15:19.027000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,1f414d53535ea470bba3858bc1324081baf22c75,372611}",3348.0,4367.0,3348.0,4367.0,0.0,0.0
libtheora,2019-09-23 14:15:19.027000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,1f414d53535ea470bba3858bc1324081baf22c75,372611}",2019-09-24 14:16:33.149000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,1f414d53535ea470bba3858bc1324081baf22c75,372761}",3348.0,4367.0,3348.0,4367.0,0.0,0.0
libtheora,2019-09-24 14:16:33.149000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,1f414d53535ea470bba3858bc1324081baf22c75,372761}",2019-09-25 14:29:50.327000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,1f414d53535ea470bba3858bc1324081baf22c75,372877}",3348.0,4367.0,3348.0,4367.0,0.0,0.0
libtheora,2019-09-25 14:29:50.327000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,1f414d53535ea470bba3858bc1324081baf22c75,372877}",2019-09-26 14:16:40.750000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,1f414d53535ea470bba3858bc1324081baf22c75,372981}",3348.0,4367.0,3348.0,4367.0,0.0,0.0
libtheora,2019-09-26 14:16:40.750000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,1f414d53535ea470bba3858bc1324081baf22c75,372981}",2019-09-27 14:24:28.695000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373089}",3348.0,4367.0,3348.0,4367.0,0.0,0.0
libtheora,2019-09-27 14:24:28.695000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373089}",2019-09-28 23:50:02.562000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373153}",3348.0,4367.0,3348.0,4367.0,0.0,0.0
libtheora,2019-09-28 23:50:02.562000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373153}",2019-09-29 14:16:46.097000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373165}",3348.0,4367.0,3348.0,4367.0,0.0,0.0
libtheora,2019-09-29 14:16:46.097000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373165}",2019-09-30 14:25:10.826000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373211}",3348.0,4367.0,3348.0,4367.0,0.0,0.0
libtheora,2019-09-30 14:25:10.826000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373211}",2019-10-01 14:27:46.326000,"{fuzzing-headers,oss-fuzz-fuzzers,libtheora,ogg,afl,libfuzzer}","{691f40546a8f2b093e28c9c506b01e7814d329f3,66d0c7e6894a76866c8b8f6165d013682cf915fc,e5d205bfe849f1b41f45b91a0b71a3bdc6cd458f,c8fca6b4a02d695b1ceea39b330d4406001c03ed,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373340}",3348.0,4367.0,3348.0,4367.0,0.0,0.0
