project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libxslt,2019-04-19 13:36:02.460000,"{libxslt,libxml2,libfuzzer}","{01f8317dd8ffe2141fae0348edd9fd51037ee41b,93a1d2238087c3acc650ba741067f34fb94905fc,358755}",2019-04-20 13:37:07.501000,"{libxslt,libxml2,libfuzzer}","{01f8317dd8ffe2141fae0348edd9fd51037ee41b,93a1d2238087c3acc650ba741067f34fb94905fc,358816}",28684.0,139988.0,38343.0,140048.0,60.0,6.888142496397357
libxslt,2019-04-20 13:37:07.501000,"{libxslt,libxml2,libfuzzer}","{01f8317dd8ffe2141fae0348edd9fd51037ee41b,93a1d2238087c3acc650ba741067f34fb94905fc,358816}",2019-04-21 13:36:58.398000,"{libxslt,libxml2,libfuzzer}","{01f8317dd8ffe2141fae0348edd9fd51037ee41b,93a1d2238087c3acc650ba741067f34fb94905fc,358850}",38343.0,140048.0,38525.0,140048.0,0.0,0.1299554438478232
libxslt,2019-04-21 13:36:58.398000,"{libxslt,libxml2,libfuzzer}","{01f8317dd8ffe2141fae0348edd9fd51037ee41b,93a1d2238087c3acc650ba741067f34fb94905fc,358850}",2019-04-22 13:37:29.109000,"{libxslt,libxml2,libfuzzer}","{01f8317dd8ffe2141fae0348edd9fd51037ee41b,c2f4da1a9328251e9171a48b19b95ce4c699460f,358884}",38525.0,140048.0,34315.0,139463.0,-585.0,-2.903333292526799
libxslt,2019-04-22 13:37:29.109000,"{libxslt,libxml2,libfuzzer}","{01f8317dd8ffe2141fae0348edd9fd51037ee41b,c2f4da1a9328251e9171a48b19b95ce4c699460f,358884}",2019-04-23 13:38:21.419000,"{libxslt,libxml2,libfuzzer}","{4cefab0663a77791f4daba1b0700ac8ad74a150d,949eced484520bdde3348e55eba048501b809127,358985}",34315.0,139463.0,38103.0,139503.0,40.0,2.7082987197723085
libxslt,2019-04-23 13:38:21.419000,"{libxslt,libxml2,libfuzzer}","{4cefab0663a77791f4daba1b0700ac8ad74a150d,949eced484520bdde3348e55eba048501b809127,358985}",2019-04-24 13:37:42.540000,"{libxslt,libxml2,libfuzzer}","{4cefab0663a77791f4daba1b0700ac8ad74a150d,949eced484520bdde3348e55eba048501b809127,359093}",38103.0,139503.0,38884.0,139503.0,0.0,0.5598445911557448
libxslt,2019-04-24 13:37:42.540000,"{libxslt,libxml2,libfuzzer}","{4cefab0663a77791f4daba1b0700ac8ad74a150d,949eced484520bdde3348e55eba048501b809127,359093}",2019-04-25 13:36:10.720000,"{libxslt,libxml2,libfuzzer}","{c75b811de0afeea6acf19c99a755b8e1c0585aa9,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359190}",38884.0,139503.0,38902.0,139486.0,-17.0,0.016301600210180567
libxslt,2019-04-25 13:36:10.720000,"{libxslt,libxml2,libfuzzer}","{c75b811de0afeea6acf19c99a755b8e1c0585aa9,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359190}",2019-04-26 13:37:13.260000,"{libxslt,libxml2,libfuzzer}","{c75b811de0afeea6acf19c99a755b8e1c0585aa9,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359306}",38902.0,139486.0,39171.0,139486.0,0.0,0.1928508954303645
libxslt,2019-04-26 13:37:13.260000,"{libxslt,libxml2,libfuzzer}","{c75b811de0afeea6acf19c99a755b8e1c0585aa9,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359306}",2019-04-27 13:36:59.255000,"{libxslt,libxml2,libfuzzer}","{de6d869a8ef5ca327231fb73489f4c9024d8757a,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359378}",39171.0,139486.0,40321.0,139503.0,17.0,0.8209328788675272
libxslt,2019-04-27 13:36:59.255000,"{libxslt,libxml2,libfuzzer}","{de6d869a8ef5ca327231fb73489f4c9024d8757a,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359378}",2019-04-28 13:36:56.470000,"{libxslt,libxml2,libfuzzer}","{de6d869a8ef5ca327231fb73489f4c9024d8757a,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359399}",40321.0,139503.0,40551.0,139503.0,0.0,0.16487100635828966
libxslt,2019-04-28 13:36:56.470000,"{libxslt,libxml2,libfuzzer}","{de6d869a8ef5ca327231fb73489f4c9024d8757a,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359399}",2019-04-29 13:38:08.181000,"{libxslt,libxml2,libfuzzer}","{de6d869a8ef5ca327231fb73489f4c9024d8757a,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359447}",40551.0,139503.0,40614.0,139503.0,0.0,0.0451603191329184
libxslt,2019-04-29 13:38:08.181000,"{libxslt,libxml2,libfuzzer}","{de6d869a8ef5ca327231fb73489f4c9024d8757a,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359447}",2019-04-30 13:36:59.768000,"{libxslt,libxml2,libfuzzer}","{de6d869a8ef5ca327231fb73489f4c9024d8757a,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359560}",40614.0,139503.0,40614.0,139503.0,0.0,0.0
libxslt,2019-04-30 13:36:59.768000,"{libxslt,libxml2,libfuzzer}","{de6d869a8ef5ca327231fb73489f4c9024d8757a,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359560}",2019-05-01 13:35:12.550000,"{libxslt,libxml2,libfuzzer}","{de6d869a8ef5ca327231fb73489f4c9024d8757a,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359679}",40614.0,139503.0,41139.0,139503.0,0.0,0.37633599277434726
libxslt,2019-05-01 13:35:12.550000,"{libxslt,libxml2,libfuzzer}","{de6d869a8ef5ca327231fb73489f4c9024d8757a,346febc6abbd63d1fa6a532c7429d2c11b5c269b,359679}",2019-05-02 13:35:09.675000,"{libxslt,libxml2,libfuzzer}","{de6d869a8ef5ca327231fb73489f4c9024d8757a,ad93f087d118ac805a8600468ad26d68cc1f6a48,359785}",41139.0,139503.0,41357.0,139503.0,0.0,0.1562690408091605
