project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
libyang,2021-03-01 10:00:25.580000,"{libyang,aflplusplus,pcre2}","{8c254b2b5d89d15244941bdfcff28aef141efd9f,78d96c4dc86ac20e2a6e244017407ccc037ff13b,1304}",2021-03-02 11:12:36.118000,"{libyang,aflplusplus,pcre2}","{8c254b2b5d89d15244941bdfcff28aef141efd9f,c3a8052a16f7d2d1947ea538719905a9d7a24d22,1304}",9752.0,39719.0,11243.0,39719.0,0.0,3.753870943377219
libyang,2021-03-02 11:12:36.118000,"{libyang,aflplusplus,pcre2}","{8c254b2b5d89d15244941bdfcff28aef141efd9f,c3a8052a16f7d2d1947ea538719905a9d7a24d22,1304}",2021-03-03 06:49:11.701000,"{libyang,aflplusplus,pcre2}","{8c254b2b5d89d15244941bdfcff28aef141efd9f,333509bb0a56be9bd2e236f0e2f37d4af2dd7d59,1304}",11243.0,39719.0,11307.0,39794.0,75.0,0.10747910717005027
libyang,2021-03-04 10:29:10.113000,"{libyang,aflplusplus,pcre2}","{8c254b2b5d89d15244941bdfcff28aef141efd9f,333509bb0a56be9bd2e236f0e2f37d4af2dd7d59,1304}",2021-03-05 06:15:58.005000,"{libyang,aflplusplus,pcre2}","{8c254b2b5d89d15244941bdfcff28aef141efd9f,79d75d8e42e5adf64e149ab6e1fe197cb1d4f303,1304}",11392.0,39795.0,11601.0,39765.0,-30.0,0.5471847442966045
libyang,2021-03-05 06:15:58.005000,"{libyang,aflplusplus,pcre2}","{8c254b2b5d89d15244941bdfcff28aef141efd9f,79d75d8e42e5adf64e149ab6e1fe197cb1d4f303,1304}",2021-03-06 06:58:18.420000,"{libyang,aflplusplus,pcre2}","{8c254b2b5d89d15244941bdfcff28aef141efd9f,41ad23041b98917e9c38873f5b296ab98e59e460,1304}",11601.0,39765.0,11699.0,39760.0,-5.0,0.2501476228172521
libyang,2021-03-06 06:58:18.420000,"{libyang,aflplusplus,pcre2}","{8c254b2b5d89d15244941bdfcff28aef141efd9f,41ad23041b98917e9c38873f5b296ab98e59e460,1304}",2021-03-07 06:18:11.894000,"{libyang,aflplusplus,pcre2}","{8c254b2b5d89d15244941bdfcff28aef141efd9f,9b3d8c327d33191b181219ffce411b40bdbe8902,1304}",11699.0,39760.0,11827.0,39760.0,0.0,0.3219315895372219
libyang,2021-03-08 07:55:41.054000,"{libyang,aflplusplus,pcre2}","{8c254b2b5d89d15244941bdfcff28aef141efd9f,9b3d8c327d33191b181219ffce411b40bdbe8902,1304}",2021-03-09 06:39:29.061000,"{libyang,aflplusplus,pcre2}","{8e9f87949974c7b2c6dc5e830c0e78e4160fbc50,9b3d8c327d33191b181219ffce411b40bdbe8902,1304}",11964.0,39760.0,12093.0,39760.0,0.0,0.32444668008048083
libyang,2021-03-09 06:39:29.061000,"{libyang,aflplusplus,pcre2}","{8e9f87949974c7b2c6dc5e830c0e78e4160fbc50,9b3d8c327d33191b181219ffce411b40bdbe8902,1304}",2021-03-11 08:35:31.812000,"{libyang,aflplusplus,pcre2}","{8e9f87949974c7b2c6dc5e830c0e78e4160fbc50,74a6044b3fba496c1255f9aedbf5b7253ae29f0e,1304}",12093.0,39760.0,12152.0,39785.0,25.0,0.12918500066630756
libyang,2021-03-16 08:25:13.441000,"{libyang,aflplusplus,pcre2}","{8e9f87949974c7b2c6dc5e830c0e78e4160fbc50,74a6044b3fba496c1255f9aedbf5b7253ae29f0e,1304}",2021-03-17 07:46:43.358000,"{libyang,aflplusplus,pcre2}","{8e9f87949974c7b2c6dc5e830c0e78e4160fbc50,7c2436c7114e21f029b06346421a73910deac578,1304}",12370.0,39909.0,12389.0,39920.0,11.0,0.03905434211528558
libyang,2021-03-18 06:48:52.377000,"{libyang,aflplusplus,pcre2}","{8e9f87949974c7b2c6dc5e830c0e78e4160fbc50,7c2436c7114e21f029b06346421a73910deac578,1304}",2021-03-19 08:08:57.079000,"{libyang,aflplusplus,pcre2}","{8e9f87949974c7b2c6dc5e830c0e78e4160fbc50,94312796f936ba1830b61432a0f958e192dd212f,1304}",12389.0,39920.0,12514.0,39920.0,0.0,0.3131262525050147
libyang,2021-03-19 08:08:57.079000,"{libyang,aflplusplus,pcre2}","{8e9f87949974c7b2c6dc5e830c0e78e4160fbc50,94312796f936ba1830b61432a0f958e192dd212f,1304}",2021-03-20 07:58:58.059000,"{libyang,aflplusplus,pcre2}","{8e9f87949974c7b2c6dc5e830c0e78e4160fbc50,2102264acf5c271b7560a82771b3af8136af9354,1304}",12514.0,39920.0,9123.0,39861.0,-59.0,-8.460662953060485
