project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
llvm_libcxx,2019-03-13 13:18:56.543000,"{libcxx,libcxxabi,libfuzzer}","{356046,356046,356046}",2019-03-14 13:19:05.291000,"{libcxx,libcxxabi,libfuzzer}","{356140,356140,356140}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-03-14 13:19:05.291000,"{libcxx,libcxxabi,libfuzzer}","{356140,356140,356140}",2019-03-15 13:18:42.938000,"{libcxx,libcxxabi,libfuzzer}","{356258,356258,356258}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-03-15 13:18:42.938000,"{libcxx,libcxxabi,libfuzzer}","{356258,356258,356258}",2019-03-16 13:18:29.440000,"{libcxx,libcxxabi,libfuzzer}","{356322,356322,356322}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-03-16 13:18:29.440000,"{libcxx,libcxxabi,libfuzzer}","{356322,356322,356322}",2019-03-17 13:18:34.543000,"{libcxx,libcxxabi,libfuzzer}","{356330,356330,356330}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-03-17 13:18:34.543000,"{libcxx,libcxxabi,libfuzzer}","{356330,356330,356330}",2019-03-18 13:18:49.094000,"{libcxx,libcxxabi,libfuzzer}","{356365,356365,356365}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-03-18 13:18:49.094000,"{libcxx,libcxxabi,libfuzzer}","{356365,356365,356365}",2019-03-19 13:18:32.464000,"{libcxx,libcxxabi,libfuzzer}","{356450,356450,356450}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-03-19 13:18:32.464000,"{libcxx,libcxxabi,libfuzzer}","{356450,356450,356450}",2019-03-20 13:18:34.092000,"{libcxx,libcxxabi,libfuzzer}","{356552,356552,356552}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-03-20 13:18:34.092000,"{libcxx,libcxxabi,libfuzzer}","{356552,356552,356552}",2019-03-21 13:20:02.203000,"{libcxx,libcxxabi,libfuzzer}","{356662,356662,356662}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-03-21 13:20:02.203000,"{libcxx,libcxxabi,libfuzzer}","{356662,356662,356662}",2019-03-22 13:19:14.291000,"{libcxx,libcxxabi,libfuzzer}","{356747,356747,356747}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-03-22 13:19:14.291000,"{libcxx,libcxxabi,libfuzzer}","{356747,356747,356747}",2019-03-23 13:19:44.147000,"{libcxx,libcxxabi,libfuzzer}","{356831,356831,356831}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-03-23 13:19:44.147000,"{libcxx,libcxxabi,libfuzzer}","{356831,356831,356831}",2019-03-24 13:18:47.868000,"{libcxx,libcxxabi,libfuzzer}","{356852,356852,356852}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-03-24 13:18:47.868000,"{libcxx,libcxxabi,libfuzzer}","{356852,356852,356852}",2019-03-25 13:20:54.959000,"{libcxx,libcxxabi,libfuzzer}","{356894,356894,356894}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-03-25 13:20:54.959000,"{libcxx,libcxxabi,libfuzzer}","{356894,356894,356894}",2019-04-01 13:19:41.901000,"{libcxx,libcxxabi,libfuzzer}","{357380,357380,357380}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-04-01 13:19:41.901000,"{libcxx,libcxxabi,libfuzzer}","{357380,357380,357380}",2019-04-02 13:46:46.830000,"{libcxx,libcxxabi,libfuzzer}","{357471,357471,357471}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-04-02 13:46:46.830000,"{libcxx,libcxxabi,libfuzzer}","{357471,357471,357471}",2019-04-03 13:18:14.856000,"{libcxx,libcxxabi,libfuzzer}","{357577,357577,357577}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-04-03 13:18:14.856000,"{libcxx,libcxxabi,libfuzzer}","{357577,357577,357577}",2019-04-04 13:18:11.073000,"{libcxx,libcxxabi,libfuzzer}","{357690,357690,357690}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-04-04 13:18:11.073000,"{libcxx,libcxxabi,libfuzzer}","{357690,357690,357690}",2019-04-05 13:19:11.935000,"{libcxx,libcxxabi,libfuzzer}","{357759,357759,357759}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-04-05 13:19:11.935000,"{libcxx,libcxxabi,libfuzzer}","{357759,357759,357759}",2019-04-06 13:17:59.272000,"{libcxx,libcxxabi,libfuzzer}","{357838,357838,357838}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-04-06 13:17:59.272000,"{libcxx,libcxxabi,libfuzzer}","{357838,357838,357838}",2019-04-07 13:18:59.649000,"{libcxx,libcxxabi,libfuzzer}","{357862,357862,357862}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-04-07 13:18:59.649000,"{libcxx,libcxxabi,libfuzzer}","{357862,357862,357862}",2019-04-08 13:18:38.307000,"{libcxx,libcxxabi,libfuzzer}","{357908,357908,357908}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-04-08 13:18:38.307000,"{libcxx,libcxxabi,libfuzzer}","{357908,357908,357908}",2019-04-09 13:19:27.083000,"{libcxx,libcxxabi,libfuzzer}","{358000,358000,358000}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-04-09 13:19:27.083000,"{libcxx,libcxxabi,libfuzzer}","{358000,358000,358000}",2019-04-10 13:19:48.875000,"{libcxx,libcxxabi,libfuzzer}","{358079,358079,358079}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-04-10 13:19:48.875000,"{libcxx,libcxxabi,libfuzzer}","{358079,358079,358079}",2019-04-11 13:19:08.664000,"{libcxx,libcxxabi,libfuzzer}","{358164,358164,358164}",449.0,467.0,449.0,467.0,0.0,0.0
llvm_libcxx,2019-04-11 13:19:08.664000,"{libcxx,libcxxabi,libfuzzer}","{358164,358164,358164}",2019-04-12 13:18:10.145000,"{libcxx,libcxxabi,libfuzzer}","{358282,358282,358282}",449.0,467.0,449.0,467.0,0.0,0.0
