project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
llvm_libcxxabi,2019-03-13 14:11:18.049000,"{llvm_libcxxabi,libfuzzer}","{356050,356050}",2019-03-14 14:09:09.337000,"{llvm_libcxxabi,libfuzzer}","{356146,356146}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-03-14 14:09:09.337000,"{llvm_libcxxabi,libfuzzer}","{356146,356146}",2019-03-15 14:07:59.932000,"{llvm_libcxxabi,libfuzzer}","{356263,356263}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-03-15 14:07:59.932000,"{llvm_libcxxabi,libfuzzer}","{356263,356263}",2019-03-16 14:05:44.791000,"{llvm_libcxxabi,libfuzzer}","{356323,356323}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-03-16 14:05:44.791000,"{llvm_libcxxabi,libfuzzer}","{356323,356323}",2019-03-17 14:05:31.094000,"{llvm_libcxxabi,libfuzzer}","{356331,356331}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-03-17 14:05:31.094000,"{llvm_libcxxabi,libfuzzer}","{356331,356331}",2019-03-18 14:11:51.258000,"{llvm_libcxxabi,libfuzzer}","{356369,356369}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-03-18 14:11:51.258000,"{llvm_libcxxabi,libfuzzer}","{356369,356369}",2019-03-19 14:06:41.696000,"{llvm_libcxxabi,libfuzzer}","{356455,356455}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-03-19 14:06:41.696000,"{llvm_libcxxabi,libfuzzer}","{356455,356455}",2019-03-20 14:05:38.633000,"{llvm_libcxxabi,libfuzzer}","{356554,356554}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-03-20 14:05:38.633000,"{llvm_libcxxabi,libfuzzer}","{356554,356554}",2019-03-21 14:09:11.923000,"{llvm_libcxxabi,libfuzzer}","{356667,356667}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-03-21 14:09:11.923000,"{llvm_libcxxabi,libfuzzer}","{356667,356667}",2019-03-22 14:08:48.917000,"{llvm_libcxxabi,libfuzzer}","{356751,356751}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-03-22 14:08:48.917000,"{llvm_libcxxabi,libfuzzer}","{356751,356751}",2019-03-23 14:05:24.056000,"{llvm_libcxxabi,libfuzzer}","{356832,356832}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-03-23 14:05:24.056000,"{llvm_libcxxabi,libfuzzer}","{356832,356832}",2019-03-24 14:04:52.247000,"{llvm_libcxxabi,libfuzzer}","{356855,356855}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-03-24 14:04:52.247000,"{llvm_libcxxabi,libfuzzer}","{356855,356855}",2019-03-25 14:15:34.235000,"{llvm_libcxxabi,libfuzzer}","{356898,356898}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-03-25 14:15:34.235000,"{llvm_libcxxabi,libfuzzer}","{356898,356898}",2019-04-01 14:05:42.783000,"{llvm_libcxxabi,libfuzzer}","{357386,357386}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-04-01 14:05:42.783000,"{llvm_libcxxabi,libfuzzer}","{357386,357386}",2019-04-02 16:07:58.511000,"{llvm_libcxxabi,libfuzzer}","{357488,357488}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-04-02 16:07:58.511000,"{llvm_libcxxabi,libfuzzer}","{357488,357488}",2019-04-03 14:01:53.082000,"{llvm_libcxxabi,libfuzzer}","{357581,357581}",3621.0,4018.0,3621.0,4018.0,0.0,0.0
llvm_libcxxabi,2019-04-03 14:01:53.082000,"{llvm_libcxxabi,libfuzzer}","{357581,357581}",2019-04-04 14:05:31.628000,"{llvm_libcxxabi,libfuzzer}","{357695,357695}",3621.0,4018.0,3622.0,4019.0,1.0,0.002458456725776159
llvm_libcxxabi,2019-04-04 14:05:31.628000,"{llvm_libcxxabi,libfuzzer}","{357695,357695}",2019-04-05 14:08:57.351000,"{llvm_libcxxabi,libfuzzer}","{357764,357764}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-05 14:08:57.351000,"{llvm_libcxxabi,libfuzzer}","{357764,357764}",2019-04-06 14:03:00.667000,"{llvm_libcxxabi,libfuzzer}","{357839,357839}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-06 14:03:00.667000,"{llvm_libcxxabi,libfuzzer}","{357839,357839}",2019-04-07 14:00:34.419000,"{llvm_libcxxabi,libfuzzer}","{357866,357866}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-07 14:00:34.419000,"{llvm_libcxxabi,libfuzzer}","{357866,357866}",2019-04-08 14:05:00.714000,"{llvm_libcxxabi,libfuzzer}","{357913,357913}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-08 14:05:00.714000,"{llvm_libcxxabi,libfuzzer}","{357913,357913}",2019-04-09 14:24:04.724000,"{llvm_libcxxabi,libfuzzer}","{358006,358006}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-09 14:24:04.724000,"{llvm_libcxxabi,libfuzzer}","{358006,358006}",2019-04-10 14:10:16.036000,"{llvm_libcxxabi,libfuzzer}","{358083,358083}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-10 14:10:16.036000,"{llvm_libcxxabi,libfuzzer}","{358083,358083}",2019-04-11 14:09:30.178000,"{llvm_libcxxabi,libfuzzer}","{358168,358168}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-11 14:09:30.178000,"{llvm_libcxxabi,libfuzzer}","{358168,358168}",2019-04-12 14:06:06.762000,"{llvm_libcxxabi,libfuzzer}","{358284,358284}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-12 14:06:06.762000,"{llvm_libcxxabi,libfuzzer}","{358284,358284}",2019-04-13 14:11:31.371000,"{llvm_libcxxabi,libfuzzer}","{358332,358332}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-13 14:11:31.371000,"{llvm_libcxxabi,libfuzzer}","{358332,358332}",2019-04-14 14:03:47.160000,"{llvm_libcxxabi,libfuzzer}","{358357,358357}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-14 14:03:47.160000,"{llvm_libcxxabi,libfuzzer}","{358357,358357}",2019-04-15 14:14:32.582000,"{llvm_libcxxabi,libfuzzer}","{358409,358409}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-15 14:14:32.582000,"{llvm_libcxxabi,libfuzzer}","{358409,358409}",2019-04-16 14:17:55.887000,"{llvm_libcxxabi,libfuzzer}","{358491,358491}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-16 14:17:55.887000,"{llvm_libcxxabi,libfuzzer}","{358491,358491}",2019-04-17 14:09:20.949000,"{llvm_libcxxabi,libfuzzer}","{358579,358579}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-17 14:09:20.949000,"{llvm_libcxxabi,libfuzzer}","{358579,358579}",2019-04-18 14:09:20.187000,"{llvm_libcxxabi,libfuzzer}","{358665,358665}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-18 14:09:20.187000,"{llvm_libcxxabi,libfuzzer}","{358665,358665}",2019-04-19 14:08:36.920000,"{llvm_libcxxabi,libfuzzer}","{358759,358759}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-19 14:08:36.920000,"{llvm_libcxxabi,libfuzzer}","{358759,358759}",2019-04-20 14:11:59.806000,"{llvm_libcxxabi,libfuzzer}","{358816,358816}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-20 14:11:59.806000,"{llvm_libcxxabi,libfuzzer}","{358816,358816}",2019-04-21 14:12:40.554000,"{llvm_libcxxabi,libfuzzer}","{358851,358851}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-21 14:12:40.554000,"{llvm_libcxxabi,libfuzzer}","{358851,358851}",2019-04-22 14:18:56.363000,"{llvm_libcxxabi,libfuzzer}","{358887,358887}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-22 14:18:56.363000,"{llvm_libcxxabi,libfuzzer}","{358887,358887}",2019-04-23 14:15:51.554000,"{llvm_libcxxabi,libfuzzer}","{358989,358989}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-23 14:15:51.554000,"{llvm_libcxxabi,libfuzzer}","{358989,358989}",2019-04-24 14:12:45.024000,"{llvm_libcxxabi,libfuzzer}","{359096,359096}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-24 14:12:45.024000,"{llvm_libcxxabi,libfuzzer}","{359096,359096}",2019-04-25 14:05:48.139000,"{llvm_libcxxabi,libfuzzer}","{359193,359193}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-25 14:05:48.139000,"{llvm_libcxxabi,libfuzzer}","{359193,359193}",2019-04-26 14:11:17.332000,"{llvm_libcxxabi,libfuzzer}","{359308,359308}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-26 14:11:17.332000,"{llvm_libcxxabi,libfuzzer}","{359308,359308}",2019-04-27 14:12:23.186000,"{llvm_libcxxabi,libfuzzer}","{359378,359378}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-27 14:12:23.186000,"{llvm_libcxxabi,libfuzzer}","{359378,359378}",2019-04-28 14:09:48.992000,"{llvm_libcxxabi,libfuzzer}","{359399,359399}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-28 14:09:48.992000,"{llvm_libcxxabi,libfuzzer}","{359399,359399}",2019-04-29 14:12:56.307000,"{llvm_libcxxabi,libfuzzer}","{359453,359453}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-29 14:12:56.307000,"{llvm_libcxxabi,libfuzzer}","{359453,359453}",2019-04-30 14:09:31.600000,"{llvm_libcxxabi,libfuzzer}","{359563,359563}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-04-30 14:09:31.600000,"{llvm_libcxxabi,libfuzzer}","{359563,359563}",2019-05-01 14:06:59.863000,"{llvm_libcxxabi,libfuzzer}","{359683,359683}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-05-01 14:06:59.863000,"{llvm_libcxxabi,libfuzzer}","{359683,359683}",2019-05-02 14:03:48.004000,"{llvm_libcxxabi,libfuzzer}","{359787,359787}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
llvm_libcxxabi,2019-05-02 14:03:48.004000,"{llvm_libcxxabi,libfuzzer}","{359787,359787}",2019-05-03 14:13:36.916000,"{llvm_libcxxabi,libfuzzer}","{359887,359887}",3622.0,4019.0,3622.0,4019.0,0.0,0.0
