project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
looker-sdk,2022-09-15 06:37:10.782000,"{sdk-codegen,centipede,aflplusplus}","{126d3e4ba7dd9c86970a5dcf497aa35a52cb78cf,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-16 06:32:43.883000,"{sdk-codegen,centipede,aflplusplus}","{126d3e4ba7dd9c86970a5dcf497aa35a52cb78cf,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",20095.0,67622.0,20095.0,67622.0,0.0,0.0
looker-sdk,2022-09-19 06:37:39.952000,"{sdk-codegen,centipede,aflplusplus}","{126d3e4ba7dd9c86970a5dcf497aa35a52cb78cf,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-20 06:21:53.792000,"{sdk-codegen,centipede,aflplusplus}","{eaf7ba0400920346fe2fd2ce90c5259e98271480,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",20095.0,67622.0,20095.0,67622.0,0.0,0.0
looker-sdk,2022-09-20 06:21:53.792000,"{sdk-codegen,centipede,aflplusplus}","{eaf7ba0400920346fe2fd2ce90c5259e98271480,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-21 06:07:43.701000,"{sdk-codegen,centipede,aflplusplus}","{cf8ecdf53761193b575590aec21963ccc388b15a,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",20095.0,67622.0,20141.0,67706.0,84.0,0.031072586451514894
looker-sdk,2022-09-21 06:07:43.701000,"{sdk-codegen,centipede,aflplusplus}","{cf8ecdf53761193b575590aec21963ccc388b15a,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:07:08.738000,"{sdk-codegen,centipede,aflplusplus}","{2e6e19e72048e88be93af11e6de5e92cee92fed0,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",20141.0,67706.0,20141.0,67706.0,0.0,0.0
looker-sdk,2022-10-14 06:48:23.621000,"{sdk-codegen,centipede,aflplusplus}","{2e6e19e72048e88be93af11e6de5e92cee92fed0,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-15 06:48:31.659000,"{sdk-codegen,centipede,aflplusplus}","{7ee39bb993a1dbdcecc53dcd6824ff04ae7ef2dd,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",19380.0,66926.0,19380.0,66926.0,0.0,0.0
looker-sdk,2022-10-17 06:07:34.875000,"{sdk-codegen,centipede,aflplusplus}","{7ee39bb993a1dbdcecc53dcd6824ff04ae7ef2dd,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-18 06:42:45.373000,"{sdk-codegen,centipede,aflplusplus}","{ba7ded84a9a09da2ef63362792656cbd57d9aae1,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",19380.0,66926.0,19386.0,66938.0,12.0,0.003772322587657584
looker-sdk,2022-10-18 06:42:45.373000,"{sdk-codegen,centipede,aflplusplus}","{ba7ded84a9a09da2ef63362792656cbd57d9aae1,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-19 06:38:15.432000,"{sdk-codegen,centipede,aflplusplus}","{39dc3bc4095e4620980dde8f2a1d6c2b31ca1b91,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",19386.0,66938.0,19386.0,66938.0,0.0,0.0
looker-sdk,2022-10-26 19:37:17.171000,"{sdk-codegen,centipede,aflplusplus}","{39dc3bc4095e4620980dde8f2a1d6c2b31ca1b91,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:07:18.303000,"{sdk-codegen,centipede}","{39dc3bc4095e4620980dde8f2a1d6c2b31ca1b91,baa82e7189677bb9086beb5d9b5e58018d991607}",19389.0,66941.0,19389.0,66941.0,0.0,0.0
looker-sdk,2022-10-28 06:20:33.502000,"{sdk-codegen,centipede}","{39dc3bc4095e4620980dde8f2a1d6c2b31ca1b91,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-10-29 06:12:09.403000,"{sdk-codegen,centipede}","{c464d2f24c7f8e7d282208efd00feaaba216fe3e,baa82e7189677bb9086beb5d9b5e58018d991607}",19389.0,66962.0,19389.0,66962.0,0.0,0.0
looker-sdk,2022-10-31 06:48:29.494000,"{sdk-codegen,centipede}","{c464d2f24c7f8e7d282208efd00feaaba216fe3e,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-01 06:27:09.312000,"{sdk-codegen,centipede}","{821ce7a4771c3700860b76a44d4e98a53053e219,baa82e7189677bb9086beb5d9b5e58018d991607}",19389.0,66962.0,19389.0,66962.0,0.0,0.0
