project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
mbedtls,2019-03-13 13:29:43.538000,"{openssl,boringssl,mbedtls,libfuzzer}","{62ca15650576f3953103b27e220e4ff4cc4abed5,35941f2923155664bd9fa5d897cb336a0ab729a1,a96f4fe94ee838e0a244f587fc978ae27dd06503,356046}",2019-03-14 13:28:25.698000,"{openssl,boringssl,mbedtls,libfuzzer}","{ee633ace7397ebc9829b845e7e7bbd8283b455f6,35941f2923155664bd9fa5d897cb336a0ab729a1,a96f4fe94ee838e0a244f587fc978ae27dd06503,356140}",25863.0,40953.0,25863.0,40953.0,0.0,0.0
mbedtls,2019-03-14 13:28:25.698000,"{openssl,boringssl,mbedtls,libfuzzer}","{ee633ace7397ebc9829b845e7e7bbd8283b455f6,35941f2923155664bd9fa5d897cb336a0ab729a1,a96f4fe94ee838e0a244f587fc978ae27dd06503,356140}",2019-03-15 13:28:08.443000,"{openssl,boringssl,mbedtls,libfuzzer}","{52eb5b7ca46a1bf0bb0e148c651eb7dcaae1a074,fdb48f98612e934eab339b4871484b1c987553e2,a96f4fe94ee838e0a244f587fc978ae27dd06503,356258}",25863.0,40953.0,25863.0,40953.0,0.0,0.0
mbedtls,2019-03-15 13:28:08.443000,"{openssl,boringssl,mbedtls,libfuzzer}","{52eb5b7ca46a1bf0bb0e148c651eb7dcaae1a074,fdb48f98612e934eab339b4871484b1c987553e2,a96f4fe94ee838e0a244f587fc978ae27dd06503,356258}",2019-03-16 13:26:55.338000,"{openssl,boringssl,mbedtls,libfuzzer}","{52eb5b7ca46a1bf0bb0e148c651eb7dcaae1a074,fdb48f98612e934eab339b4871484b1c987553e2,a96f4fe94ee838e0a244f587fc978ae27dd06503,356322}",25863.0,40953.0,25863.0,40953.0,0.0,0.0
mbedtls,2019-03-16 13:26:55.338000,"{openssl,boringssl,mbedtls,libfuzzer}","{52eb5b7ca46a1bf0bb0e148c651eb7dcaae1a074,fdb48f98612e934eab339b4871484b1c987553e2,a96f4fe94ee838e0a244f587fc978ae27dd06503,356322}",2019-03-17 13:27:19.387000,"{openssl,boringssl,mbedtls,libfuzzer}","{253d7622222166959d1a5e724434aae3fbd2537d,fdb48f98612e934eab339b4871484b1c987553e2,a96f4fe94ee838e0a244f587fc978ae27dd06503,356330}",25863.0,40953.0,25863.0,40953.0,0.0,0.0
mbedtls,2019-03-17 13:27:19.387000,"{openssl,boringssl,mbedtls,libfuzzer}","{253d7622222166959d1a5e724434aae3fbd2537d,fdb48f98612e934eab339b4871484b1c987553e2,a96f4fe94ee838e0a244f587fc978ae27dd06503,356330}",2019-03-18 13:28:25.390000,"{openssl,boringssl,mbedtls,libfuzzer}","{f643deac417a3ccb27f77670bb2b136de49079d9,fdb48f98612e934eab339b4871484b1c987553e2,a96f4fe94ee838e0a244f587fc978ae27dd06503,356365}",25863.0,40953.0,25863.0,40953.0,0.0,0.0
mbedtls,2019-03-18 13:28:25.390000,"{openssl,boringssl,mbedtls,libfuzzer}","{f643deac417a3ccb27f77670bb2b136de49079d9,fdb48f98612e934eab339b4871484b1c987553e2,a96f4fe94ee838e0a244f587fc978ae27dd06503,356365}",2019-03-19 13:27:09.197000,"{openssl,boringssl,mbedtls,libfuzzer}","{c41f3ae0d92a87b903a9ed585622adae06791676,4ca8d131d316b6f072f546c98c1011bbecb3f8b2,a96f4fe94ee838e0a244f587fc978ae27dd06503,356451}",25863.0,40953.0,25863.0,40953.0,0.0,0.0
mbedtls,2019-03-19 13:27:09.197000,"{openssl,boringssl,mbedtls,libfuzzer}","{c41f3ae0d92a87b903a9ed585622adae06791676,4ca8d131d316b6f072f546c98c1011bbecb3f8b2,a96f4fe94ee838e0a244f587fc978ae27dd06503,356451}",2019-03-20 13:27:54.310000,"{openssl,boringssl,mbedtls,libfuzzer}","{905c9a72a708701597891527b422c7f374125c52,4ca8d131d316b6f072f546c98c1011bbecb3f8b2,a96f4fe94ee838e0a244f587fc978ae27dd06503,356553}",25863.0,40953.0,25864.0,40953.0,0.0,0.002441823553830602
mbedtls,2019-03-20 13:27:54.310000,"{openssl,boringssl,mbedtls,libfuzzer}","{905c9a72a708701597891527b422c7f374125c52,4ca8d131d316b6f072f546c98c1011bbecb3f8b2,a96f4fe94ee838e0a244f587fc978ae27dd06503,356553}",2019-03-21 13:27:47.797000,"{openssl,boringssl,mbedtls,libfuzzer}","{fdf6c0b6b72756ba69be589b2aaecdd51e4ec12a,5501a26915ad33d8bcd37b7e99b7de460016d586,a96f4fe94ee838e0a244f587fc978ae27dd06503,356662}",25864.0,40953.0,25863.0,40953.0,0.0,-0.002441823553830602
mbedtls,2019-03-21 13:27:47.797000,"{openssl,boringssl,mbedtls,libfuzzer}","{fdf6c0b6b72756ba69be589b2aaecdd51e4ec12a,5501a26915ad33d8bcd37b7e99b7de460016d586,a96f4fe94ee838e0a244f587fc978ae27dd06503,356662}",2019-03-22 13:28:10.489000,"{openssl,boringssl,mbedtls,libfuzzer}","{94dc53a3f7549040dd9e61a25485070c14b41c49,5501a26915ad33d8bcd37b7e99b7de460016d586,a96f4fe94ee838e0a244f587fc978ae27dd06503,356747}",25863.0,40953.0,25863.0,40953.0,0.0,0.0
mbedtls,2019-03-22 13:28:10.489000,"{openssl,boringssl,mbedtls,libfuzzer}","{94dc53a3f7549040dd9e61a25485070c14b41c49,5501a26915ad33d8bcd37b7e99b7de460016d586,a96f4fe94ee838e0a244f587fc978ae27dd06503,356747}",2019-03-23 13:28:14.650000,"{openssl,boringssl,mbedtls,libfuzzer}","{9c0cf214e7836eb5aaf1ea5d3cbf6720533f86b5,1a36dd4930443d5b3d7d4b466ebe4d63a282bb10,a96f4fe94ee838e0a244f587fc978ae27dd06503,356831}",25863.0,40953.0,25864.0,40953.0,0.0,0.002441823553830602
