project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
mercurial,2019-03-13 13:13:35.427000,"{libfuzzer,mercurial}","{356045,2b21c7fbb3a109dab329df8f6e79987cebbcb4de}",2019-03-14 13:13:06.744000,"{libfuzzer,mercurial}","{356140,2b21c7fbb3a109dab329df8f6e79987cebbcb4de}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-03-14 13:13:06.744000,"{libfuzzer,mercurial}","{356140,2b21c7fbb3a109dab329df8f6e79987cebbcb4de}",2019-03-15 13:13:15.938000,"{libfuzzer,mercurial}","{356258,7e95ade0f369d7509d04d6c0eefc06ca3d26c6e7}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-03-15 13:13:15.938000,"{libfuzzer,mercurial}","{356258,7e95ade0f369d7509d04d6c0eefc06ca3d26c6e7}",2019-03-16 13:13:04.385000,"{libfuzzer,mercurial}","{356322,e1ceefab9bcad1bb472e261d73a5e3fda74fdf18}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-03-16 13:13:04.385000,"{libfuzzer,mercurial}","{356322,e1ceefab9bcad1bb472e261d73a5e3fda74fdf18}",2019-03-17 13:17:20.068000,"{libfuzzer,mercurial}","{356330,42dd6998577843c7b641d7039c89f37acd0d044f}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-03-17 13:17:20.068000,"{libfuzzer,mercurial}","{356330,42dd6998577843c7b641d7039c89f37acd0d044f}",2019-03-18 13:13:11.725000,"{libfuzzer,mercurial}","{356365,42dd6998577843c7b641d7039c89f37acd0d044f}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-03-18 13:13:11.725000,"{libfuzzer,mercurial}","{356365,42dd6998577843c7b641d7039c89f37acd0d044f}",2019-03-19 13:13:07.385000,"{libfuzzer,mercurial}","{356450,a564870811098d6721a6be5110cd6982b370c32e}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-03-19 13:13:07.385000,"{libfuzzer,mercurial}","{356450,a564870811098d6721a6be5110cd6982b370c32e}",2019-03-20 13:13:52.717000,"{libfuzzer,mercurial}","{356552,b1bc6e5f5249d0633db73be3c6853273485f3919}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-03-20 13:13:52.717000,"{libfuzzer,mercurial}","{356552,b1bc6e5f5249d0633db73be3c6853273485f3919}",2019-03-21 13:13:08.150000,"{libfuzzer,mercurial}","{356662,b1bc6e5f5249d0633db73be3c6853273485f3919}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-03-21 13:13:08.150000,"{libfuzzer,mercurial}","{356662,b1bc6e5f5249d0633db73be3c6853273485f3919}",2019-03-22 13:13:00.855000,"{libfuzzer,mercurial}","{356746,b1bc6e5f5249d0633db73be3c6853273485f3919}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-03-22 13:13:00.855000,"{libfuzzer,mercurial}","{356746,b1bc6e5f5249d0633db73be3c6853273485f3919}",2019-03-23 13:13:01.607000,"{libfuzzer,mercurial}","{356831,ba064f95175e6cb1467401a3a536d8c32229d4b1}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-03-23 13:13:01.607000,"{libfuzzer,mercurial}","{356831,ba064f95175e6cb1467401a3a536d8c32229d4b1}",2019-03-24 13:13:14.272000,"{libfuzzer,mercurial}","{356852,ba064f95175e6cb1467401a3a536d8c32229d4b1}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-03-24 13:13:14.272000,"{libfuzzer,mercurial}","{356852,ba064f95175e6cb1467401a3a536d8c32229d4b1}",2019-03-25 13:14:00.081000,"{libfuzzer,mercurial}","{356893,ba064f95175e6cb1467401a3a536d8c32229d4b1}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-03-25 13:14:00.081000,"{libfuzzer,mercurial}","{356893,ba064f95175e6cb1467401a3a536d8c32229d4b1}",2019-04-01 13:13:05.476000,"{libfuzzer,mercurial}","{357380,1f567a9e25bd51f6b5a188367c184beca3599ef1}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-04-01 13:13:05.476000,"{libfuzzer,mercurial}","{357380,1f567a9e25bd51f6b5a188367c184beca3599ef1}",2019-04-02 13:49:21.714000,"{libfuzzer,mercurial}","{357471,1f567a9e25bd51f6b5a188367c184beca3599ef1}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-04-02 13:49:21.714000,"{libfuzzer,mercurial}","{357471,1f567a9e25bd51f6b5a188367c184beca3599ef1}",2019-04-03 13:12:45.758000,"{libfuzzer,mercurial}","{357576,0129bf02fa044d791d6f33d8456dd2f8b6ecbfca}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-04-03 13:12:45.758000,"{libfuzzer,mercurial}","{357576,0129bf02fa044d791d6f33d8456dd2f8b6ecbfca}",2019-04-04 13:13:30.624000,"{libfuzzer,mercurial}","{357690,4ee906aa7b60fb6b113e4dc187fbb5a8f42e557c}",28251.0,108408.0,28251.0,108408.0,0.0,0.0
mercurial,2019-04-04 13:13:30.624000,"{libfuzzer,mercurial}","{357690,4ee906aa7b60fb6b113e4dc187fbb5a8f42e557c}",2019-04-05 13:13:43.270000,"{libfuzzer,mercurial}","{357759,4ee906aa7b60fb6b113e4dc187fbb5a8f42e557c}",28251.0,108408.0,28252.0,108408.0,0.0,0.0009224411482549044
mercurial,2019-04-05 13:13:43.270000,"{libfuzzer,mercurial}","{357759,4ee906aa7b60fb6b113e4dc187fbb5a8f42e557c}",2019-04-06 13:12:51.723000,"{libfuzzer,mercurial}","{357838,4ee906aa7b60fb6b113e4dc187fbb5a8f42e557c}",28252.0,108408.0,28252.0,108408.0,0.0,0.0
mercurial,2019-04-06 13:12:51.723000,"{libfuzzer,mercurial}","{357838,4ee906aa7b60fb6b113e4dc187fbb5a8f42e557c}",2019-04-07 13:12:28.656000,"{libfuzzer,mercurial}","{357861,675775c33ab66cd157b9929bb0371bf05cbceee6}",28252.0,108408.0,28260.0,108408.0,0.0,0.007379529186039235
mercurial,2019-04-07 13:12:28.656000,"{libfuzzer,mercurial}","{357861,675775c33ab66cd157b9929bb0371bf05cbceee6}",2019-04-08 13:13:08.374000,"{libfuzzer,mercurial}","{357908,675775c33ab66cd157b9929bb0371bf05cbceee6}",28260.0,108408.0,28260.0,108408.0,0.0,0.0
mercurial,2019-04-08 13:13:08.374000,"{libfuzzer,mercurial}","{357908,675775c33ab66cd157b9929bb0371bf05cbceee6}",2019-04-09 13:12:39.868000,"{libfuzzer,mercurial}","{358000,456c37433c433ee59d321315da24eb944e495f08}",28260.0,108408.0,28260.0,108408.0,0.0,0.0
mercurial,2019-04-09 13:12:39.868000,"{libfuzzer,mercurial}","{358000,456c37433c433ee59d321315da24eb944e495f08}",2019-04-10 13:13:40.998000,"{libfuzzer,mercurial}","{358079,91cc8dc866ed57c922fb0c4f8e364794e3c6bd94}",28260.0,108408.0,28260.0,108408.0,0.0,0.0
