project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
minizip,2019-03-13 14:01:27.133000,"{minizip,libfuzzer}","{e54d842759980cf0b34959b11ac330c6ed548780,356050}",2019-03-14 13:58:47.870000,"{minizip,libfuzzer}","{e54d842759980cf0b34959b11ac330c6ed548780,356146}",6569.0,17386.0,6569.0,17386.0,0.0,0.0
minizip,2019-03-14 13:58:47.870000,"{minizip,libfuzzer}","{e54d842759980cf0b34959b11ac330c6ed548780,356146}",2019-03-15 13:57:33.542000,"{minizip,libfuzzer}","{e54d842759980cf0b34959b11ac330c6ed548780,356260}",6569.0,17386.0,6570.0,17386.0,0.0,0.005751754285050481
minizip,2019-03-15 13:57:33.542000,"{minizip,libfuzzer}","{e54d842759980cf0b34959b11ac330c6ed548780,356260}",2019-03-16 13:55:50.777000,"{minizip,libfuzzer}","{e54d842759980cf0b34959b11ac330c6ed548780,356323}",6570.0,17386.0,6570.0,17386.0,0.0,0.0
minizip,2019-03-16 13:55:50.777000,"{minizip,libfuzzer}","{e54d842759980cf0b34959b11ac330c6ed548780,356323}",2019-03-17 13:56:01.004000,"{minizip,libfuzzer}","{e54d842759980cf0b34959b11ac330c6ed548780,356331}",6570.0,17386.0,6570.0,17386.0,0.0,0.0
minizip,2019-03-17 13:56:01.004000,"{minizip,libfuzzer}","{e54d842759980cf0b34959b11ac330c6ed548780,356331}",2019-03-18 14:00:21.745000,"{minizip,libfuzzer}","{488f20ff1bbf365704017066e9d81b35a78d7458,356368}",6570.0,17386.0,6570.0,17386.0,0.0,0.0
minizip,2019-03-18 14:00:21.745000,"{minizip,libfuzzer}","{488f20ff1bbf365704017066e9d81b35a78d7458,356368}",2019-03-19 13:57:28.461000,"{minizip,libfuzzer}","{488f20ff1bbf365704017066e9d81b35a78d7458,356454}",6570.0,17386.0,6570.0,17386.0,0.0,0.0
minizip,2019-03-19 13:57:28.461000,"{minizip,libfuzzer}","{488f20ff1bbf365704017066e9d81b35a78d7458,356454}",2019-03-20 13:55:47.971000,"{minizip,libfuzzer}","{488f20ff1bbf365704017066e9d81b35a78d7458,356553}",6570.0,17386.0,6570.0,17386.0,0.0,0.0
minizip,2019-03-20 13:55:47.971000,"{minizip,libfuzzer}","{488f20ff1bbf365704017066e9d81b35a78d7458,356553}",2019-03-21 13:58:33.958000,"{minizip,libfuzzer}","{488f20ff1bbf365704017066e9d81b35a78d7458,356665}",6570.0,17386.0,6570.0,17386.0,0.0,0.0
minizip,2019-03-21 13:58:33.958000,"{minizip,libfuzzer}","{488f20ff1bbf365704017066e9d81b35a78d7458,356665}",2019-03-22 14:00:14.556000,"{minizip,libfuzzer}","{488f20ff1bbf365704017066e9d81b35a78d7458,356750}",6570.0,17386.0,6570.0,17386.0,0.0,0.0
minizip,2019-03-22 14:00:14.556000,"{minizip,libfuzzer}","{488f20ff1bbf365704017066e9d81b35a78d7458,356750}",2019-03-23 13:56:48.603000,"{minizip,libfuzzer}","{488f20ff1bbf365704017066e9d81b35a78d7458,356832}",6570.0,17386.0,6570.0,17386.0,0.0,0.0
