project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
monero,2020-06-30 15:02:43.967000,"{monero,hidapi,libusb,libzmq,afl}","{93257997bd69e25c76de8ebf3f46bfeb44f11589,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-07-01 15:03:37.344000,"{monero,hidapi,libusb,libzmq,afl}","{93257997bd69e25c76de8ebf3f46bfeb44f11589,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,518e42281f77768215851d31fc61e8970ce21481}",9921.0,151674.0,9926.0,151674.0,0.0,0.0032965439033709742
monero,2020-07-04 15:00:57.954000,"{monero,hidapi,libusb,libzmq,afl}","{93257997bd69e25c76de8ebf3f46bfeb44f11589,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,518e42281f77768215851d31fc61e8970ce21481}",2020-07-05 14:57:36.291000,"{monero,hidapi,libusb,libzmq,afl}","{93257997bd69e25c76de8ebf3f46bfeb44f11589,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",9920.0,151674.0,9938.0,151674.0,0.0,0.011867558052137461
monero,2020-07-08 15:03:34.990000,"{monero,hidapi,libusb,libzmq,afl}","{93257997bd69e25c76de8ebf3f46bfeb44f11589,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-09 15:02:47.201000,"{monero,hidapi,libusb,libzmq,afl}","{9f93a1b632f0296141b9cd767ebf894f4d482cf5,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",9944.0,151674.0,9961.0,151795.0,121.0,0.005973212896880575
monero,2020-07-09 15:02:47.201000,"{monero,hidapi,libusb,libzmq,afl}","{9f93a1b632f0296141b9cd767ebf894f4d482cf5,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-10 14:56:36.728000,"{monero,hidapi,libusb,libzmq,afl}","{cb882dfc552e5a0144043cc1a355ea81d908d244,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",9961.0,151795.0,10222.0,151801.0,6.0,0.1716762548443853
monero,2020-07-15 15:10:19.688000,"{monero,hidapi,libusb,libzmq,afl}","{cb882dfc552e5a0144043cc1a355ea81d908d244,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-16 15:14:04.435000,"{monero,hidapi,libusb,libzmq,afl}","{5041de8a3b48f4db5b1a7b8f454d14bd2e3759c9,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",10252.0,151801.0,10000.0,151801.0,0.0,-0.16600681154933117
monero,2020-07-18 15:08:54.166000,"{monero,hidapi,libusb,libzmq,afl}","{5041de8a3b48f4db5b1a7b8f454d14bd2e3759c9,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-19 15:00:09.615000,"{monero,hidapi,libusb,libzmq,afl}","{5d850dde99ca282d2c6f9a1b1eb00a3812cb15be,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",10263.0,151801.0,10024.0,151987.0,186.0,-0.16552411360916164
monero,2020-08-05 08:59:07.884000,"{monero,hidapi,libusb,libzmq,afl}","{5d850dde99ca282d2c6f9a1b1eb00a3812cb15be,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-06 08:04:24.678000,"{monero,hidapi,libusb,libzmq,afl}","{9414194b1e47730843e4dbbd4214bf72d3540cf9,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",9747.0,144023.0,9991.0,144031.0,8.0,0.1690320739811373
monero,2020-08-09 09:31:43.920000,"{monero,hidapi,libusb,libzmq,afl}","{9414194b1e47730843e4dbbd4214bf72d3540cf9,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-10 10:22:29.396000,"{monero,hidapi,libusb,libzmq,afl}","{c108c5e2f0594476171d1a154a479a9b6a62cfc8,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",9996.0,144031.0,10002.0,144096.0,65.0,0.0010332610265892939
monero,2020-08-16 07:01:11.019000,"{monero,hidapi,libusb,libzmq,afl}","{c108c5e2f0594476171d1a154a479a9b6a62cfc8,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-17 08:59:41.993000,"{monero,hidapi,libusb,libzmq,afl}","{43a4fd9e16d43cf317c9bef159b1f8abf798168d,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",10002.0,144096.0,10024.0,144775.0,679.0,-0.017358513422985666
monero,2020-08-17 08:59:41.993000,"{monero,hidapi,libusb,libzmq,afl}","{43a4fd9e16d43cf317c9bef159b1f8abf798168d,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-18 09:00:33.939000,"{monero,hidapi,libusb,libzmq,afl}","{765db1ae7a3337d085584ab31983fe6b7599dbcb,40cf516139b5b61e30d9403a48db23d8f915f52c,0034b2afdcdb1614e78edaa2a9e22d5936aeae5d,a84ffa12b2eb3569ced199660bac5ad128bff1f0,82b5e359463238d790cadbe2dd494d6a4928bff3}",10024.0,144775.0,10277.0,144746.0,-29.0,0.17617614008767557
