project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
mongoose,2020-12-10 08:18:36.882000,"{mongoose,afl}","{05a43c563cab6f8673fc224d70d30d7b3c414a24,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-11 06:12:49.904000,"{mongoose,afl}","{369f44adfa38e0d8fa9667e9d6bafd7e0e3c6231,82b5e359463238d790cadbe2dd494d6a4928bff3}",450.0,2043.0,450.0,2045.0,2.0,-0.02154174251155183
mongoose,2020-12-11 06:12:49.904000,"{mongoose,afl}","{369f44adfa38e0d8fa9667e9d6bafd7e0e3c6231,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-12 08:51:38.282000,"{mongoose,afl}","{d806ed5d5f4ab5a2a6d6b549ed60731b6588efad,82b5e359463238d790cadbe2dd494d6a4928bff3}",450.0,2045.0,460.0,2067.0,22.0,0.2495851091136423
mongoose,2020-12-12 08:51:38.282000,"{mongoose,afl}","{d806ed5d5f4ab5a2a6d6b549ed60731b6588efad,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-13 08:31:21.904000,"{mongoose,afl}","{c5a4a1c6f2fec5c960e717d07acb8c7f117cec4e,82b5e359463238d790cadbe2dd494d6a4928bff3}",460.0,2067.0,460.0,2067.0,0.0,0.0
mongoose,2020-12-13 08:31:21.904000,"{mongoose,afl}","{c5a4a1c6f2fec5c960e717d07acb8c7f117cec4e,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-14 08:17:57.356000,"{mongoose,afl}","{09beadb98add4c18a66cf4269f2135bcccf7ec89,82b5e359463238d790cadbe2dd494d6a4928bff3}",460.0,2067.0,391.0,2065.0,-2.0,-3.319850387327204
mongoose,2020-12-14 08:17:57.356000,"{mongoose,afl}","{09beadb98add4c18a66cf4269f2135bcccf7ec89,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-15 07:37:39.465000,"{mongoose,afl}","{fa8f62fb5df938c9f7f69ef58875e985cb44b0df,82b5e359463238d790cadbe2dd494d6a4928bff3}",391.0,2065.0,391.0,2065.0,0.0,0.0
mongoose,2020-12-15 07:37:39.465000,"{mongoose,afl}","{fa8f62fb5df938c9f7f69ef58875e985cb44b0df,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-16 08:42:38.782000,"{mongoose,afl}","{8d45cf697216cd10968af937918b2712e243650f,82b5e359463238d790cadbe2dd494d6a4928bff3}",391.0,2065.0,405.0,2146.0,81.0,-0.06230410087803051
mongoose,2020-12-16 08:42:38.782000,"{mongoose,afl}","{8d45cf697216cd10968af937918b2712e243650f,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-17 09:15:47.720000,"{mongoose,afl}","{d1fa7b88e0a4d539d96c9bf8a5cebc3d73e57a78,82b5e359463238d790cadbe2dd494d6a4928bff3}",405.0,2146.0,389.0,2129.0,-17.0,-0.6008316345045586
mongoose,2020-12-17 09:15:47.720000,"{mongoose,afl}","{d1fa7b88e0a4d539d96c9bf8a5cebc3d73e57a78,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-18 07:24:57.187000,"{mongoose,afl}","{82a378e519e44091064fbdb45f706b1bfcd6a5cb,82b5e359463238d790cadbe2dd494d6a4928bff3}",389.0,2129.0,383.0,2135.0,6.0,-0.3323788916963615
mongoose,2020-12-18 07:24:57.187000,"{mongoose,afl}","{82a378e519e44091064fbdb45f706b1bfcd6a5cb,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-19 06:09:38.488000,"{mongoose,afl}","{d7abd53062423d3d3b1fcea096c71091cb0b8708,82b5e359463238d790cadbe2dd494d6a4928bff3}",383.0,2135.0,393.0,2122.0,-13.0,0.5811538317216538
mongoose,2020-12-20 08:22:43.427000,"{mongoose,afl}","{d7abd53062423d3d3b1fcea096c71091cb0b8708,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-21 09:14:15.452000,"{mongoose,afl}","{ddb700eee5f0440a01028bd7a10774dc507e1ca9,82b5e359463238d790cadbe2dd494d6a4928bff3}",393.0,2122.0,396.0,2150.0,28.0,-0.10165925081647131
mongoose,2020-12-21 09:14:15.452000,"{mongoose,afl}","{ddb700eee5f0440a01028bd7a10774dc507e1ca9,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-22 09:43:29.763000,"{mongoose,afl}","{fbab767b9f0a1a80d45fd8b6c057b04fa8237166,82b5e359463238d790cadbe2dd494d6a4928bff3}",396.0,2150.0,400.0,2155.0,5.0,0.14288026763071215
mongoose,2020-12-22 09:43:29.763000,"{mongoose,afl}","{fbab767b9f0a1a80d45fd8b6c057b04fa8237166,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-23 06:05:05.747000,"{mongoose,afl}","{c75eb24eb87bcd2c010b7aee4a39bc733c5df788,82b5e359463238d790cadbe2dd494d6a4928bff3}",400.0,2155.0,402.0,2225.0,70.0,-0.4940691884564252
mongoose,2020-12-23 06:05:05.747000,"{mongoose,afl}","{c75eb24eb87bcd2c010b7aee4a39bc733c5df788,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-24 06:15:15.068000,"{mongoose,afl}","{4d123a15f9495e33eb0048a5d82d3da049393834,82b5e359463238d790cadbe2dd494d6a4928bff3}",402.0,2225.0,407.0,2226.0,1.0,0.2165016101840358
mongoose,2020-12-24 06:15:15.068000,"{mongoose,afl}","{4d123a15f9495e33eb0048a5d82d3da049393834,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-25 09:28:59.536000,"{mongoose,afl}","{49b8480bfb48c72a73cc54eb4bd79659541db197,82b5e359463238d790cadbe2dd494d6a4928bff3}",407.0,2226.0,462.0,2235.0,9.0,2.3872235990762007
mongoose,2020-12-25 09:28:59.536000,"{mongoose,afl}","{49b8480bfb48c72a73cc54eb4bd79659541db197,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-26 08:00:34.605000,"{mongoose,afl}","{7d1ef2ffe8b16a8f2111b2ebddd7bea4a0c03eed,82b5e359463238d790cadbe2dd494d6a4928bff3}",462.0,2235.0,462.0,2238.0,3.0,-0.027709304208574537
