project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
more-itertools,2023-01-26 06:46:39.724000,{more-itertools},{4000ba98cb63fed778e684b3ae4d3c89f4926454},2023-01-27 06:31:14.949000,{more-itertools},{e82e7dc7004186bd5585b2c818f9d6023d13b297},1330.0,5232.0,1330.0,5232.0,0.0,0.0
more-itertools,2023-02-21 06:26:23.347000,{more-itertools},{e82e7dc7004186bd5585b2c818f9d6023d13b297},2023-02-22 06:18:35.246000,{more-itertools},{74c920a91d03676097239a072b9cf266866caadf},407.0,1725.0,410.0,1742.0,17.0,-0.05803757134062337
more-itertools,2023-02-27 06:14:31.505000,{more-itertools},{74c920a91d03676097239a072b9cf266866caadf},2023-02-28 06:15:39.110000,{more-itertools},{d62d233b1fefaef4effc7450a87fcace2c95fdbc},410.0,1742.0,410.0,1742.0,0.0,0.0
more-itertools,2023-02-28 06:15:39.110000,{more-itertools},{d62d233b1fefaef4effc7450a87fcace2c95fdbc},2023-03-01 06:34:16.649000,{more-itertools},{89d58c2ec089f3df54ed6cc9279949b8e2bbcd29},410.0,1742.0,411.0,1761.0,19.0,-0.19715340216751542
more-itertools,2023-03-03 06:04:09.294000,{more-itertools},{89d58c2ec089f3df54ed6cc9279949b8e2bbcd29},2023-03-04 06:32:01.579000,{more-itertools},{dc84bd6d82f08b9ed890f30adeb3495862ad17cd},411.0,1761.0,411.0,1764.0,3.0,-0.039692197151431685
more-itertools,2023-03-05 06:34:37.415000,{more-itertools},{dc84bd6d82f08b9ed890f30adeb3495862ad17cd},2023-03-06 06:05:14.004000,{more-itertools},{7228b1c485d94de54b169ce03cfe8b1be017de03},411.0,1764.0,411.0,1764.0,0.0,0.0
more-itertools,2023-03-08 06:10:22.866000,{more-itertools},{7228b1c485d94de54b169ce03cfe8b1be017de03},2023-03-09 06:46:20.747000,{more-itertools},{ec4f518926a88f1a81700318f96ec071727459fc},411.0,1764.0,411.0,1764.0,0.0,0.0
more-itertools,2023-03-10 06:37:27.681000,{more-itertools},{ec4f518926a88f1a81700318f96ec071727459fc},2023-03-11 06:27:10.872000,{more-itertools},{4bdd12f7b33da265eac1c417772f5b24631e8055},411.0,1764.0,412.0,1767.0,3.0,0.017035676749479478
more-itertools,2023-03-19 06:14:11.460000,{more-itertools},{4bdd12f7b33da265eac1c417772f5b24631e8055},2023-03-20 06:22:15.074000,{more-itertools},{3e705a4e11fd73b4f201e03c907618df12a91c2d},412.0,1767.0,412.0,1758.0,-9.0,0.11936700719099136
more-itertools,2023-03-30 06:08:02.961000,{more-itertools},{3e705a4e11fd73b4f201e03c907618df12a91c2d},2023-04-01 06:04:40.937000,{more-itertools},{aa22fc39a9264a1e7f3f8246713459030b61a3d4},412.0,1758.0,413.0,1788.0,30.0,-0.3372884073573559
more-itertools,2023-04-03 06:46:08.102000,{more-itertools},{aa22fc39a9264a1e7f3f8246713459030b61a3d4},2023-04-04 06:59:52.656000,{more-itertools},{2316537230952773e8f7d9e0ebaba8ddd5394425},413.0,1788.0,415.0,1818.0,30.0,-0.27115127620144364
more-itertools,2023-04-11 07:16:28.011000,{more-itertools},{2316537230952773e8f7d9e0ebaba8ddd5394425},2023-04-12 06:41:13.415000,{more-itertools},{7c1b6482a00cb9c1f76061c12be192ed5043e5ea},415.0,1818.0,417.0,1818.0,0.0,0.11001100110010853
more-itertools,2023-04-21 06:24:26.556000,{more-itertools},{7c1b6482a00cb9c1f76061c12be192ed5043e5ea},2023-04-22 06:21:19.836000,{more-itertools},{e8e61f1bb0622eb574d702a06fc8490f5c42effb},417.0,1818.0,417.0,1821.0,3.0,-0.03778796331033263
more-itertools,2023-05-02 06:30:03.814000,{more-itertools},{e8e61f1bb0622eb574d702a06fc8490f5c42effb},2023-05-03 06:36:09.757000,{more-itertools},{38a056a96366be01fc13cf4fc096b4be82fd585c},417.0,1821.0,418.0,1820.0,-1.0,0.06752720097036402
more-itertools,2023-05-16 07:06:59.546000,{more-itertools},{38a056a96366be01fc13cf4fc096b4be82fd585c},2023-05-17 06:06:28.957000,{more-itertools},{3ac895f9e065f993a35d05a072eabfa28a819cfd},418.0,1820.0,418.0,1820.0,0.0,0.0
more-itertools,2023-05-18 06:09:19.106000,{more-itertools},{3ac895f9e065f993a35d05a072eabfa28a819cfd},2023-05-19 06:49:36.859000,{more-itertools},{1bcf679fb523dd7b2d7ee08d63cbfe87a61d1b5f},418.0,1820.0,418.0,1811.0,-9.0,0.11413765693169253
more-itertools,2023-05-19 06:49:36.859000,{more-itertools},{1bcf679fb523dd7b2d7ee08d63cbfe87a61d1b5f},2023-05-20 06:05:03.659000,{more-itertools},{c8baa10e66de18662114b71edcfa32f5dfdd2881},418.0,1811.0,418.0,1811.0,0.0,0.0
more-itertools,2023-05-21 06:08:44.318000,{more-itertools},{c8baa10e66de18662114b71edcfa32f5dfdd2881},2023-05-22 06:04:54.468000,{more-itertools},{719a333bccd20ced15a7b4688fb6d47f05d8606d},418.0,1811.0,418.0,1813.0,2.0,-0.02546185397017453
more-itertools,2023-06-03 06:13:15.404000,{more-itertools},{719a333bccd20ced15a7b4688fb6d47f05d8606d},2023-06-04 06:05:42.180000,{more-itertools},{2db569338ed29e92f6b9b61b98030dad14f3ee0b},418.0,1813.0,419.0,1817.0,4.0,0.004280222850862714
more-itertools,2023-07-13 06:03:38.338000,{more-itertools},{2db569338ed29e92f6b9b61b98030dad14f3ee0b},2023-07-14 06:06:24.014000,{more-itertools},{4b0fac94edd71df63ce511bec1e8100a3bbf1049},419.0,1817.0,419.0,1815.0,-2.0,0.025410456190464004
more-itertools,2023-07-24 06:20:34.496000,{more-itertools},{4b0fac94edd71df63ce511bec1e8100a3bbf1049},2023-07-25 06:34:36.620000,{more-itertools},{b8f615076d8ad7b19598eff56c26bade37b5a5f7},419.0,1815.0,425.0,1824.0,9.0,0.21503914745541408
more-itertools,2023-07-25 06:34:36.620000,{more-itertools},{b8f615076d8ad7b19598eff56c26bade37b5a5f7},2023-07-26 06:34:08.869000,{more-itertools},{bed081105c314721576ce3cd319860b5d0664181},425.0,1824.0,425.0,1824.0,0.0,0.0
more-itertools,2023-07-26 06:34:08.869000,{more-itertools},{bed081105c314721576ce3cd319860b5d0664181},2023-07-27 07:01:36.987000,{more-itertools},{c591b720e72b81ad85bdf13422a0b7e465cce7e0},425.0,1824.0,425.0,1824.0,0.0,0.0
more-itertools,2023-07-27 07:01:36.987000,{more-itertools},{c591b720e72b81ad85bdf13422a0b7e465cce7e0},2023-07-28 06:55:44.735000,{more-itertools},{9acd6d54a198232d6642dd9be9f5bfea88d5a7f2},425.0,1824.0,426.0,1830.0,6.0,-0.021750071901063706
more-itertools,2023-07-28 06:55:44.735000,{more-itertools},{9acd6d54a198232d6642dd9be9f5bfea88d5a7f2},2023-07-29 06:38:34.934000,{more-itertools},{756e4c11ac69719921a706717152d5aa7683829d},426.0,1830.0,426.0,1830.0,0.0,0.0
more-itertools,2023-07-31 06:25:23.837000,{more-itertools},{756e4c11ac69719921a706717152d5aa7683829d},2023-08-01 06:09:07.982000,{more-itertools},{3e1b301220e87a557a97a87ac6f774edbda88918},426.0,1830.0,427.0,1829.0,-1.0,0.06740223538796641
more-itertools,2023-08-01 06:09:07.982000,{more-itertools},{3e1b301220e87a557a97a87ac6f774edbda88918},2023-08-02 06:08:58.025000,{more-itertools},{ff2a90fe44cfe69f6d00663b6f68ef48e909c913},427.0,1829.0,427.0,1828.0,-1.0,0.012771384442000766
more-itertools,2023-08-02 06:08:58.025000,{more-itertools},{ff2a90fe44cfe69f6d00663b6f68ef48e909c913},2023-08-03 06:24:52.898000,{more-itertools},{65db6f88451824f7363960f974aa64b39efdc9a2},427.0,1828.0,427.0,1828.0,0.0,0.0
more-itertools,2023-08-03 06:24:52.898000,{more-itertools},{65db6f88451824f7363960f974aa64b39efdc9a2},2023-08-04 06:35:51.176000,{more-itertools},{266ebdcf9027b7bb6ab72f8cd4585804c1e1547e},427.0,1828.0,427.0,1828.0,0.0,0.0
more-itertools,2023-08-09 06:49:49.416000,{more-itertools},{266ebdcf9027b7bb6ab72f8cd4585804c1e1547e},2023-08-10 07:25:44.592000,{more-itertools},{fc3ce265ddb3a2ceaf00f1f65c8fc846509d9d9c},427.0,1828.0,427.0,1828.0,0.0,0.0
more-itertools,2023-08-31 06:38:08.995000,{more-itertools},{fc3ce265ddb3a2ceaf00f1f65c8fc846509d9d9c},2023-09-01 07:11:55.657000,{more-itertools},{820b3a2f902c36741898be81275b7b0db7f04116},427.0,1828.0,427.0,1827.0,-1.0,0.012785365158414663
more-itertools,2023-09-03 06:18:29.909000,{more-itertools},{820b3a2f902c36741898be81275b7b0db7f04116},2023-09-04 07:18:28.278000,{more-itertools},{d2d10433782f68057a95c312368963b6a57fb7a8},427.0,1827.0,427.0,1827.0,0.0,0.0
more-itertools,2023-09-05 07:11:18.328000,{more-itertools},{d2d10433782f68057a95c312368963b6a57fb7a8},2023-09-06 06:23:15.850000,{more-itertools},{5d130e559cbaef45013e7176ade91eb5d9c4d823},427.0,1827.0,427.0,1826.0,-1.0,0.012799368844238046
more-itertools,2023-09-06 06:23:15.850000,{more-itertools},{5d130e559cbaef45013e7176ade91eb5d9c4d823},2023-09-07 06:44:35.482000,{more-itertools},{468755cbb6e40cce1d015d57129ae6137ae1f19e},427.0,1826.0,428.0,1831.0,5.0,-0.00924207230590568
more-itertools,2023-09-13 06:14:18.646000,{more-itertools},{468755cbb6e40cce1d015d57129ae6137ae1f19e},2023-09-14 07:12:56.203000,{more-itertools},{137e916b1e32eaf766b9386864e8ae9b3d9ef5a5},428.0,1831.0,428.0,1827.0,-4.0,0.05117724095482856
more-itertools,2023-09-14 07:12:56.203000,{more-itertools},{137e916b1e32eaf766b9386864e8ae9b3d9ef5a5},2023-09-15 06:05:02.637000,{more-itertools},{6ecc33f6a6e2acde7356066169dbdbe75b02b5e0},428.0,1827.0,428.0,1830.0,3.0,-0.038403904995202964
more-itertools,2023-09-20 06:19:05.470000,{more-itertools},{6ecc33f6a6e2acde7356066169dbdbe75b02b5e0},2023-09-21 06:08:49.367000,{more-itertools},{cd56e15ca5b15069034caf1c47b5554f9d8698f1},428.0,1830.0,428.0,1830.0,0.0,0.0
more-itertools,2023-09-28 06:29:11.631000,{more-itertools},{cd56e15ca5b15069034caf1c47b5554f9d8698f1},2023-09-29 06:10:31.270000,{more-itertools},{9429fbe0b598641601ed3e889b04c04fd17cc01b},428.0,1830.0,428.0,1830.0,0.0,0.0
more-itertools,2023-10-17 06:55:10.518000,{more-itertools},{9429fbe0b598641601ed3e889b04c04fd17cc01b},2023-10-18 06:06:07.470000,{more-itertools},{fc088e571e0d00662cdac86500a9deccebb8e449},428.0,1830.0,429.0,1835.0,5.0,-0.009231548071053197
more-itertools,2023-10-20 07:14:15.101000,{more-itertools},{fc088e571e0d00662cdac86500a9deccebb8e449},2023-10-21 07:15:52.978000,{more-itertools},{358983f98e8f21a306560523c96e006afeddb0a5},429.0,1835.0,429.0,1835.0,0.0,0.0
more-itertools,2023-10-29 07:25:08.660000,{more-itertools},{358983f98e8f21a306560523c96e006afeddb0a5},2023-10-30 06:37:59.965000,{more-itertools},{4d8b1beedaba4005a032a49ea2653befabba0d9c},429.0,1835.0,429.0,1835.0,0.0,0.0
more-itertools,2023-11-06 07:15:37.165000,{more-itertools},{4d8b1beedaba4005a032a49ea2653befabba0d9c},2023-11-07 07:50:56.718000,{more-itertools},{beded38fd14f449d50d6f311fb14dfab8b4412d5},429.0,1835.0,429.0,1834.0,-1.0,0.012747408175577846
more-itertools,2023-11-22 07:24:45.509000,{more-itertools},{beded38fd14f449d50d6f311fb14dfab8b4412d5},2023-11-23 06:57:09.693000,{more-itertools},{10b69b34b6619876c835559312a7b5346ccfcd86},429.0,1834.0,429.0,1836.0,2.0,-0.025480930285603165
more-itertools,2023-12-15 06:27:27.362000,{more-itertools},{10b69b34b6619876c835559312a7b5346ccfcd86},2023-12-16 07:14:59.065000,{more-itertools},{c38bdf331e7a8ed59d2172cd7447c95e3b87abc2},429.0,1836.0,430.0,1855.0,19.0,-0.18542007998167875
