project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
mosh,2022-08-03 06:32:46.024000,"{mosh,aflplusplus}","{0982212ca77cf068725a0a352e50fc017a768a85,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-04 06:05:17.057000,"{mosh,aflplusplus}","{fe72a3e084f0d37ee18a719f0ecde4aeb8af10e8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",639.0,3267.0,639.0,3269.0,2.0,-0.011966490455879608
mosh,2022-08-04 15:59:13.775000,"{mosh,aflplusplus}","{fe72a3e084f0d37ee18a719f0ecde4aeb8af10e8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-05 06:09:53.842000,"{mosh,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",639.0,3269.0,639.0,3269.0,0.0,0.0
mosh,2022-09-05 06:17:13.067000,"{mosh,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-06 06:04:28.889000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",639.0,3270.0,639.0,3269.0,-1.0,0.005977756012136126
mosh,2022-09-06 06:04:28.889000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-07 06:29:53.797000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",639.0,3269.0,639.0,3269.0,0.0,0.0
mosh,2022-09-07 06:29:53.797000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-09 06:35:55.361000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",639.0,3269.0,639.0,3269.0,0.0,0.0
mosh,2022-09-11 06:06:59.700000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-12 06:10:34.612000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",639.0,3269.0,639.0,3269.0,0.0,0.0
mosh,2022-09-15 06:24:12.272000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-16 06:26:07.794000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",639.0,3269.0,639.0,3269.0,0.0,0.0
mosh,2022-09-19 06:31:42.514000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-20 06:18:22.467000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",639.0,3269.0,639.0,3269.0,0.0,0.0
mosh,2022-09-21 06:33:49.341000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:10:57.366000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",639.0,3269.0,639.0,3269.0,0.0,0.0
mosh,2022-10-26 19:31:49.649000,"{mosh,centipede,aflplusplus}","{f3665fb99bffc5929193a204d8540d74749b52c3,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:23:01.082000,"{mosh,centipede}","{bc73a26316ede2a79259d859f8ee309b32412420,baa82e7189677bb9086beb5d9b5e58018d991607}",639.0,3270.0,639.0,3270.0,0.0,0.0
mosh,2022-11-12 06:27:45.227000,"{mosh,centipede}","{bc73a26316ede2a79259d859f8ee309b32412420,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-13 06:09:50.792000,"{mosh,centipede}","{aafe2f9f020102ddb4c431885bd096cbd5e92f0d,baa82e7189677bb9086beb5d9b5e58018d991607}",639.0,3270.0,639.0,3270.0,0.0,0.0
mosh,2022-11-16 06:25:46.447000,"{mosh,centipede}","{aafe2f9f020102ddb4c431885bd096cbd5e92f0d,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:05:37.910000,{mosh},{aafe2f9f020102ddb4c431885bd096cbd5e92f0d},639.0,3270.0,639.0,3270.0,0.0,0.0
mosh,2022-11-20 06:05:46.481000,{mosh},{aafe2f9f020102ddb4c431885bd096cbd5e92f0d},2022-11-21 06:13:19.287000,{mosh},{c516fb42561e5e537266e1d350a76d5105f93aff},639.0,3270.0,639.0,3270.0,0.0,0.0
mosh,2023-01-19 06:16:43.450000,{mosh},{c516fb42561e5e537266e1d350a76d5105f93aff},2023-01-20 06:23:10.101000,{mosh},{c16108f0171b89fab98666be74a3298ed8aa2ced},639.0,3269.0,639.0,3269.0,0.0,0.0
