project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
mruby,2019-05-16 13:55:34.649000,"{mruby_seeds,mruby,libfuzzer}","{5a618aba8e4493eceff7a430cba7c848e6cbabfd,83071843dab8b97507d5761015c683fd12c9e8ca,360896}",2019-05-17 13:52:53.721000,"{mruby_seeds,mruby,libfuzzer}","{5a618aba8e4493eceff7a430cba7c848e6cbabfd,d2a2af2481908d208965ecc77a8f11065c50be49,361032}",23535.0,33752.0,23544.0,33754.0,2.0,0.02253189540601852
mruby,2019-05-17 13:52:53.721000,"{mruby_seeds,mruby,libfuzzer}","{5a618aba8e4493eceff7a430cba7c848e6cbabfd,d2a2af2481908d208965ecc77a8f11065c50be49,361032}",2019-05-18 13:50:46.277000,"{mruby_seeds,mruby,libfuzzer}","{5a618aba8e4493eceff7a430cba7c848e6cbabfd,1cdb3ec93c09629dd24cab8a5e8f66ae6d26bf60,361102}",23544.0,33754.0,23544.0,33754.0,0.0,0.0
mruby,2019-05-18 13:50:46.277000,"{mruby_seeds,mruby,libfuzzer}","{5a618aba8e4493eceff7a430cba7c848e6cbabfd,1cdb3ec93c09629dd24cab8a5e8f66ae6d26bf60,361102}",2019-05-19 13:54:16.847000,"{mruby_seeds,mruby,libfuzzer}","{5a618aba8e4493eceff7a430cba7c848e6cbabfd,05e7544583f12de64de12a688af24057da2bed60,361117}",23544.0,33754.0,23539.0,33691.0,-63.0,0.11559048965776242
mruby,2019-05-19 13:54:16.847000,"{mruby_seeds,mruby,libfuzzer}","{5a618aba8e4493eceff7a430cba7c848e6cbabfd,05e7544583f12de64de12a688af24057da2bed60,361117}",2019-05-20 13:59:30.723000,"{mruby_seeds,mruby,libfuzzer}","{5a618aba8e4493eceff7a430cba7c848e6cbabfd,8b8bf9f3f696f28836138b8106147d9d3e6071a2,361154}",23539.0,33691.0,23539.0,33719.0,28.0,-0.05801729177296977
mruby,2019-05-20 13:59:30.723000,"{mruby_seeds,mruby,libfuzzer}","{5a618aba8e4493eceff7a430cba7c848e6cbabfd,8b8bf9f3f696f28836138b8106147d9d3e6071a2,361154}",2019-05-22 14:00:42.741000,"{libprotobuf-mutator,mruby_seeds,mruby,libfuzzer}","{50168166d03e26bc83ab2be7aed587a883bb9cc9,5a618aba8e4493eceff7a430cba7c848e6cbabfd,5f4eb87735c8c084fdb6b98df1eed0663e18b9d2,361386}",23539.0,33719.0,31533.0,92370.0,58651.0,-35.671599278067596
mruby,2019-05-22 14:00:42.741000,"{libprotobuf-mutator,mruby_seeds,mruby,libfuzzer}","{50168166d03e26bc83ab2be7aed587a883bb9cc9,5a618aba8e4493eceff7a430cba7c848e6cbabfd,5f4eb87735c8c084fdb6b98df1eed0663e18b9d2,361386}",2019-05-23 13:59:52.277000,"{libprotobuf-mutator,mruby_seeds,mruby,libfuzzer}","{50168166d03e26bc83ab2be7aed587a883bb9cc9,5a618aba8e4493eceff7a430cba7c848e6cbabfd,43a26aa95862690fa8f1341fe947faa876739b17,361497}",31533.0,92370.0,31611.0,92370.0,0.0,0.0844430009743391
mruby,2019-05-23 13:59:52.277000,"{libprotobuf-mutator,mruby_seeds,mruby,libfuzzer}","{50168166d03e26bc83ab2be7aed587a883bb9cc9,5a618aba8e4493eceff7a430cba7c848e6cbabfd,43a26aa95862690fa8f1341fe947faa876739b17,361497}",2019-05-24 14:00:55.317000,"{libprotobuf-mutator,mruby_seeds,mruby,libfuzzer}","{50168166d03e26bc83ab2be7aed587a883bb9cc9,5a618aba8e4493eceff7a430cba7c848e6cbabfd,43a26aa95862690fa8f1341fe947faa876739b17,361637}",31611.0,92370.0,31617.0,92370.0,0.0,0.006495615459570558
mruby,2019-05-24 14:00:55.317000,"{libprotobuf-mutator,mruby_seeds,mruby,libfuzzer}","{50168166d03e26bc83ab2be7aed587a883bb9cc9,5a618aba8e4493eceff7a430cba7c848e6cbabfd,43a26aa95862690fa8f1341fe947faa876739b17,361637}",2019-05-25 13:54:30.137000,"{libprotobuf-mutator,mruby_seeds,mruby,libfuzzer}","{50168166d03e26bc83ab2be7aed587a883bb9cc9,5a618aba8e4493eceff7a430cba7c848e6cbabfd,f455cb6c408525f0af7303d21ed5b81959e46876,361696}",31617.0,92370.0,31619.0,92370.0,0.0,0.002165205153190186
mruby,2019-05-25 13:54:30.137000,"{libprotobuf-mutator,mruby_seeds,mruby,libfuzzer}","{50168166d03e26bc83ab2be7aed587a883bb9cc9,5a618aba8e4493eceff7a430cba7c848e6cbabfd,f455cb6c408525f0af7303d21ed5b81959e46876,361696}",2019-05-26 13:55:52.079000,"{libprotobuf-mutator,mruby_seeds,mruby,libfuzzer}","{50168166d03e26bc83ab2be7aed587a883bb9cc9,5a618aba8e4493eceff7a430cba7c848e6cbabfd,4261ba944330f27dcb80e5e4580f73bd6b3a7106,361727}",31619.0,92370.0,31626.0,92367.0,-3.0,0.008690251200185628
mruby,2019-05-26 13:55:52.079000,"{libprotobuf-mutator,mruby_seeds,mruby,libfuzzer}","{50168166d03e26bc83ab2be7aed587a883bb9cc9,5a618aba8e4493eceff7a430cba7c848e6cbabfd,4261ba944330f27dcb80e5e4580f73bd6b3a7106,361727}",2019-05-27 13:57:49.376000,"{libprotobuf-mutator,mruby_seeds,mruby,libfuzzer}","{50168166d03e26bc83ab2be7aed587a883bb9cc9,5a618aba8e4493eceff7a430cba7c848e6cbabfd,8ad777c702b9491e72c37b63ebe7be4ad019ee56,361761}",31626.0,92367.0,31607.0,92345.0,-22.0,-0.012417899998354187
