project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
mupdf,2019-03-13 13:30:43.131000,"{mupdf,libfuzzer}","{69bc5e1aa57e75877fce74b921f8062be6b2cfbd,356046}",2019-03-14 13:31:00.743000,"{mupdf,libfuzzer}","{69bc5e1aa57e75877fce74b921f8062be6b2cfbd,356140}",98228.0,244509.0,98175.0,244509.0,0.0,-0.021676093722518885
mupdf,2019-03-14 13:31:00.743000,"{mupdf,libfuzzer}","{69bc5e1aa57e75877fce74b921f8062be6b2cfbd,356140}",2019-03-15 13:30:29.885000,"{mupdf,libfuzzer}","{ff08a8ff3a3fe91f48981696ac9168fd95e63ea7,356258}",98175.0,244509.0,89189.0,244559.0,50.0,-3.6825780069940635
mupdf,2019-03-15 13:30:29.885000,"{mupdf,libfuzzer}","{ff08a8ff3a3fe91f48981696ac9168fd95e63ea7,356258}",2019-03-16 13:28:53.403000,"{mupdf,libfuzzer}","{7be007cf32e9ca6382937c9fe531391e6c384414,356322}",89189.0,244559.0,89189.0,244574.0,15.0,-0.0022367045296434185
mupdf,2019-03-16 13:28:53.403000,"{mupdf,libfuzzer}","{7be007cf32e9ca6382937c9fe531391e6c384414,356322}",2019-03-17 13:29:10.888000,"{mupdf,libfuzzer}","{7be007cf32e9ca6382937c9fe531391e6c384414,356330}",89189.0,244574.0,89189.0,244574.0,0.0,0.0
mupdf,2019-03-17 13:29:10.888000,"{mupdf,libfuzzer}","{7be007cf32e9ca6382937c9fe531391e6c384414,356330}",2019-03-18 13:29:19.982000,"{mupdf,libfuzzer}","{87423885428e7531827380aadaf4e2f14b139816,356365}",89189.0,244574.0,89123.0,244659.0,85.0,-0.03964580060698353
mupdf,2019-03-18 13:29:19.982000,"{mupdf,libfuzzer}","{87423885428e7531827380aadaf4e2f14b139816,356365}",2019-03-19 13:29:18.979000,"{mupdf,libfuzzer}","{38682a8f48393b56c55bc57dc5db107dabc51dd7,356451}",89123.0,244659.0,89124.0,244661.0,2.0,0.00011094996148131031
mupdf,2019-03-19 13:29:18.979000,"{mupdf,libfuzzer}","{38682a8f48393b56c55bc57dc5db107dabc51dd7,356451}",2019-03-20 13:29:22.255000,"{mupdf,libfuzzer}","{38682a8f48393b56c55bc57dc5db107dabc51dd7,356552}",89124.0,244661.0,92247.0,244661.0,0.0,1.2764600815005238
mupdf,2019-03-20 13:29:22.255000,"{mupdf,libfuzzer}","{38682a8f48393b56c55bc57dc5db107dabc51dd7,356552}",2019-03-21 13:29:42.249000,"{mupdf,libfuzzer}","{0e70cb9834f8b47051f0d99b9b087d7f53ee62ab,356662}",92247.0,244661.0,91573.0,244702.0,41.0,-0.2817543962759217
mupdf,2019-03-21 13:29:42.249000,"{mupdf,libfuzzer}","{0e70cb9834f8b47051f0d99b9b087d7f53ee62ab,356662}",2019-03-22 13:30:13.372000,"{mupdf,libfuzzer}","{0e70cb9834f8b47051f0d99b9b087d7f53ee62ab,356747}",91573.0,244702.0,89107.0,244702.0,0.0,-1.0077563730578376
mupdf,2019-03-22 13:30:13.372000,"{mupdf,libfuzzer}","{0e70cb9834f8b47051f0d99b9b087d7f53ee62ab,356747}",2019-03-23 13:37:21.770000,"{mupdf,libfuzzer}","{986559a04ae6b6ac63ec094a10482867ca35b22b,356831}",89107.0,244702.0,86518.0,243986.0,-716.0,-0.9542646744672325
mupdf,2019-03-23 13:37:21.770000,"{mupdf,libfuzzer}","{986559a04ae6b6ac63ec094a10482867ca35b22b,356831}",2019-03-24 13:35:54.494000,"{mupdf,libfuzzer}","{986559a04ae6b6ac63ec094a10482867ca35b22b,356852}",86518.0,243986.0,86518.0,243986.0,0.0,0.0
mupdf,2019-03-24 13:35:54.494000,"{mupdf,libfuzzer}","{986559a04ae6b6ac63ec094a10482867ca35b22b,356852}",2019-03-25 13:34:32.914000,"{mupdf,libfuzzer}","{986559a04ae6b6ac63ec094a10482867ca35b22b,356894}",86518.0,243986.0,89834.0,243986.0,0.0,1.3590943742673716
mupdf,2019-03-25 13:34:32.914000,"{mupdf,libfuzzer}","{986559a04ae6b6ac63ec094a10482867ca35b22b,356894}",2019-04-01 13:29:10.215000,"{mupdf,libfuzzer}","{c4acfb08564a8ff469c2069357a927ed126c16bf,357381}",89834.0,243986.0,91197.0,244261.0,275.0,0.5165568200931432
mupdf,2019-04-01 13:29:10.215000,"{mupdf,libfuzzer}","{c4acfb08564a8ff469c2069357a927ed126c16bf,357381}",2019-04-02 14:23:01.833000,"{mupdf,libfuzzer}","{c4acfb08564a8ff469c2069357a927ed126c16bf,357475}",91197.0,244261.0,91197.0,244261.0,0.0,0.0
mupdf,2019-04-02 14:23:01.833000,"{mupdf,libfuzzer}","{c4acfb08564a8ff469c2069357a927ed126c16bf,357475}",2019-04-03 13:26:54.155000,"{mupdf,libfuzzer}","{f5418864a4f686b9686358e9b85df0cd389c787a,357577}",91197.0,244261.0,90933.0,244409.0,148.0,-0.13062412027719716
mupdf,2019-04-03 13:26:54.155000,"{mupdf,libfuzzer}","{f5418864a4f686b9686358e9b85df0cd389c787a,357577}",2019-04-04 13:29:36.905000,"{mupdf,libfuzzer}","{23d052b0eb2d419044ee93c8192099f83bd730c8,357690}",90933.0,244409.0,90945.0,244433.0,24.0,0.0012562698098435021
mupdf,2019-04-04 13:29:36.905000,"{mupdf,libfuzzer}","{23d052b0eb2d419044ee93c8192099f83bd730c8,357690}",2019-04-05 13:30:03.989000,"{mupdf,libfuzzer}","{23d052b0eb2d419044ee93c8192099f83bd730c8,357759}",90945.0,244433.0,90945.0,244433.0,0.0,0.0
mupdf,2019-04-05 13:30:03.989000,"{mupdf,libfuzzer}","{23d052b0eb2d419044ee93c8192099f83bd730c8,357759}",2019-04-06 13:28:07.803000,"{mupdf,libfuzzer}","{988eb93e8f046b889d3f4811bd1b65132ed5bbc2,357838}",90945.0,244433.0,90655.0,244398.0,-35.0,-0.11333060003190809
mupdf,2019-04-06 13:28:07.803000,"{mupdf,libfuzzer}","{988eb93e8f046b889d3f4811bd1b65132ed5bbc2,357838}",2019-04-07 13:27:56.233000,"{mupdf,libfuzzer}","{988eb93e8f046b889d3f4811bd1b65132ed5bbc2,357863}",90655.0,244398.0,91001.0,244398.0,0.0,0.1415723532925881
mupdf,2019-04-07 13:27:56.233000,"{mupdf,libfuzzer}","{988eb93e8f046b889d3f4811bd1b65132ed5bbc2,357863}",2019-04-08 13:28:23.506000,"{mupdf,libfuzzer}","{988eb93e8f046b889d3f4811bd1b65132ed5bbc2,357909}",91001.0,244398.0,90712.0,244398.0,0.0,-0.1182497401779159
mupdf,2019-04-08 13:28:23.506000,"{mupdf,libfuzzer}","{988eb93e8f046b889d3f4811bd1b65132ed5bbc2,357909}",2019-04-09 13:30:08.986000,"{mupdf,libfuzzer}","{988eb93e8f046b889d3f4811bd1b65132ed5bbc2,358001}",90712.0,244398.0,91001.0,244398.0,0.0,0.1182497401779159
mupdf,2019-04-09 13:30:08.986000,"{mupdf,libfuzzer}","{988eb93e8f046b889d3f4811bd1b65132ed5bbc2,358001}",2019-04-10 13:28:52.116000,"{mupdf,libfuzzer}","{39b019593783ad0bb52c73cee38e4e0516db19e6,358080}",91001.0,244398.0,98306.0,244398.0,0.0,2.988976996538426
