project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
ndpi,2019-11-07 15:26:49.241000,"{ndpi,afl,libfuzzer}","{ac46a4dd58357b62d9b93253e47ade111efae649,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-08 15:25:07.170000,"{ndpi,afl,libfuzzer}","{d0e7e6955293b656e1a1d7b01aebc1b5beefe711,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",15915.0,28581.0,15879.0,28597.0,16.0,-0.1570424007618314
ndpi,2019-11-10 15:22:32.858000,"{ndpi,afl,libfuzzer}","{d0e7e6955293b656e1a1d7b01aebc1b5beefe711,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-12 15:23:14.260000,"{ndpi,afl,libfuzzer}","{ab9ccf9eb9a6571d84bd0b2c8e185565d0d700f6,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",16935.0,28597.0,17144.0,28647.0,50.0,0.6262095532712024
ndpi,2019-11-12 15:23:14.260000,"{ndpi,afl,libfuzzer}","{ab9ccf9eb9a6571d84bd0b2c8e185565d0d700f6,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-13 15:28:15.818000,"{ndpi,afl,libfuzzer}","{7e87bfd03924c54f4c98bdc64810e3578c174112,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",17144.0,28647.0,17193.0,28645.0,-2.0,0.17523796181546913
ndpi,2019-11-13 15:28:15.818000,"{ndpi,afl,libfuzzer}","{7e87bfd03924c54f4c98bdc64810e3578c174112,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-14 15:25:01.387000,"{ndpi,afl,libfuzzer}","{7a1940e1f70ffebae76fffb3d96a0b69a6cbfaf0,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",17193.0,28645.0,17303.0,28709.0,64.0,0.2493524487760368
ndpi,2019-11-15 15:27:02.257000,"{ndpi,afl,libfuzzer}","{7a1940e1f70ffebae76fffb3d96a0b69a6cbfaf0,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-16 15:20:21.202000,"{ndpi,afl,libfuzzer}","{53108c9ff15aa52db76ad271db256ff7070efcff,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",17343.0,28709.0,17387.0,28709.0,0.0,0.1532620432616909
ndpi,2019-11-17 15:20:37.401000,"{ndpi,afl,libfuzzer}","{53108c9ff15aa52db76ad271db256ff7070efcff,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-18 15:21:16.200000,"{ndpi,afl,libfuzzer}","{803dc6ff779b44be1264380b800bb2904b9de692,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",17433.0,28709.0,17450.0,28796.0,87.0,-0.12442392284262382
ndpi,2019-11-18 15:21:16.200000,"{ndpi,afl,libfuzzer}","{803dc6ff779b44be1264380b800bb2904b9de692,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-19 15:16:00.190000,"{ndpi,afl,libfuzzer}","{0b819badd2156fa2d959eabb82d52b0082ddc53b,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",17450.0,28796.0,17544.0,28741.0,-55.0,0.44302314409623733
ndpi,2019-11-19 15:16:00.190000,"{ndpi,afl,libfuzzer}","{0b819badd2156fa2d959eabb82d52b0082ddc53b,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-20 15:20:57.323000,"{ndpi,afl,libfuzzer}","{68b7986d9b9f5465fc727d454c9c38f2f1d4338e,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",17544.0,28741.0,17590.0,28752.0,11.0,0.13663540305095268
ndpi,2019-11-20 15:20:57.323000,"{ndpi,afl,libfuzzer}","{68b7986d9b9f5465fc727d454c9c38f2f1d4338e,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-21 15:24:25.206000,"{ndpi,afl,libfuzzer}","{e98b994a39ee829058265353473d773642c889cf,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",17590.0,28752.0,17671.0,28758.0,6.0,0.26889665078024905
ndpi,2019-11-21 15:24:25.206000,"{ndpi,afl,libfuzzer}","{e98b994a39ee829058265353473d773642c889cf,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-22 15:20:15.210000,"{ndpi,afl,libfuzzer}","{bdc0719e7633904749d97089844019b0bf589963,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",17671.0,28758.0,17672.0,28399.0,-359.0,0.7802937623333932
