project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
num-bigint,2021-11-15 09:54:25.603000,"{botan,cryptofuzz,aflplusplus}","{df6dddac4dee797a199bc587867fca9cfc6b21d1,bf0c60aa82847029d49b388b691ba502074d652e,533e979010ca338df6fc415d87668f8187752915}",2021-11-16 06:14:16.128000,"{botan,cryptofuzz,aflplusplus}","{7c511f23f5672070b2f804454d0d246924d5f31d,bf0c60aa82847029d49b388b691ba502074d652e,533e979010ca338df6fc415d87668f8187752915}",8621.0,51846.0,8618.0,51846.0,0.0,-0.005786367318595609
num-bigint,2021-11-16 06:14:16.128000,"{botan,cryptofuzz,aflplusplus}","{7c511f23f5672070b2f804454d0d246924d5f31d,bf0c60aa82847029d49b388b691ba502074d652e,533e979010ca338df6fc415d87668f8187752915}",2021-11-17 09:15:16.075000,"{botan,cryptofuzz,aflplusplus}","{7140a88c6db7e3ca10acbc11368017220dd63b00,bf0c60aa82847029d49b388b691ba502074d652e,533e979010ca338df6fc415d87668f8187752915}",8618.0,51846.0,8618.0,51846.0,0.0,0.0
num-bigint,2021-11-17 09:15:16.075000,"{botan,cryptofuzz,aflplusplus}","{7140a88c6db7e3ca10acbc11368017220dd63b00,bf0c60aa82847029d49b388b691ba502074d652e,533e979010ca338df6fc415d87668f8187752915}",2021-11-18 10:31:18.043000,"{botan,cryptofuzz,aflplusplus}","{7140a88c6db7e3ca10acbc11368017220dd63b00,bf0c60aa82847029d49b388b691ba502074d652e,132630d48d0f9fe50e9388f941433c85636587da}",8618.0,51846.0,8621.0,51846.0,0.0,0.005786367318595609
num-bigint,2021-11-19 08:04:34.676000,"{botan,cryptofuzz,aflplusplus}","{7140a88c6db7e3ca10acbc11368017220dd63b00,bf0c60aa82847029d49b388b691ba502074d652e,132630d48d0f9fe50e9388f941433c85636587da}",2021-11-20 11:07:37.583000,"{botan,cryptofuzz,aflplusplus}","{7140a88c6db7e3ca10acbc11368017220dd63b00,bf0c60aa82847029d49b388b691ba502074d652e,7777045c09c404b1274c930788317525fedb43ad}",8621.0,51846.0,8621.0,51846.0,0.0,0.0
num-bigint,2021-11-22 08:24:02.025000,"{botan,cryptofuzz,aflplusplus}","{7140a88c6db7e3ca10acbc11368017220dd63b00,bf0c60aa82847029d49b388b691ba502074d652e,7777045c09c404b1274c930788317525fedb43ad}",2021-11-23 06:48:56.361000,"{botan,cryptofuzz,aflplusplus}","{7140a88c6db7e3ca10acbc11368017220dd63b00,626e793358600fc323f70b873e9e9c8bd00dc3b8,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",8621.0,51846.0,8621.0,51846.0,0.0,0.0
num-bigint,2021-11-23 06:48:56.361000,"{botan,cryptofuzz,aflplusplus}","{7140a88c6db7e3ca10acbc11368017220dd63b00,626e793358600fc323f70b873e9e9c8bd00dc3b8,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",2021-11-24 06:24:18.699000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,36730eb2457981409ae69e91742219159f58c88f,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",8621.0,51846.0,8590.0,51846.0,0.0,-0.05979246229217239
num-bigint,2021-11-24 06:24:18.699000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,36730eb2457981409ae69e91742219159f58c88f,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",2021-11-25 08:41:57.589000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,3b0e8bc3ef626bb2f69f6a5809c7cbefcd7f2d82,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",8590.0,51846.0,8621.0,51846.0,0.0,0.05979246229217239
num-bigint,2021-11-25 08:41:57.589000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,3b0e8bc3ef626bb2f69f6a5809c7cbefcd7f2d82,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",2021-11-26 07:50:29.943000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,e6fee3805a3f9b86f4a269a9abf149c8ad8505c5,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",8621.0,51846.0,8621.0,51846.0,0.0,0.0
num-bigint,2021-11-29 10:22:47.668000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,e6fee3805a3f9b86f4a269a9abf149c8ad8505c5,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",2021-11-30 06:13:22.589000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,258eecfd678aa1d75808413041485a4eeb59128c,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",8621.0,51846.0,8621.0,51858.0,12.0,-0.003847759084699476
num-bigint,2021-11-30 06:13:22.589000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,258eecfd678aa1d75808413041485a4eeb59128c,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",2021-12-01 09:03:25.197000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,93eebcaac08863f72da9044cb3dcb40f196fa153,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",8621.0,51858.0,8625.0,51871.0,13.0,0.0035450413404198855
num-bigint,2021-12-01 09:03:25.197000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,93eebcaac08863f72da9044cb3dcb40f196fa153,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",2021-12-03 06:55:39.210000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,a58efa3cbaad95961e4c948c2eae87b1efb48876,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",8625.0,51871.0,8625.0,51871.0,0.0,0.0
num-bigint,2021-12-04 07:25:46.615000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,a58efa3cbaad95961e4c948c2eae87b1efb48876,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",2021-12-05 08:23:57.804000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,1ab439db70ef13a785ad1bc4d1d376e37b2e2d4f,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",8625.0,51871.0,8625.0,51871.0,0.0,0.0
num-bigint,2021-12-05 08:23:57.804000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,1ab439db70ef13a785ad1bc4d1d376e37b2e2d4f,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",2021-12-06 06:31:33.920000,"{botan,cryptofuzz,aflplusplus}","{19960ab52425e213cbfb043dccae61de7528662b,fd6385f7a653d420f5ab7c2a7c40cf321c981c18,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",8625.0,51871.0,8598.0,51884.0,13.0,-0.05620540525341866
