project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
numactl,2023-05-05 06:51:20.916000,{numactl},{693fee1ed3d9524d2696f6ba021431b3176b6f57},2023-05-06 06:31:02.562000,{numactl},{c6355e56da88c6a9df1e7de376e1bd7032349411},854.0,1939.0,854.0,1939.0,0.0,0.0
numactl,2023-06-05 06:17:03.572000,{numactl},{c6355e56da88c6a9df1e7de376e1bd7032349411},2023-06-06 06:49:21.190000,{numactl},{535d88e76ddda0c9f47e8f20213276df8bc92df9},854.0,1939.0,854.0,1939.0,0.0,0.0
numactl,2023-06-13 08:17:29.107000,{numactl},{535d88e76ddda0c9f47e8f20213276df8bc92df9},2023-06-13 16:13:00.148000,{numactl},{66308a7e30a964aaad324f74c74eb5b9d75a2abd},854.0,1939.0,854.0,1939.0,0.0,0.0
numactl,2023-07-23 06:24:57.470000,{numactl},{66308a7e30a964aaad324f74c74eb5b9d75a2abd},2023-07-24 06:06:47.565000,{numactl},{f8e85293df21adbb2eec2c7a6a1e016ca3efad87},854.0,1939.0,860.0,1938.0,-1.0,0.33232369520105465
numactl,2023-08-27 06:32:04.810000,{numactl},{f8e85293df21adbb2eec2c7a6a1e016ca3efad87},2023-08-28 06:07:31.738000,{numactl},{6e5ff8e38766ab92b7b9ecb2075dae2028994978},860.0,1938.0,860.0,1938.0,0.0,0.0
numactl,2023-09-05 06:31:39.535000,{numactl},{6e5ff8e38766ab92b7b9ecb2075dae2028994978},2023-09-06 06:33:34.547000,{numactl},{fc999282e6663d6844773e6065bbee3270f36c19},860.0,1938.0,861.0,1940.0,2.0,0.005798304129022824
numactl,2024-01-06 06:05:05.648000,{numactl},{fc999282e6663d6844773e6065bbee3270f36c19},2024-01-07 06:22:11.865000,{numactl},{a3a2a82c8be8e11188ca9c178530e98c2263536b},861.0,1940.0,830.0,1992.0,52.0,-2.714776632302396
numactl,2024-01-12 06:13:30.745000,{numactl},{a3a2a82c8be8e11188ca9c178530e98c2263536b},2024-01-13 06:14:56.531000,{numactl},{346ff1981f197571a5a4e5bfaad0117d092f6852},830.0,1992.0,830.0,1992.0,0.0,0.0
numactl,2024-01-17 06:48:45.202000,{numactl},{346ff1981f197571a5a4e5bfaad0117d092f6852},2024-01-18 06:11:42.704000,{numactl},{c1165896572b74e971d817909bf652066ddf801a},830.0,1992.0,830.0,1992.0,0.0,0.0
numactl,2024-01-21 06:04:37.884000,{numactl},{c1165896572b74e971d817909bf652066ddf801a},2024-01-22 07:14:46.094000,{numactl},{7633ceae1f45c4bc8664b7322a07991b7f5833ca},830.0,1992.0,830.0,1992.0,0.0,0.0
