project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
oak,2021-05-12 11:16:28.260000,"{oak,aflplusplus}","{54414ff9170c71319bae260d5df607963d17d430,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-20 10:09:04.872000,"{oak,aflplusplus}","{b05ac2231604d0444051df2e2084bda8c5505d7c,f4cc718fdc4571f56280a1efad3645125bee2154}",585.0,83333.0,14.0,88957.0,5624.0,-0.6862648672083722
oak,2021-05-20 10:09:04.872000,"{oak,aflplusplus}","{b05ac2231604d0444051df2e2084bda8c5505d7c,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-21 06:12:16.801000,"{oak,aflplusplus}","{edf562e6087173cb6bb0d34fd4903385d3a8acbf,f4cc718fdc4571f56280a1efad3645125bee2154}",14.0,88957.0,2993.0,88961.0,4.0,3.3486576932390237
oak,2021-05-21 06:12:16.801000,"{oak,aflplusplus}","{edf562e6087173cb6bb0d34fd4903385d3a8acbf,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-22 09:35:01.694000,"{oak,aflplusplus}","{56132a0b2874e794f87df03758d75b9b07353029,f4cc718fdc4571f56280a1efad3645125bee2154}",2993.0,88961.0,2993.0,88961.0,0.0,0.0
oak,2021-05-23 06:39:54.229000,"{oak,aflplusplus}","{56132a0b2874e794f87df03758d75b9b07353029,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-24 09:33:24.647000,"{oak,aflplusplus}","{5e438754ec03847e91cf0123aba952eaf54d67d8,f4cc718fdc4571f56280a1efad3645125bee2154}",2993.0,88961.0,2993.0,107325.0,18364.0,-0.5756698012908936
oak,2021-05-24 09:33:24.647000,"{oak,aflplusplus}","{5e438754ec03847e91cf0123aba952eaf54d67d8,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-25 08:06:39.945000,"{oak,aflplusplus}","{589b76508a6a84380f8d9012920f7106c5d9d639,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2993.0,107325.0,3006.0,107325.0,0.0,0.012112741672490213
oak,2021-05-25 08:06:39.945000,"{oak,aflplusplus}","{589b76508a6a84380f8d9012920f7106c5d9d639,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-05-26 06:48:51.471000,"{oak,aflplusplus}","{c76c9282eabae705536f88320dcfff3d6a9fc236,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",3006.0,107325.0,3899.0,107361.0,36.0,0.8308340068676778
oak,2021-05-26 06:48:51.471000,"{oak,aflplusplus}","{c76c9282eabae705536f88320dcfff3d6a9fc236,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-05-27 09:15:12.707000,"{oak,aflplusplus}","{3b74a8797570b056e53785149c62ea80a295e494,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",3899.0,107361.0,3901.0,107361.0,0.0,0.0018628738554968827
oak,2021-05-27 09:15:12.707000,"{oak,aflplusplus}","{3b74a8797570b056e53785149c62ea80a295e494,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-05-28 06:39:52.396000,"{oak,aflplusplus}","{11a48aaed582afbfe3c375c9961ce218c47a01bd,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",3901.0,107361.0,4647.0,128795.0,21434.0,-0.025476136073709466
oak,2021-05-28 06:39:52.396000,"{oak,aflplusplus}","{11a48aaed582afbfe3c375c9961ce218c47a01bd,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-05-29 08:48:48.637000,"{oak,aflplusplus}","{64e99d8f20d379a9464210b53b444da6965e2b11,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",4647.0,128795.0,4649.0,128795.0,0.0,0.0015528553127057698
oak,2021-05-31 09:44:06.085000,"{oak,aflplusplus}","{64e99d8f20d379a9464210b53b444da6965e2b11,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-01 11:35:22.541000,"{oak,aflplusplus}","{b8a986aefca80d26604d227e2283ad80a7e96006,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",4650.0,129232.0,4644.0,129228.0,-4.0,-0.004531582009554391
