project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
open62541,2019-03-13 13:31:35.597000,"{open62541,libfuzzer}","{269d1ffbdc589416ae83b80bb2b4ceee9f75788d,356046}",2019-03-14 13:30:59.175000,"{open62541,libfuzzer}","{0b9d42a1715948bca56c0236ba2184614c3a88dd,356140}",17247.0,35735.0,17241.0,35735.0,0.0,-0.016790261648246485
open62541,2019-03-14 13:30:59.175000,"{open62541,libfuzzer}","{0b9d42a1715948bca56c0236ba2184614c3a88dd,356140}",2019-03-15 13:30:56.257000,"{open62541,libfuzzer}","{3a37fb29aaa24edb082b06efdd5e54577e4e2308,356258}",17241.0,35735.0,17242.0,35737.0,2.0,9.811585492514041e-05
open62541,2019-03-15 13:30:56.257000,"{open62541,libfuzzer}","{3a37fb29aaa24edb082b06efdd5e54577e4e2308,356258}",2019-03-16 13:30:19.508000,"{open62541,libfuzzer}","{0ca3d8a5794314d866091466c54e2473e1ea9025,356322}",17242.0,35737.0,17238.0,35805.0,68.0,-0.10280101151855092
open62541,2019-03-16 13:30:19.508000,"{open62541,libfuzzer}","{0ca3d8a5794314d866091466c54e2473e1ea9025,356322}",2019-03-17 13:30:44.602000,"{open62541,libfuzzer}","{0ca3d8a5794314d866091466c54e2473e1ea9025,356330}",17238.0,35805.0,17236.0,35805.0,0.0,-0.005585812037423921
open62541,2019-03-17 13:30:44.602000,"{open62541,libfuzzer}","{0ca3d8a5794314d866091466c54e2473e1ea9025,356330}",2019-03-18 13:33:17.243000,"{open62541,libfuzzer}","{70d22d1c8107a6012dcf64c6038d191de22beb55,356366}",17236.0,35805.0,17336.0,35918.0,113.0,0.12696548583847544
open62541,2019-03-18 13:33:17.243000,"{open62541,libfuzzer}","{70d22d1c8107a6012dcf64c6038d191de22beb55,356366}",2019-03-19 13:28:59.833000,"{open62541,libfuzzer}","{88980e971ff7d2a3e0251d7278e10a0802e2ac68,356451}",17336.0,35918.0,17344.0,36467.0,549.0,-0.7046852222496298
open62541,2019-03-19 13:28:59.833000,"{open62541,libfuzzer}","{88980e971ff7d2a3e0251d7278e10a0802e2ac68,356451}",2019-03-20 13:30:47.421000,"{open62541,libfuzzer}","{53deb3585f644e5f6723f6771769ede8ca194649,356553}",17344.0,36467.0,17218.0,36481.0,14.0,-0.3636372719396306
open62541,2019-03-20 13:30:47.421000,"{open62541,libfuzzer}","{53deb3585f644e5f6723f6771769ede8ca194649,356553}",2019-03-21 13:30:31.534000,"{open62541,libfuzzer}","{9e95f3d767f8f55fb05ec0e89514571620d03e03,356662}",17218.0,36481.0,17249.0,36478.0,-3.0,0.08886428843112526
open62541,2019-03-21 13:30:31.534000,"{open62541,libfuzzer}","{9e95f3d767f8f55fb05ec0e89514571620d03e03,356662}",2019-03-22 13:31:14.812000,"{open62541,libfuzzer}","{ecee9f241e361bb40c952ddc197e9787f321d675,356747}",17249.0,36478.0,17317.0,36478.0,0.0,0.18641372882284912
open62541,2019-03-22 13:31:14.812000,"{open62541,libfuzzer}","{ecee9f241e361bb40c952ddc197e9787f321d675,356747}",2019-03-23 13:30:23.114000,"{open62541,libfuzzer}","{d070a2ff51a62a2413e3676cc1069827d8bd5464,356831}",17317.0,36478.0,17326.0,36479.0,1.0,0.023370365164957718
