project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
opencensus-cpp,2021-05-24 07:21:20.761000,"{opencensus-cpp,aflplusplus}","{afe0460f92fb78e6d6cf8c8a30ced9bc5e2e57d3,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-25 09:17:31.701000,"{opencensus-cpp,aflplusplus}","{afe0460f92fb78e6d6cf8c8a30ced9bc5e2e57d3,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",968.0,13295.0,968.0,13295.0,0.0,0.0
opencensus-cpp,2021-06-06 10:57:42.507000,"{opencensus-cpp,aflplusplus}","{afe0460f92fb78e6d6cf8c8a30ced9bc5e2e57d3,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-08 10:53:34.824000,"{opencensus-cpp,aflplusplus}","{9461de16eef2286a4a062e890548ab148aa94c55,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",966.0,13329.0,966.0,13329.0,0.0,0.0
opencensus-cpp,2021-06-14 06:04:12.608000,"{opencensus-cpp,aflplusplus}","{9461de16eef2286a4a062e890548ab148aa94c55,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-15 06:04:14.589000,"{opencensus-cpp,aflplusplus}","{9461de16eef2286a4a062e890548ab148aa94c55,ade8cdca55951958024c86766453430f904381c5}",966.0,13335.0,966.0,13335.0,0.0,0.0
opencensus-cpp,2021-06-28 07:58:22.152000,"{opencensus-cpp,aflplusplus}","{9461de16eef2286a4a062e890548ab148aa94c55,ade8cdca55951958024c86766453430f904381c5}",2021-08-30 08:35:26.872000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",966.0,13335.0,969.0,13322.0,-13.0,0.029588142046724997
opencensus-cpp,2021-11-11 10:11:50.047000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-12 07:42:11.579000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,533e979010ca338df6fc415d87668f8187752915}",874.0,13394.0,929.0,13399.0,5.0,0.40804339508910115
opencensus-cpp,2021-11-17 10:43:31.696000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,533e979010ca338df6fc415d87668f8187752915}",2021-11-18 09:25:16.322000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,132630d48d0f9fe50e9388f941433c85636587da}",929.0,13369.0,977.0,13369.0,0.0,0.3590395691525172
opencensus-cpp,2021-11-19 08:10:24.579000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,132630d48d0f9fe50e9388f941433c85636587da}",2021-11-20 08:31:09.408000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,7777045c09c404b1274c930788317525fedb43ad}",977.0,13369.0,929.0,13369.0,0.0,-0.3590395691525172
opencensus-cpp,2021-11-22 08:34:41.299000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,7777045c09c404b1274c930788317525fedb43ad}",2021-11-23 11:52:52.741000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",977.0,13369.0,929.0,13369.0,0.0,-0.3590395691525172
opencensus-cpp,2021-11-30 11:15:52.409000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",2021-12-01 09:13:36.724000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",977.0,13369.0,876.0,13369.0,0.0,-0.7554790934250883
opencensus-cpp,2021-12-14 10:54:39.392000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",2021-12-15 09:27:43.942000,"{opencensus-cpp,aflplusplus}","{62d8281899a1cfd1084793f64295329a6b5d22b3,52dd5d479d411460c8cf2010a89f72e269d799ea}",977.0,13358.0,977.0,13358.0,0.0,0.0
