project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
opendal,2023-08-09 06:23:54.693000,{opendal},{90fc206521f4b2333d751096289b2c87194c9a06},2023-08-10 07:34:41.954000,{opendal},{2c49350a007d7bd6907c33b8aebe8e9999fef967},5421.0,213773.0,16.0,213705.0,-68.0,-2.528380529285599
opendal,2023-08-10 07:34:41.954000,{opendal},{2c49350a007d7bd6907c33b8aebe8e9999fef967},2023-08-11 07:35:43.417000,{opendal},{dac7910fe7d063033d6f7da19eeefa38437c0365},16.0,213705.0,9367.0,213705.0,0.0,4.375658033270162
opendal,2023-08-11 07:35:43.417000,{opendal},{dac7910fe7d063033d6f7da19eeefa38437c0365},2023-08-12 06:54:25.067000,{opendal},{c532a9e27e0f29922a26a3c610cdfbce55d70f09},9367.0,213705.0,9372.0,213705.0,0.0,0.002339673849465207
opendal,2023-08-12 06:54:25.067000,{opendal},{c532a9e27e0f29922a26a3c610cdfbce55d70f09},2023-08-13 07:13:12.495000,{opendal},{57944b763f37837161dbec694a6cb2dd1c7d09ef},9372.0,213705.0,9367.0,213705.0,0.0,-0.002339673849465207
opendal,2023-08-13 07:13:12.495000,{opendal},{57944b763f37837161dbec694a6cb2dd1c7d09ef},2023-08-14 06:49:20.433000,{opendal},{bb51cbe246b8b91efaf1d7073df4c3c6a3c88fdd},9367.0,213705.0,9364.0,213705.0,0.0,-0.0014038043096791242
opendal,2023-08-14 06:49:20.433000,{opendal},{bb51cbe246b8b91efaf1d7073df4c3c6a3c88fdd},2023-08-15 07:42:32.117000,{opendal},{b89a2e3299688b296ada373f64a476043ad26dce},9364.0,213705.0,9366.0,214573.0,868.0,-0.016793125644055884
opendal,2023-08-15 07:42:32.117000,{opendal},{b89a2e3299688b296ada373f64a476043ad26dce},2023-08-16 07:35:53.820000,{opendal},{2be8e6551e4e56e2d7eec5b04b9fe5453d65930d},9366.0,214573.0,9365.0,214573.0,0.0,-0.0004660418598803062
opendal,2023-08-16 07:35:53.820000,{opendal},{2be8e6551e4e56e2d7eec5b04b9fe5453d65930d},2023-08-17 06:38:08.827000,{opendal},{cfd4da4d1f717192bc0b74b3fa62865b5032f064},9365.0,214573.0,9370.0,214590.0,17.0,0.00198426676777963
opendal,2023-08-17 06:38:08.827000,{opendal},{cfd4da4d1f717192bc0b74b3fa62865b5032f064},2023-08-18 07:18:05.078000,{opendal},{0b9d8c00b9907f8e9dc6255458a6311d5375fdcf},9370.0,214590.0,9371.0,214590.0,0.0,0.0004660049396525423
opendal,2023-08-18 07:18:05.078000,{opendal},{0b9d8c00b9907f8e9dc6255458a6311d5375fdcf},2023-08-19 07:06:45.595000,{opendal},{f4cd502f412a24e7fdf5768ed919b0ea9f66f937},9371.0,214590.0,9378.0,214577.0,-13.0,0.003526799795706026
opendal,2023-08-19 07:06:45.595000,{opendal},{f4cd502f412a24e7fdf5768ed919b0ea9f66f937},2023-08-20 06:36:07.234000,{opendal},{2048ee99d8eadc67a8861c7e2e62564e84f7433d},9378.0,214577.0,9377.0,214577.0,0.0,-0.0004660331722412536
opendal,2023-08-20 06:36:07.234000,{opendal},{2048ee99d8eadc67a8861c7e2e62564e84f7433d},2023-08-21 07:41:12.329000,{opendal},{c588676f5656e9145da64818b1514939373f3056},9377.0,214577.0,9373.0,213712.0,-865.0,0.01581588302730541
opendal,2023-08-21 07:41:12.329000,{opendal},{c588676f5656e9145da64818b1514939373f3056},2023-08-22 07:25:56.201000,{opendal},{ba7e1168f2cf270b9fc4e0898ccfa52cf1c8c318},9373.0,213712.0,9370.0,213796.0,84.0,-0.003126381928975519
opendal,2023-08-22 07:25:56.201000,{opendal},{ba7e1168f2cf270b9fc4e0898ccfa52cf1c8c318},2023-08-23 07:11:58.532000,{opendal},{d740edbbed29aa199946ed07ef94ee0d78ae32a2},9370.0,213796.0,9374.0,213890.0,94.0,-5.5973446056789555e-05
opendal,2023-08-23 07:11:58.532000,{opendal},{d740edbbed29aa199946ed07ef94ee0d78ae32a2},2023-08-24 06:47:05.963000,{opendal},{1bb977bc7d4df9a524b4f47776a8c62a804cf64a},9374.0,213890.0,9372.0,214102.0,212.0,-0.005273733247502577
opendal,2023-08-24 06:47:05.963000,{opendal},{1bb977bc7d4df9a524b4f47776a8c62a804cf64a},2023-08-25 07:14:45.258000,{opendal},{9e8c92e5f128db32d9c42938e9cd7af48d0cf71d},9372.0,214102.0,9369.0,214338.0,236.0,-0.00621940707070312
opendal,2023-08-25 07:14:45.258000,{opendal},{9e8c92e5f128db32d9c42938e9cd7af48d0cf71d},2023-08-26 06:58:11.888000,{opendal},{a55459374720ab11ac8486b797a93430dc197a0c},9369.0,214338.0,9370.0,214352.0,14.0,0.0001810299497639889
opendal,2023-08-26 06:58:11.888000,{opendal},{a55459374720ab11ac8486b797a93430dc197a0c},2023-08-27 07:45:20.167000,{opendal},{3a76ec22d3359d55ff9a5a6594079ad709454bf8},9370.0,214352.0,9368.0,214353.0,1.0,-0.0009534334227812025
