project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
openpyxl,2022-09-05 06:34:31.788000,"{aflplusplus,openpyxl}","{c208dcf9c573e3d85990c7dea777646f7fa4961c,485b585f34175514f68fed3b5e96bc4593b06365}",2022-09-06 06:07:30.235000,"{centipede,aflplusplus,openpyxl}","{742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c,485b585f34175514f68fed3b5e96bc4593b06365}",12968.0,28234.0,12968.0,28234.0,0.0,0.0
openpyxl,2022-09-06 06:07:30.235000,"{centipede,aflplusplus,openpyxl}","{742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c,485b585f34175514f68fed3b5e96bc4593b06365}",2022-09-07 06:12:43.857000,"{centipede,aflplusplus,openpyxl}","{534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c,485b585f34175514f68fed3b5e96bc4593b06365}",12968.0,28234.0,12723.0,28221.0,-13.0,-0.8469899826292604
openpyxl,2022-09-07 06:12:43.857000,"{centipede,aflplusplus,openpyxl}","{534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c,485b585f34175514f68fed3b5e96bc4593b06365}",2022-09-08 06:27:11.712000,"{centipede,aflplusplus,openpyxl}","{f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c,485b585f34175514f68fed3b5e96bc4593b06365}",12723.0,28221.0,12963.0,28212.0,-9.0,0.8650840435439591
openpyxl,2022-09-11 06:08:34.277000,"{centipede,aflplusplus,openpyxl}","{f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c,485b585f34175514f68fed3b5e96bc4593b06365}",2022-09-12 06:30:58.091000,"{centipede,aflplusplus,openpyxl}","{a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c,485b585f34175514f68fed3b5e96bc4593b06365}",12992.0,28263.0,12968.0,28234.0,-29.0,-0.0377885321489444
openpyxl,2022-09-15 06:31:18.978000,"{centipede,aflplusplus,openpyxl}","{a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c,485b585f34175514f68fed3b5e96bc4593b06365}",2022-09-16 06:07:39.714000,"{centipede,aflplusplus,openpyxl}","{0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c,485b585f34175514f68fed3b5e96bc4593b06365}",12968.0,28234.0,12299.0,28211.0,-23.0,-2.3339690161637705
openpyxl,2022-09-19 06:40:22.671000,"{centipede,aflplusplus,openpyxl}","{0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c,485b585f34175514f68fed3b5e96bc4593b06365}",2022-09-20 06:32:51.239000,"{centipede,aflplusplus,openpyxl}","{0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4,485b585f34175514f68fed3b5e96bc4593b06365}",12992.0,28263.0,12992.0,28263.0,0.0,0.0
openpyxl,2022-09-21 06:20:55.597000,"{centipede,aflplusplus,openpyxl}","{0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4,485b585f34175514f68fed3b5e96bc4593b06365}",2022-09-22 06:22:55.869000,"{centipede,aflplusplus,openpyxl}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,485b585f34175514f68fed3b5e96bc4593b06365}",12692.0,28192.0,12692.0,28192.0,0.0,0.0
openpyxl,2022-10-26 19:34:12.301000,"{centipede,aflplusplus,openpyxl}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,485b585f34175514f68fed3b5e96bc4593b06365}",2022-10-27 06:49:13.181000,"{centipede,openpyxl}","{baa82e7189677bb9086beb5d9b5e58018d991607,485b585f34175514f68fed3b5e96bc4593b06365}",13031.0,28278.0,12731.0,28207.0,-71.0,-0.94757312239161
openpyxl,2022-11-16 06:25:37.082000,"{centipede,openpyxl}","{baa82e7189677bb9086beb5d9b5e58018d991607,485b585f34175514f68fed3b5e96bc4593b06365}",2022-11-17 06:35:19.981000,{openpyxl},{485b585f34175514f68fed3b5e96bc4593b06365},12731.0,28207.0,13007.0,28249.0,42.0,0.9099212065886775
openpyxl,2023-01-31 06:16:42.546000,{openpyxl},{485b585f34175514f68fed3b5e96bc4593b06365},2023-01-31 17:49:59.986000,{openpyxl},{f0a906a08318eca60c56d1a62abaf3f5857609e0},13085.0,28451.0,13085.0,28451.0,0.0,0.0
openpyxl,2023-02-13 06:25:07.238000,{openpyxl},{f0a906a08318eca60c56d1a62abaf3f5857609e0},2023-02-13 19:37:57.026000,{openpyxl},{2d87658472a215f605d5f7fa4a394732e4647369},12796.0,28895.0,12796.0,28895.0,0.0,0.0
openpyxl,2023-03-11 06:43:58.535000,{openpyxl},{2d87658472a215f605d5f7fa4a394732e4647369},2023-03-12 06:18:12.346000,{openpyxl},{b1807ec2337940815fa16a8ae3143e4302e561b6},10266.0,14684.0,10001.0,14650.0,-34.0,-1.646618687378151
openpyxl,2024-05-29 06:13:20.269000,{openpyxl},{b1807ec2337940815fa16a8ae3143e4302e561b6},2024-05-30 06:13:01.648000,{openpyxl},{72d1050becc7c3fc21dff30f60ff19eb69839a98},10002.0,14650.0,9987.0,14661.0,11.0,-0.15353682647632638
