project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
opensips,2021-10-11 09:21:55.669000,"{opensips,aflplusplus}","{078c57b515e0f3a2111205e058d431817d9e1d42,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-12 07:53:10.251000,"{opensips,aflplusplus}","{f27f3a066ae92d3520b99afd1009bbdc46cb6d2f,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2402.0,57672.0,2741.0,57672.0,0.0,0.5878069080316273
opensips,2021-10-13 09:58:30.705000,"{opensips,aflplusplus}","{f27f3a066ae92d3520b99afd1009bbdc46cb6d2f,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-14 09:51:46.533000,"{opensips,aflplusplus}","{6581e0efeace51234932d97621aaa1636ad56cc3,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2491.0,57672.0,2972.0,57697.0,25.0,0.8317940041463858
opensips,2021-10-14 09:51:46.533000,"{opensips,aflplusplus}","{6581e0efeace51234932d97621aaa1636ad56cc3,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-15 09:33:26.161000,"{opensips,aflplusplus}","{aebac095b94607c86c6fe0278bae6e96bf53862e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2972.0,57697.0,3044.0,57703.0,6.0,0.12424126498988386
opensips,2021-10-16 07:24:18.970000,"{opensips,aflplusplus}","{aebac095b94607c86c6fe0278bae6e96bf53862e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-18 09:13:12.395000,"{opensips,aflplusplus}","{3b46f456708be3580ed22f0edd455f43b54dbc9a,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3044.0,57703.0,3047.0,57703.0,0.0,0.00519903644524522
opensips,2021-10-18 09:13:12.395000,"{opensips,aflplusplus}","{3b46f456708be3580ed22f0edd455f43b54dbc9a,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-19 11:08:05.747000,"{opensips,aflplusplus}","{996fef9372cd52c27a5c60d28078c4867f756d8b,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3047.0,57703.0,3051.0,57703.0,0.0,0.006932048593661477
opensips,2021-10-20 09:52:13.393000,"{opensips,aflplusplus}","{996fef9372cd52c27a5c60d28078c4867f756d8b,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-21 06:36:50.787000,"{opensips,aflplusplus}","{79b12d8acec3a5bf3bccf17f749154ab395cfd9d,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3062.0,57703.0,3062.0,57703.0,0.0,0.0
opensips,2021-10-21 06:36:50.787000,"{opensips,aflplusplus}","{79b12d8acec3a5bf3bccf17f749154ab395cfd9d,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-22 10:54:45.217000,"{opensips,aflplusplus}","{89a3d52e157124f5abd0b7499e60eb9bf2dbc8f3,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3062.0,57703.0,3095.0,57703.0,0.0,0.05718940089770008
opensips,2021-10-22 10:54:45.217000,"{opensips,aflplusplus}","{89a3d52e157124f5abd0b7499e60eb9bf2dbc8f3,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-23 07:49:11.954000,"{opensips,aflplusplus}","{be1e32e5839c5dc71dd89be1506760de95c5df48,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3095.0,57703.0,3099.0,57703.0,0.0,0.006932048593660589
opensips,2021-10-23 07:49:11.954000,"{opensips,aflplusplus}","{be1e32e5839c5dc71dd89be1506760de95c5df48,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-25 11:10:39.020000,"{opensips,aflplusplus}","{f1fe8bc23f6873c8f41d94108c603c3c4538c703,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3099.0,57703.0,3152.0,57703.0,0.0,0.09184964386600303
opensips,2021-10-25 11:10:39.020000,"{opensips,aflplusplus}","{f1fe8bc23f6873c8f41d94108c603c3c4538c703,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-27 11:14:43.390000,"{opensips,aflplusplus}","{af38dad21fb2e708eb1984989172b7d238c4842c,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3152.0,57703.0,3165.0,57768.0,65.0,0.016357507115231762
