project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
openssh,2019-03-13 13:33:21.359000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,a212107bfdf4d3e870ab7a443e4d906e5b9578c3,356046}",2019-03-14 13:31:50.118000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356140}",2498.0,10793.0,2498.0,10793.0,0.0,0.0
openssh,2019-03-14 13:31:50.118000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356140}",2019-03-15 13:32:16.647000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356258}",2498.0,10793.0,2498.0,10793.0,0.0,0.0
openssh,2019-03-15 13:32:16.647000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356258}",2019-03-16 13:30:50.825000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356322}",2498.0,10793.0,2498.0,10793.0,0.0,0.0
openssh,2019-03-16 13:30:50.825000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356322}",2019-03-17 13:31:23.494000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356330}",2498.0,10793.0,2498.0,10793.0,0.0,0.0
openssh,2019-03-17 13:31:23.494000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356330}",2019-03-18 13:32:46.909000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356366}",2498.0,10793.0,2498.0,10793.0,0.0,0.0
openssh,2019-03-18 13:32:46.909000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356366}",2019-03-19 13:31:37.859000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356451}",2498.0,10793.0,2498.0,10793.0,0.0,0.0
openssh,2019-03-19 13:31:37.859000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356451}",2019-03-20 13:31:55.349000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356553}",2498.0,10793.0,2498.0,10793.0,0.0,0.0
openssh,2019-03-20 13:31:55.349000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356553}",2019-03-21 13:31:10.545000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356663}",2498.0,10793.0,2498.0,10793.0,0.0,0.0
openssh,2019-03-21 13:31:10.545000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356663}",2019-03-22 13:32:56.105000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356747}",2498.0,10793.0,2498.0,10793.0,0.0,0.0
openssh,2019-03-22 13:32:56.105000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356747}",2019-03-23 13:31:43.789000,"{openssh-fuzz-cases,openssh,libfuzzer}","{681907d6b9ac6cb15e17f3fbbe8029013957e409,9edbd7821e6837e98e7e95546cede804dac96754,356831}",2498.0,10793.0,2498.0,10793.0,0.0,0.0
