project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
openvpn,2021-06-17 06:18:38.722000,"{openvpn,aflplusplus}","{b398aa37ca309948b481401adf0074ea5589eb2d,ade8cdca55951958024c86766453430f904381c5}",2021-06-18 07:10:00.553000,"{openvpn,aflplusplus}","{84d5079b0f40387317b348025c99097f7876807a,ade8cdca55951958024c86766453430f904381c5}",768.0,36377.0,768.0,36380.0,3.0,-0.00017409764638287584
openvpn,2021-06-24 11:46:41.660000,"{openvpn,aflplusplus}","{84d5079b0f40387317b348025c99097f7876807a,ade8cdca55951958024c86766453430f904381c5}",2021-06-25 08:15:18.795000,"{openvpn,aflplusplus}","{8f283648d90799683d9e8f58ca4776ae1e893fd8,ade8cdca55951958024c86766453430f904381c5}",1399.0,36619.0,1654.0,36695.0,76.0,0.6870049869721071
openvpn,2021-06-25 08:15:18.795000,"{openvpn,aflplusplus}","{8f283648d90799683d9e8f58ca4776ae1e893fd8,ade8cdca55951958024c86766453430f904381c5}",2021-06-26 07:15:41.117000,"{openvpn,aflplusplus}","{480e4cc14ff34fac72406ab1dd66290a91cc09f0,ade8cdca55951958024c86766453430f904381c5}",1654.0,36695.0,1885.0,36771.0,76.0,0.6188962937622478
openvpn,2021-06-30 11:17:27.846000,"{openvpn,aflplusplus}","{480e4cc14ff34fac72406ab1dd66290a91cc09f0,ade8cdca55951958024c86766453430f904381c5}",2021-07-01 09:19:28.804000,"{openvpn,boringssl,aflplusplus}","{480e4cc14ff34fac72406ab1dd66290a91cc09f0,170045f4900cf6ffc2d5bf162a4ef196b2400e1a,ade8cdca55951958024c86766453430f904381c5}",3905.0,37000.0,3998.0,37249.0,249.0,0.17911999088674868
openvpn,2021-07-01 09:19:28.804000,"{openvpn,boringssl,aflplusplus}","{480e4cc14ff34fac72406ab1dd66290a91cc09f0,170045f4900cf6ffc2d5bf162a4ef196b2400e1a,ade8cdca55951958024c86766453430f904381c5}",2021-07-02 09:46:15.323000,"{openvpn,boringssl,aflplusplus}","{480e4cc14ff34fac72406ab1dd66290a91cc09f0,ae7c17868992ac2c64c46ba418d46cf75374054f,ade8cdca55951958024c86766453430f904381c5}",3998.0,37249.0,3998.0,37249.0,0.0,0.0
openvpn,2021-07-02 09:46:15.323000,"{openvpn,boringssl,aflplusplus}","{480e4cc14ff34fac72406ab1dd66290a91cc09f0,ae7c17868992ac2c64c46ba418d46cf75374054f,ade8cdca55951958024c86766453430f904381c5}",2021-07-03 07:32:46.673000,"{openvpn,boringssl,aflplusplus}","{ccee09d1478aa69783926c208bfa235dcb055124,7ada8466927864b6427277f455483c61081a32db,ade8cdca55951958024c86766453430f904381c5}",3998.0,37249.0,4872.0,37284.0,35.0,2.3340934156320987
openvpn,2021-07-07 09:59:12.683000,"{openvpn,boringssl,aflplusplus}","{ccee09d1478aa69783926c208bfa235dcb055124,7ada8466927864b6427277f455483c61081a32db,ade8cdca55951958024c86766453430f904381c5}",2021-07-08 09:09:31.464000,"{openvpn,boringssl,aflplusplus}","{ccee09d1478aa69783926c208bfa235dcb055124,62d6ed60dc192433d05fcc786a8dc0df23e80c96,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",5370.0,37468.0,5600.0,37468.0,0.0,0.613857158108253
openvpn,2021-07-09 10:14:48.730000,"{openvpn,boringssl,aflplusplus}","{ccee09d1478aa69783926c208bfa235dcb055124,62d6ed60dc192433d05fcc786a8dc0df23e80c96,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",2021-07-11 06:48:39.885000,"{openvpn,boringssl,aflplusplus}","{51d85a9d287f44c373eaa514c6a52e1078c27c43,268a4a6ff3bd656ae65fe41ef1185daa85cfae21,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",5732.0,37468.0,6807.0,37722.0,254.0,2.746784620612324
openvpn,2021-07-12 08:42:01.305000,"{openvpn,boringssl,aflplusplus}","{51d85a9d287f44c373eaa514c6a52e1078c27c43,268a4a6ff3bd656ae65fe41ef1185daa85cfae21,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",2021-07-13 09:17:16.937000,"{openvpn,boringssl,aflplusplus}","{51d85a9d287f44c373eaa514c6a52e1078c27c43,ecc301ca0f77dd5d78de4b22d25713e63d18168a,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",7183.0,37750.0,7180.0,37750.0,0.0,-0.007947019867550864
openvpn,2021-07-14 07:46:48.932000,"{openvpn,boringssl,aflplusplus}","{51d85a9d287f44c373eaa514c6a52e1078c27c43,ecc301ca0f77dd5d78de4b22d25713e63d18168a,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",2021-07-16 06:45:50.005000,"{openvpn,boringssl,aflplusplus}","{34b42549c980b19730a0beb03096d2dd915865c0,519c2986c73c23461b130ad19b93fd7d081353d5,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",7156.0,37750.0,7151.0,37754.0,4.0,-0.015252030660668936
