project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
openvswitch,2019-03-13 13:43:36.732000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,b4f86fccde4530615e578471cfe0d76b0925ccfa,356047}",2019-03-14 13:42:09.283000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,f7e46850153c323a80528e556913b8b5968d5f33,356142}",35112.0,120587.0,35112.0,120587.0,0.0,0.0
openvswitch,2019-03-14 13:42:09.283000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,f7e46850153c323a80528e556913b8b5968d5f33,356142}",2019-03-15 13:42:11.568000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,9a7df6f3cf7158530d8517e70dc4e897af72acf8,356259}",35112.0,120587.0,35112.0,120714.0,127.0,-0.03063382005744586
openvswitch,2019-03-15 13:42:11.568000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,9a7df6f3cf7158530d8517e70dc4e897af72acf8,356259}",2019-03-16 13:41:08.369000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,5eabc1c9b7a9ff2b575ec0b3d6e2fea3f2b8cc6c,356322}",35112.0,120714.0,35112.0,120755.0,41.0,-0.00987589948867651
openvswitch,2019-03-16 13:41:08.369000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,5eabc1c9b7a9ff2b575ec0b3d6e2fea3f2b8cc6c,356322}",2019-03-17 13:41:29.546000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,5eabc1c9b7a9ff2b575ec0b3d6e2fea3f2b8cc6c,356330}",35112.0,120755.0,35112.0,120755.0,0.0,0.0
openvswitch,2019-03-17 13:41:29.546000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,5eabc1c9b7a9ff2b575ec0b3d6e2fea3f2b8cc6c,356330}",2019-03-18 13:42:02.152000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,5eabc1c9b7a9ff2b575ec0b3d6e2fea3f2b8cc6c,356367}",35112.0,120755.0,35112.0,120755.0,0.0,0.0
openvswitch,2019-03-18 13:42:02.152000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,5eabc1c9b7a9ff2b575ec0b3d6e2fea3f2b8cc6c,356367}",2019-03-19 13:41:13.900000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,2e97b8419c6e5285649f955a5f5a4f7c2875c877,356453}",35112.0,120755.0,35112.0,120753.0,-2.0,0.0004815956017729661
openvswitch,2019-03-19 13:41:13.900000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,2e97b8419c6e5285649f955a5f5a4f7c2875c877,356453}",2019-03-20 13:41:01.141000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,ca053914f0ecfca6564b35b9b5e5729c7b3696d3,356553}",35112.0,120753.0,40107.0,121684.0,931.0,3.8824234221963607
openvswitch,2019-03-20 13:41:01.141000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,ca053914f0ecfca6564b35b9b5e5729c7b3696d3,356553}",2019-03-21 13:41:07.931000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,272ee841d6c4eb8547c58b2f1cb959d14584e138,356663}",40107.0,121684.0,40284.0,121687.0,3.0,0.1446425675248335
openvswitch,2019-03-21 13:41:07.931000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,272ee841d6c4eb8547c58b2f1cb959d14584e138,356663}",2019-03-22 13:42:13.200000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,272ee841d6c4eb8547c58b2f1cb959d14584e138,356749}",40284.0,121687.0,40340.0,121687.0,0.0,0.04601970629565244
openvswitch,2019-03-22 13:42:13.200000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,272ee841d6c4eb8547c58b2f1cb959d14584e138,356749}",2019-03-23 13:41:28.896000,"{ovs-fuzzing-corpus,openvswitch,libfuzzer}","{e205dcb29dba2856722422b0600cc1521d8480f0,170ef7265a36b3716b1bdc6fd067e9dd7f38a133,356831}",40340.0,121687.0,40356.0,121687.0,0.0,0.013148487513049645
