project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
opus,2019-03-13 14:27:46.695000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356052}",2019-03-14 14:24:30.108000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356152}",5687.0,10454.0,5687.0,10454.0,0.0,0.0
opus,2019-03-14 14:24:30.108000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356152}",2019-03-15 14:24:32.880000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356263}",5687.0,10454.0,5687.0,10454.0,0.0,0.0
opus,2019-03-15 14:24:32.880000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356263}",2019-03-16 14:21:43.885000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356323}",5687.0,10454.0,5687.0,10454.0,0.0,0.0
opus,2019-03-16 14:21:43.885000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356323}",2019-03-17 14:20:48.833000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356331}",5687.0,10454.0,5687.0,10454.0,0.0,0.0
opus,2019-03-17 14:20:48.833000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356331}",2019-03-18 14:26:14.015000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356370}",5687.0,10454.0,5687.0,10454.0,0.0,0.0
opus,2019-03-18 14:26:14.015000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356370}",2019-03-19 14:22:51.542000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356456}",5687.0,10454.0,5687.0,10454.0,0.0,0.0
opus,2019-03-19 14:22:51.542000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356456}",2019-03-20 14:20:45.297000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356555}",5687.0,10454.0,5687.0,10454.0,0.0,0.0
opus,2019-03-20 14:20:45.297000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356555}",2019-03-21 14:23:32.697000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356667}",5687.0,10454.0,5687.0,10454.0,0.0,0.0
opus,2019-03-21 14:23:32.697000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356667}",2019-03-22 14:24:28.171000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356751}",5687.0,10454.0,5687.0,10454.0,0.0,0.0
opus,2019-03-22 14:24:28.171000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356751}",2019-03-23 14:23:09.650000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356832}",5687.0,10454.0,5687.0,10454.0,0.0,0.0
opus,2019-03-23 14:23:09.650000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356832}",2019-03-24 14:19:49.235000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356855}",5687.0,10454.0,5687.0,10454.0,0.0,0.0
opus,2019-03-24 14:19:49.235000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356855}",2019-03-25 14:33:02.585000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356899}",5687.0,10454.0,5687.0,10454.0,0.0,0.0
opus,2019-03-25 14:33:02.585000,"{opus,libfuzzer}","{db082963b98323d88535f4522ba710208ba93a1a,356899}",2019-04-01 14:21:49.508000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357389}",5687.0,10454.0,5677.0,10456.0,2.0,-0.10604442034759387
opus,2019-04-01 14:21:49.508000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357389}",2019-04-02 16:49:21.330000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357491}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-02 16:49:21.330000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357491}",2019-04-03 14:15:48.525000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357584}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-03 14:15:48.525000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357584}",2019-04-04 14:21:30.650000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357701}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-04 14:21:30.650000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357701}",2019-04-05 14:24:01.782000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357764}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-05 14:24:01.782000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357764}",2019-04-06 14:19:26.636000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357841}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-06 14:19:26.636000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357841}",2019-04-07 14:15:50.501000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357866}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-07 14:15:50.501000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357866}",2019-04-08 14:19:25.508000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357915}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-08 14:19:25.508000,"{opus,libfuzzer}","{3765a248489e902b5e1b26e1d68aa10d6e02ff67,357915}",2019-04-09 14:31:42.835000,"{opus,libfuzzer}","{196511de23161330c74d123a2076892652c9dc95,358009}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-09 14:31:42.835000,"{opus,libfuzzer}","{196511de23161330c74d123a2076892652c9dc95,358009}",2019-04-10 14:26:18.602000,"{opus,libfuzzer}","{afea46e9d795bd08ee7f82fb65a9ff4a7d842b66,358086}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-10 14:26:18.602000,"{opus,libfuzzer}","{afea46e9d795bd08ee7f82fb65a9ff4a7d842b66,358086}",2019-04-11 14:26:46.414000,"{opus,libfuzzer}","{268780fbf07e95e31b3d443004b5c3a997f9cad3,358173}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-11 14:26:46.414000,"{opus,libfuzzer}","{268780fbf07e95e31b3d443004b5c3a997f9cad3,358173}",2019-04-12 14:21:10.103000,"{opus,libfuzzer}","{1f92613e7d01958d2ec1b0072c27c6f2c118fc01,358285}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-12 14:21:10.103000,"{opus,libfuzzer}","{1f92613e7d01958d2ec1b0072c27c6f2c118fc01,358285}",2019-04-13 14:26:27.567000,"{opus,libfuzzer}","{e85ed7726db5d677c9c0677298ea0cb9c65bdd23,358332}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-13 14:26:27.567000,"{opus,libfuzzer}","{e85ed7726db5d677c9c0677298ea0cb9c65bdd23,358332}",2019-04-14 14:20:53.740000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358357}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-14 14:20:53.740000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358357}",2019-04-15 14:31:14.651000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358411}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-15 14:31:14.651000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358411}",2019-04-16 14:33:32.350000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358494}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-16 14:33:32.350000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358494}",2019-04-17 14:25:17.793000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358579}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-17 14:25:17.793000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358579}",2019-04-18 14:25:12.332000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358668}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-18 14:25:12.332000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358668}",2019-04-19 14:23:10.332000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358760}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-19 14:23:10.332000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358760}",2019-04-20 14:27:25.626000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358816}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-20 14:27:25.626000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358816}",2019-04-21 14:28:06.722000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358852}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-21 14:28:06.722000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358852}",2019-04-22 14:32:37.050000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358887}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-22 14:32:37.050000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358887}",2019-04-23 14:31:55.462000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358993}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-23 14:31:55.462000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,358993}",2019-04-24 14:27:45.418000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,359097}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-24 14:27:45.418000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,359097}",2019-04-25 14:23:37.515000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,359193}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-25 14:23:37.515000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,359193}",2019-04-26 14:29:08.189000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,359308}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-26 14:29:08.189000,"{opus,libfuzzer}","{296d556d170f0dc0d5fe49945a5943f1f65a05d8,359308}",2019-04-27 14:29:20.592000,"{opus,libfuzzer}","{86e5f5ea56529d688568929d036574a93311e82a,359378}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
opus,2019-04-27 14:29:20.592000,"{opus,libfuzzer}","{86e5f5ea56529d688568929d036574a93311e82a,359378}",2019-04-28 14:26:45.839000,"{opus,libfuzzer}","{86e5f5ea56529d688568929d036574a93311e82a,359399}",5677.0,10456.0,5677.0,10456.0,0.0,0.0
