project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
opusfile,2020-09-15 06:09:57.908000,"{opusfile,afl}","{6452e838e68e8f4fc0b3599523c760ac6276ce89,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-16 08:54:52.567000,"{opusfile,afl}","{f94a1764b0dcdd84ee8c13c040de9f4c1a67e4df,82b5e359463238d790cadbe2dd494d6a4928bff3}",2050.0,2852.0,2050.0,2850.0,-2.0,0.05044167220295037
opusfile,2020-10-17 06:55:54.949000,"{opusfile,afl}","{f94a1764b0dcdd84ee8c13c040de9f4c1a67e4df,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-18 06:05:59.296000,"{opusfile,afl}","{4174c26e0aaab19d01afdea0a46f7f95fdc6b3e6,82b5e359463238d790cadbe2dd494d6a4928bff3}",2051.0,2855.0,2050.0,2858.0,3.0,-0.11039770380619984
opusfile,2020-12-16 07:44:08.048000,"{opusfile,afl}","{4174c26e0aaab19d01afdea0a46f7f95fdc6b3e6,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-17 09:10:33.593000,"{opusfile,afl}","{729c88e74b21f01a3ef4fae37602255c242aa029,82b5e359463238d790cadbe2dd494d6a4928bff3}",2072.0,2846.0,2071.0,2845.0,-1.0,-0.009559249438353845
opusfile,2021-01-25 10:03:45.379000,"{opusfile,afl}","{729c88e74b21f01a3ef4fae37602255c242aa029,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-26 09:17:56.649000,"{opusfile,aflplusplus,afl}","{729c88e74b21f01a3ef4fae37602255c242aa029,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2086.0,2845.0,2086.0,2845.0,0.0,0.0
opusfile,2021-01-31 07:30:31.450000,"{opusfile,aflplusplus,afl}","{729c88e74b21f01a3ef4fae37602255c242aa029,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-01 08:26:47.362000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,068bef5eab942df0a133c92522f2ab81b28ac636}",2086.0,2845.0,2086.0,2845.0,0.0,0.0
opusfile,2021-02-01 08:26:47.362000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,068bef5eab942df0a133c92522f2ab81b28ac636}",2021-02-02 07:52:49.665000,"{opusfile,aflplusplus,afl}","{729c88e74b21f01a3ef4fae37602255c242aa029,654f389e73c9fd5b7e141b33ea28ab0fdda3178f,82b5e359463238d790cadbe2dd494d6a4928bff3}",2086.0,2845.0,2086.0,2845.0,0.0,0.0
opusfile,2021-02-02 07:52:49.665000,"{opusfile,aflplusplus,afl}","{729c88e74b21f01a3ef4fae37602255c242aa029,654f389e73c9fd5b7e141b33ea28ab0fdda3178f,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-03 06:54:19.404000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,1f71b85426f837ebcae8381897d44a3a67c73a4f}",2086.0,2845.0,2086.0,2845.0,0.0,0.0
opusfile,2021-02-06 06:08:32.257000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,1f71b85426f837ebcae8381897d44a3a67c73a4f}",2021-02-07 07:44:58.820000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,a763c61d89f90330bcde7c294c57cfccda1431b8}",2086.0,2845.0,2086.0,2845.0,0.0,0.0
opusfile,2021-02-07 07:44:58.820000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,a763c61d89f90330bcde7c294c57cfccda1431b8}",2021-02-08 06:05:42.569000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2086.0,2845.0,2086.0,2845.0,0.0,0.0
opusfile,2021-02-18 08:53:01.927000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2021-02-19 07:36:31.424000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,5dd35f5281afec0955c08fe9f99e3c83222b7764}",2086.0,2845.0,2086.0,2845.0,0.0,0.0
opusfile,2021-02-22 08:03:43.906000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,5dd35f5281afec0955c08fe9f99e3c83222b7764}",2021-02-23 09:28:10.210000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,a252943236b12c080248747bee06c9c5084b871e}",2086.0,2845.0,2086.0,2845.0,0.0,0.0
opusfile,2021-02-26 06:21:30.983000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,a252943236b12c080248747bee06c9c5084b871e}",2021-02-27 08:39:56.283000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,78d96c4dc86ac20e2a6e244017407ccc037ff13b}",2086.0,2845.0,2086.0,2845.0,0.0,0.0
opusfile,2021-03-01 09:36:34.812000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,78d96c4dc86ac20e2a6e244017407ccc037ff13b}",2021-03-02 06:11:11.037000,"{opusfile,aflplusplus}","{729c88e74b21f01a3ef4fae37602255c242aa029,c3a8052a16f7d2d1947ea538719905a9d7a24d22}",2086.0,2845.0,2086.0,2845.0,0.0,0.0
