project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
orbit,2021-01-29 09:20:47.992000,"{aflplusplus,afl}","{068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-16 09:02:23.759000,{aflplusplus},{aeb7d7048371cd91ab9280c3958f1c35e5d5e758},3035.0,42255.0,1998.0,31530.0,-10725.0,-0.8457598687502967
orbit,2021-02-18 07:51:58.254000,{aflplusplus},{aeb7d7048371cd91ab9280c3958f1c35e5d5e758},2021-02-19 09:47:32.499000,{aflplusplus},{5dd35f5281afec0955c08fe9f99e3c83222b7764},7894.0,33369.0,8217.0,33417.0,48.0,0.9325935603872857
orbit,2021-02-22 08:10:03.955000,{aflplusplus},{5dd35f5281afec0955c08fe9f99e3c83222b7764},2021-02-23 09:11:08.022000,{aflplusplus},{a252943236b12c080248747bee06c9c5084b871e},8220.0,33451.0,8223.0,33451.0,0.0,0.008968341753611497
orbit,2021-02-26 11:18:11.904000,{aflplusplus},{a252943236b12c080248747bee06c9c5084b871e},2021-02-27 06:27:52.675000,{aflplusplus},{78d96c4dc86ac20e2a6e244017407ccc037ff13b},8223.0,33567.0,8226.0,33567.0,0.0,0.008937349182232879
orbit,2021-03-01 09:53:35.416000,{aflplusplus},{78d96c4dc86ac20e2a6e244017407ccc037ff13b},2021-03-02 09:47:27.236000,{aflplusplus},{c3a8052a16f7d2d1947ea538719905a9d7a24d22},8294.0,33573.0,8294.0,33578.0,5.0,-0.003678655003259479
orbit,2021-03-02 09:47:27.236000,{aflplusplus},{c3a8052a16f7d2d1947ea538719905a9d7a24d22},2021-03-17 09:10:39.321000,{aflplusplus},{7c2436c7114e21f029b06346421a73910deac578},8294.0,33578.0,8327.0,34570.0,992.0,-0.6133379030889827
orbit,2021-03-18 07:43:22.622000,{aflplusplus},{7c2436c7114e21f029b06346421a73910deac578},2021-03-19 08:41:46.285000,{aflplusplus},{94312796f936ba1830b61432a0f958e192dd212f},8391.0,35451.0,8402.0,35451.0,0.0,0.031028743900034073
orbit,2021-03-19 08:41:46.285000,{aflplusplus},{94312796f936ba1830b61432a0f958e192dd212f},2021-03-20 06:17:25.256000,{aflplusplus},{2102264acf5c271b7560a82771b3af8136af9354},8402.0,35451.0,8402.0,35475.0,24.0,-0.016034042283180838
orbit,2021-04-02 10:18:07.225000,{aflplusplus},{2102264acf5c271b7560a82771b3af8136af9354},2021-04-03 08:18:35.672000,{aflplusplus},{3ff4ca348c344bded53f53b0d0c4b020a188f26e},6759.0,35531.0,6790.0,35531.0,0.0,0.08724775548112973
orbit,2021-04-30 10:44:41.999000,{aflplusplus},{3ff4ca348c344bded53f53b0d0c4b020a188f26e},2021-05-01 06:45:21.185000,{aflplusplus},{f4cc718fdc4571f56280a1efad3645125bee2154},8985.0,39221.0,8963.0,39221.0,0.0,-0.056092399479869215
