project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
osgi,2022-09-21 06:30:54.799000,"{osgi,centipede,aflplusplus}","{1de3e998b4aa16a73c880b4c16aa9647ab507fd2,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:21:14.792000,"{osgi,centipede,aflplusplus}","{1de3e998b4aa16a73c880b4c16aa9647ab507fd2,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",621.0,942.0,621.0,942.0,0.0,0.0
osgi,2022-10-25 06:43:28.232000,"{osgi,centipede,aflplusplus}","{1de3e998b4aa16a73c880b4c16aa9647ab507fd2,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-25 20:01:25.217000,"{osgi,centipede,aflplusplus}","{5f699449aa06ce62acfa3e14b524ab5fc67515c4,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",653.0,942.0,653.0,942.0,0.0,0.0
osgi,2022-10-26 06:07:42.015000,"{osgi,centipede,aflplusplus}","{5f699449aa06ce62acfa3e14b524ab5fc67515c4,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-26 15:16:32.209000,"{osgi,centipede,aflplusplus}","{e86555cf84657fa3b44208ef135c6f9a046a98ba,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",653.0,942.0,653.0,942.0,0.0,0.0
osgi,2022-10-26 15:16:32.209000,"{osgi,centipede,aflplusplus}","{e86555cf84657fa3b44208ef135c6f9a046a98ba,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-26 15:40:52.220000,"{osgi,centipede,aflplusplus}","{d09557c19f7a98e1ac2c38fa28bfe04aa381f8f4,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",653.0,942.0,653.0,942.0,0.0,0.0
osgi,2022-10-26 19:44:42.818000,"{osgi,centipede,aflplusplus}","{d09557c19f7a98e1ac2c38fa28bfe04aa381f8f4,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:38:44.346000,"{osgi,centipede}","{795c11d80e5574d88002961d1800c1a3feb91a2d,baa82e7189677bb9086beb5d9b5e58018d991607}",653.0,942.0,653.0,942.0,0.0,0.0
osgi,2022-11-04 06:12:42.601000,"{osgi,centipede}","{795c11d80e5574d88002961d1800c1a3feb91a2d,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-05 06:46:32.824000,"{osgi,centipede}","{4dac4ac9842e08c9b2e47d87f3f3412cb04b23a6,baa82e7189677bb9086beb5d9b5e58018d991607}",660.0,942.0,660.0,942.0,0.0,0.0
osgi,2022-11-07 06:33:54.099000,"{osgi,centipede}","{4dac4ac9842e08c9b2e47d87f3f3412cb04b23a6,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-08 06:10:39.559000,"{osgi,centipede}","{e5b4787b5d1357458fc85aba6ad2862fc5a2872d,baa82e7189677bb9086beb5d9b5e58018d991607}",660.0,942.0,660.0,942.0,0.0,0.0
osgi,2022-11-08 06:10:39.559000,"{osgi,centipede}","{e5b4787b5d1357458fc85aba6ad2862fc5a2872d,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-09 06:13:39.084000,"{osgi,centipede}","{88fb0a88d42af39a466be791cbf26f1984ec48a3,baa82e7189677bb9086beb5d9b5e58018d991607}",660.0,942.0,660.0,942.0,0.0,0.0
osgi,2022-11-09 06:13:39.084000,"{osgi,centipede}","{88fb0a88d42af39a466be791cbf26f1984ec48a3,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-10 06:22:19.428000,"{osgi,centipede}","{2d6d37aaf6c5489b528213dff31e98c55414bc51,baa82e7189677bb9086beb5d9b5e58018d991607}",660.0,942.0,660.0,942.0,0.0,0.0
osgi,2022-11-10 06:22:19.428000,"{osgi,centipede}","{2d6d37aaf6c5489b528213dff31e98c55414bc51,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-11 06:08:24.387000,"{osgi,centipede}","{8205de3be59bd59c4a6771d207612e1863cc2a9b,baa82e7189677bb9086beb5d9b5e58018d991607}",660.0,942.0,660.0,942.0,0.0,0.0
