project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
osquery,2019-10-18 14:08:24.423000,"{osquery,afl,libfuzzer}","{30a7507c9557273dbd3a8de086748e550b867bcb,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375233}",2019-10-19 14:05:42.721000,"{osquery,afl,libfuzzer}","{0bf2245396a952f2ce05942f9f5bada8ad05708d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375342}",30010.0,750670.0,30028.0,750670.0,0.0,0.0023978579135963685
osquery,2019-10-19 14:05:42.721000,"{osquery,afl,libfuzzer}","{0bf2245396a952f2ce05942f9f5bada8ad05708d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375342}",2019-10-20 14:09:16.223000,"{osquery,afl,libfuzzer}","{15d522f4478469d963a65b2f252f353cb86d80a1,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375358}",30028.0,750670.0,30037.0,750670.0,0.0,0.0011989289567999606
osquery,2019-10-20 14:09:16.223000,"{osquery,afl,libfuzzer}","{15d522f4478469d963a65b2f252f353cb86d80a1,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375358}",2019-10-22 14:12:01.430000,"{osquery,afl,libfuzzer}","{43357d43a36b7ff7f5ad0e1c85a0cc354b2c914c,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375500}",30037.0,750670.0,30039.0,750673.0,3.0,0.00025043650649614335
osquery,2019-10-22 14:12:01.430000,"{osquery,afl,libfuzzer}","{43357d43a36b7ff7f5ad0e1c85a0cc354b2c914c,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375500}",2019-10-23 14:09:35.527000,"{osquery,afl,libfuzzer}","{43357d43a36b7ff7f5ad0e1c85a0cc354b2c914c,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",30039.0,750673.0,30039.0,750673.0,0.0,0.0
osquery,2019-10-23 14:09:35.527000,"{osquery,afl,libfuzzer}","{43357d43a36b7ff7f5ad0e1c85a0cc354b2c914c,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-10-24 14:07:53.517000,"{osquery,afl,libfuzzer}","{3e1dd14d8dbe17570cde2cfc9707514378e433a4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",30039.0,750673.0,30075.0,750675.0,2.0,0.004785022521803128
osquery,2019-10-25 14:10:30.160000,"{osquery,afl,libfuzzer}","{3e1dd14d8dbe17570cde2cfc9707514378e433a4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-10-26 14:09:22.951000,"{osquery,afl,libfuzzer}","{41fb4efba179806e22f791a85e042d6a568e2719,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",30131.0,750675.0,30157.0,750675.0,0.0,0.0034635494721424465
osquery,2019-10-26 14:09:22.951000,"{osquery,afl,libfuzzer}","{41fb4efba179806e22f791a85e042d6a568e2719,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-10-27 14:06:42.333000,"{osquery,afl,libfuzzer}","{198f553036ef45c65c83b89bb45c4fcb16754213,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",30157.0,750675.0,30932.0,750723.0,48.0,0.10297695521267691
osquery,2019-10-27 14:06:42.333000,"{osquery,afl,libfuzzer}","{198f553036ef45c65c83b89bb45c4fcb16754213,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-10-28 14:08:53.035000,"{osquery,afl,libfuzzer}","{0c06658e45b493583d55ec2486456e3ce44dfa35,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",30932.0,750723.0,30934.0,750718.0,-5.0,0.0002938539818053698
osquery,2019-10-28 14:08:53.035000,"{osquery,afl,libfuzzer}","{0c06658e45b493583d55ec2486456e3ce44dfa35,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-10-29 14:03:52.185000,"{osquery,afl,libfuzzer}","{d373d042606acda3cb46d6424cfe09be6939b554,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",30934.0,750718.0,30932.0,750718.0,0.0,-0.0002664116219399659
osquery,2019-10-29 14:03:52.185000,"{osquery,afl,libfuzzer}","{d373d042606acda3cb46d6424cfe09be6939b554,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-10-30 14:08:36.116000,"{osquery,afl,libfuzzer}","{04896c85cd14c7ea8dc4e8fda6aaff4e7001d198,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",30932.0,750718.0,31220.0,750445.0,-273.0,0.03987613741921958
osquery,2019-10-30 14:08:36.116000,"{osquery,afl,libfuzzer}","{04896c85cd14c7ea8dc4e8fda6aaff4e7001d198,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",2019-11-02 14:19:43.276000,"{osquery,afl,libfuzzer}","{91b7a5ba473ac94e09afa1a0691a0d99d50f504f,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,375507}",31220.0,750445.0,46108.0,750504.0,59.0,1.9834065485345063
