project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
ots,2019-03-13 13:39:36.045000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356047}",2019-03-14 13:37:25.274000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356140}",16206.0,18128.0,16207.0,18128.0,0.0,0.005516328331850673
ots,2019-03-14 13:37:25.274000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356140}",2019-03-15 13:37:17.717000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356259}",16207.0,18128.0,16207.0,18128.0,0.0,0.0
ots,2019-03-15 13:37:17.717000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356259}",2019-03-16 13:38:21.949000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356322}",16207.0,18128.0,16207.0,18128.0,0.0,0.0
ots,2019-03-16 13:38:21.949000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356322}",2019-03-17 13:37:27.841000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356330}",16207.0,18128.0,16207.0,18128.0,0.0,0.0
ots,2019-03-17 13:37:27.841000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356330}",2019-03-18 13:38:55.701000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356367}",16207.0,18128.0,16207.0,18128.0,0.0,0.0
ots,2019-03-18 13:38:55.701000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356367}",2019-03-19 13:37:24.322000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356452}",16207.0,18128.0,16207.0,18128.0,0.0,0.0
ots,2019-03-19 13:37:24.322000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356452}",2019-03-20 13:36:19.725000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356553}",16207.0,18128.0,16207.0,18128.0,0.0,0.0
ots,2019-03-20 13:36:19.725000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356553}",2019-03-21 13:37:54.008000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356663}",16207.0,18128.0,16207.0,18128.0,0.0,0.0
ots,2019-03-21 13:37:54.008000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356663}",2019-03-22 13:38:42.066000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356748}",16207.0,18128.0,16210.0,18128.0,0.0,0.01654898499559465
ots,2019-03-22 13:38:42.066000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356748}",2019-03-23 13:36:55.568000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356831}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-03-23 13:36:55.568000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356831}",2019-03-24 13:37:07.763000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356854}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-03-24 13:37:07.763000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356854}",2019-03-25 13:44:45.849000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356894}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-03-25 13:44:45.849000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,356894}",2019-04-01 13:38:04.040000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357383}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-01 13:38:04.040000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357383}",2019-04-02 15:23:05.056000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357480}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-02 15:23:05.056000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357480}",2019-04-03 13:34:02.959000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357578}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-03 13:34:02.959000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357578}",2019-04-04 13:35:26.956000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357691}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-04 13:35:26.956000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357691}",2019-04-05 13:36:15.731000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357760}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-05 13:36:15.731000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357760}",2019-04-06 13:34:32.910000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357838}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-06 13:34:32.910000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357838}",2019-04-07 13:34:15.695000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357864}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-07 13:34:15.695000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357864}",2019-04-08 13:34:12.095000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357910}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-08 13:34:12.095000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,357910}",2019-04-09 13:36:30.663000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358002}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-09 13:36:30.663000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358002}",2019-04-10 13:37:25.339000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358083}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-10 13:37:25.339000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358083}",2019-04-11 13:36:08.322000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358165}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-11 13:36:08.322000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358165}",2019-04-12 13:33:17.123000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358283}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-12 13:33:17.123000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358283}",2019-04-13 13:36:47.560000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358331}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-13 13:36:47.560000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358331}",2019-04-14 13:34:57.852000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358356}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-14 13:34:57.852000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358356}",2019-04-15 13:37:43.833000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358405}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-15 13:37:43.833000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358405}",2019-04-16 13:41:26.279000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358488}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-16 13:41:26.279000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358488}",2019-04-17 13:39:07.144000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358577}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-17 13:39:07.144000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358577}",2019-04-18 13:37:39.462000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358663}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-18 13:37:39.462000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358663}",2019-04-19 13:36:29.022000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358755}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-19 13:36:29.022000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358755}",2019-04-20 13:37:36.968000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358816}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-20 13:37:36.968000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358816}",2019-04-21 13:40:01.679000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358850}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-21 13:40:01.679000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358850}",2019-04-22 13:38:05.858000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358884}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-22 13:38:05.858000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358884}",2019-04-23 13:38:50.315000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358985}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-23 13:38:50.315000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,358985}",2019-04-24 13:38:48.550000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,359093}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-24 13:38:48.550000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,359093}",2019-04-25 13:39:19.622000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,359190}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
ots,2019-04-25 13:39:19.622000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,359190}",2019-04-26 13:35:47.071000,"{ots,libfuzzer}","{dc36d4d01591af224572ddf355e5a7fe44840b09,359305}",16210.0,18128.0,16210.0,18128.0,0.0,0.0
