project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
packaging,2023-01-25 06:05:04.066000,{packaging},{1b9da4420e9e23046dc095a3779f2607ae6e4d62},2023-01-26 06:38:46.576000,{packaging},{67bd518c5d7b206dd191275d784b605a191f19e4},3548.0,17322.0,3548.0,17322.0,0.0,0.0
packaging,2023-01-31 17:46:50.891000,{packaging},{67bd518c5d7b206dd191275d784b605a191f19e4},2023-02-01 06:03:25.700000,{packaging},{5d7f0200b4cedf74da1a28a5c32d219e4e5f5252},3548.0,17322.0,3548.0,17322.0,0.0,0.0
packaging,2023-02-01 06:03:25.700000,{packaging},{5d7f0200b4cedf74da1a28a5c32d219e4e5f5252},2023-02-01 18:11:35.909000,{packaging},{96d85be0e3d1d0f7fa42ce0cf41cdcce884fa8e0},3548.0,17322.0,3548.0,17322.0,0.0,0.0
packaging,2023-02-01 18:11:35.909000,{packaging},{96d85be0e3d1d0f7fa42ce0cf41cdcce884fa8e0},2023-02-02 06:10:20.410000,{packaging},{7722044f4b0f689eec8cb89afc8d3e4bb8e62908},3548.0,17322.0,3548.0,17322.0,0.0,0.0
packaging,2023-02-03 06:24:09.976000,{packaging},{7722044f4b0f689eec8cb89afc8d3e4bb8e62908},2023-02-04 06:05:33.852000,{packaging},{a6c9bc4dce968f7bfc05e4a93137f65ce4564be9},3548.0,17322.0,3543.0,17322.0,0.0,-0.028865027133122112
packaging,2023-02-06 06:16:26.050000,{packaging},{a6c9bc4dce968f7bfc05e4a93137f65ce4564be9},2023-02-07 05:34:45.974000,{packaging},{28c1a05d571d15a3c54c1dedc2ce0e503d486697},3543.0,17322.0,3543.0,17323.0,1.0,-0.0011807284088547476
packaging,2023-02-10 07:04:39.485000,{packaging},{28c1a05d571d15a3c54c1dedc2ce0e503d486697},2023-02-11 06:05:44.793000,{packaging},{7013a6048fe13f5c937de33179763100a57d7658},3544.0,17323.0,3544.0,17323.0,0.0,0.0
packaging,2023-02-13 06:14:22.900000,{packaging},{7013a6048fe13f5c937de33179763100a57d7658},2023-02-13 19:34:21.426000,{packaging},{5b34465682d40ddd42dd6cba88e158e1674de7b9},3544.0,17323.0,3544.0,17323.0,0.0,0.0
packaging,2023-04-12 06:53:14.013000,{packaging},{5b34465682d40ddd42dd6cba88e158e1674de7b9},2023-04-13 06:51:07.077000,{packaging},{55584fb5ca327ba38b74ca5c668125caaebd9a5d},737.0,2041.0,737.0,2041.0,0.0,0.0
packaging,2023-05-24 07:19:46.406000,{packaging},{55584fb5ca327ba38b74ca5c668125caaebd9a5d},2023-05-25 06:03:52.794000,{packaging},{1182c88819bde4bd4827fc8204d2d4e48c747b77},737.0,2041.0,737.0,2041.0,0.0,0.0
packaging,2023-05-31 07:01:38.699000,{packaging},{1182c88819bde4bd4827fc8204d2d4e48c747b77},2023-05-31 16:18:51.651000,{packaging},{63f4cfe679fb3d9322e56d8569207ecff4735238},737.0,2041.0,737.0,2041.0,0.0,0.0
packaging,2023-06-13 08:19:10.948000,{packaging},{63f4cfe679fb3d9322e56d8569207ecff4735238},2023-06-14 06:55:46.243000,{packaging},{fe8f0bb99c41c5e3a8c2395d4e849c1eff72949c},737.0,2041.0,737.0,2041.0,0.0,0.0
packaging,2023-06-16 07:44:16.416000,{packaging},{fe8f0bb99c41c5e3a8c2395d4e849c1eff72949c},2023-06-17 06:53:29.897000,{packaging},{f8893d4b06a3231896687b6c45625b7ae98c4993},737.0,2041.0,734.0,2042.0,1.0,-0.16459831053990115
packaging,2023-06-19 06:20:33.888000,{packaging},{f8893d4b06a3231896687b6c45625b7ae98c4993},2023-06-20 06:25:44.799000,{packaging},{2b389f3a1ae895d050e4afc5152877f2c100564a},734.0,2042.0,734.0,2042.0,0.0,0.0
packaging,2023-07-07 06:53:06.021000,{packaging},{2b389f3a1ae895d050e4afc5152877f2c100564a},2023-07-08 07:21:34.975000,{packaging},{2f80de7fd2a8bc199dadf5cf3f5f302a17084792},734.0,2042.0,734.0,2042.0,0.0,0.0
packaging,2023-07-14 07:17:11.838000,{packaging},{2f80de7fd2a8bc199dadf5cf3f5f302a17084792},2023-07-15 06:13:34.870000,{packaging},{1277904652c497ec84560a830a2e01d434358818},734.0,2042.0,734.0,2050.0,8.0,-0.14027376316858664
packaging,2023-07-26 06:37:03.915000,{packaging},{1277904652c497ec84560a830a2e01d434358818},2023-07-27 06:22:30.954000,{packaging},{3030822b0b06a43fbbb2710da7b0846d1bebd2ba},734.0,2050.0,734.0,2050.0,0.0,0.0
