project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
pcl,2021-03-19 10:43:52.070000,"{pcl,aflplusplus}","{ea4d0b62d184349dbf4c245d9e79c71d070ff9fe,94312796f936ba1830b61432a0f958e192dd212f}",2021-03-20 07:16:23.030000,"{pcl,aflplusplus}","{ea4d0b62d184349dbf4c245d9e79c71d070ff9fe,2102264acf5c271b7560a82771b3af8136af9354}",1032.0,3213.0,1100.0,3213.0,0.0,2.1164021164021207
pcl,2021-03-20 07:16:23.030000,"{pcl,aflplusplus}","{ea4d0b62d184349dbf4c245d9e79c71d070ff9fe,2102264acf5c271b7560a82771b3af8136af9354}",2021-03-21 08:43:17.808000,"{pcl,aflplusplus}","{6d19359dd79bf11c6c1551fa92bbca33e7f2362e,2102264acf5c271b7560a82771b3af8136af9354}",1100.0,3213.0,1194.0,3213.0,0.0,2.9256146903205718
pcl,2021-03-21 08:43:17.808000,"{pcl,aflplusplus}","{6d19359dd79bf11c6c1551fa92bbca33e7f2362e,2102264acf5c271b7560a82771b3af8136af9354}",2021-03-22 10:52:47.690000,"{pcl,aflplusplus}","{c45f29464331aca2259a2ba82ee9790d38963f66,2102264acf5c271b7560a82771b3af8136af9354}",1194.0,3213.0,1254.0,3213.0,0.0,1.867413632119515
pcl,2021-03-24 09:27:03.528000,"{pcl,aflplusplus}","{c45f29464331aca2259a2ba82ee9790d38963f66,2102264acf5c271b7560a82771b3af8136af9354}",2021-03-25 09:09:06.310000,"{pcl,aflplusplus}","{739afc3ac49c4d3a30d417d4edbe3648e6041692,2102264acf5c271b7560a82771b3af8136af9354}",1167.0,3213.0,1190.0,3213.0,0.0,0.7158418923124827
pcl,2021-03-25 09:09:06.310000,"{pcl,aflplusplus}","{739afc3ac49c4d3a30d417d4edbe3648e6041692,2102264acf5c271b7560a82771b3af8136af9354}",2021-03-26 07:50:36.093000,"{pcl,aflplusplus}","{0b39c0ef8a672508a12206aed3d27131b748500d,2102264acf5c271b7560a82771b3af8136af9354}",1190.0,3213.0,1176.0,3213.0,0.0,-0.43572984749455657
pcl,2021-03-26 07:50:36.093000,"{pcl,aflplusplus}","{0b39c0ef8a672508a12206aed3d27131b748500d,2102264acf5c271b7560a82771b3af8136af9354}",2021-03-27 09:47:11.797000,"{pcl,aflplusplus}","{97cb436308e240c34f49559ba3b89b6cdfc2e5ca,2102264acf5c271b7560a82771b3af8136af9354}",1176.0,3213.0,1164.0,3213.0,0.0,-0.37348272642390157
pcl,2021-03-28 10:25:47.765000,"{pcl,aflplusplus}","{97cb436308e240c34f49559ba3b89b6cdfc2e5ca,2102264acf5c271b7560a82771b3af8136af9354}",2021-03-29 06:14:32.851000,"{pcl,aflplusplus}","{0f8bee9e7c19b42f344e37cc42d2969f1c94bcf2,2102264acf5c271b7560a82771b3af8136af9354}",1177.0,3213.0,1203.0,3213.0,0.0,0.8092125739184581
pcl,2021-03-29 06:14:32.851000,"{pcl,aflplusplus}","{0f8bee9e7c19b42f344e37cc42d2969f1c94bcf2,2102264acf5c271b7560a82771b3af8136af9354}",2021-03-30 09:59:33.726000,"{pcl,aflplusplus}","{de7475762b60b342f0b91519bf01dc8fdc212fa5,2102264acf5c271b7560a82771b3af8136af9354}",1203.0,3213.0,1256.0,3213.0,0.0,1.6495487083722367
pcl,2021-04-02 06:35:50.578000,"{pcl,aflplusplus}","{de7475762b60b342f0b91519bf01dc8fdc212fa5,2102264acf5c271b7560a82771b3af8136af9354}",2021-04-03 06:43:27.566000,"{pcl,aflplusplus}","{7ca2d32e1d6630e821b939a323030fda13a146dd,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",1254.0,3213.0,1250.0,3213.0,0.0,-0.12449424214130289
pcl,2021-04-05 08:47:25.673000,"{pcl,aflplusplus}","{7ca2d32e1d6630e821b939a323030fda13a146dd,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",2021-04-06 08:31:26.924000,"{pcl,aflplusplus}","{09cf5b8d0dd1327b6d901a5dae92350847b58113,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",1165.0,3213.0,1181.0,3213.0,0.0,0.49797696856520446
