project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
phmap,2021-04-22 07:06:35.522000,"{parallel-hashmap,aflplusplus}","{50558ca3f71c2a19f839f4fa26ad034470f4f3c6,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",2021-04-23 10:34:41.938000,"{parallel-hashmap,aflplusplus}","{7684faf186806e2c88554a78188c18185b21f127,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",636.0,1206.0,636.0,1206.0,0.0,0.0
phmap,2021-04-30 10:13:55.653000,"{parallel-hashmap,aflplusplus}","{7684faf186806e2c88554a78188c18185b21f127,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",2021-05-01 06:10:42.330000,"{parallel-hashmap,aflplusplus}","{7684faf186806e2c88554a78188c18185b21f127,f4cc718fdc4571f56280a1efad3645125bee2154}",636.0,1206.0,636.0,1206.0,0.0,0.0
phmap,2021-05-05 08:49:45.441000,"{parallel-hashmap,aflplusplus}","{7684faf186806e2c88554a78188c18185b21f127,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-07 09:06:07.352000,"{parallel-hashmap,aflplusplus}","{f158416ea2c1dbe49c569ef0bc366c311fb2fc1a,f4cc718fdc4571f56280a1efad3645125bee2154}",636.0,1206.0,636.0,1203.0,-3.0,0.13151201597995055
phmap,2021-05-08 07:51:39.570000,"{parallel-hashmap,aflplusplus}","{f158416ea2c1dbe49c569ef0bc366c311fb2fc1a,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-09 09:27:07.186000,"{parallel-hashmap,aflplusplus}","{d704abced8ca347276372df68bd9bcf3ff855333,f4cc718fdc4571f56280a1efad3645125bee2154}",636.0,1203.0,636.0,1203.0,0.0,0.0
phmap,2021-05-12 10:00:32.459000,"{parallel-hashmap,aflplusplus}","{d704abced8ca347276372df68bd9bcf3ff855333,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-14 07:16:52.991000,"{parallel-hashmap,aflplusplus}","{ad6bc70996138c0ede0fae945cd60e0ffc598972,f4cc718fdc4571f56280a1efad3645125bee2154}",636.0,1203.0,642.0,1211.0,8.0,0.1462075611960998
phmap,2021-05-14 07:16:52.991000,"{parallel-hashmap,aflplusplus}","{ad6bc70996138c0ede0fae945cd60e0ffc598972,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-15 16:51:27.538000,"{parallel-hashmap,aflplusplus}","{a375755b92c5c1d2acec115741b96afaf2c5fdfd,f4cc718fdc4571f56280a1efad3645125bee2154}",642.0,1211.0,642.0,1211.0,0.0,0.0
phmap,2021-05-19 06:16:11.302000,"{parallel-hashmap,aflplusplus}","{a375755b92c5c1d2acec115741b96afaf2c5fdfd,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-20 06:09:14.583000,"{parallel-hashmap,aflplusplus}","{29fb30f929e8eb5a95d951c00b0aae9ff469f15f,f4cc718fdc4571f56280a1efad3645125bee2154}",642.0,1211.0,642.0,1211.0,0.0,0.0
phmap,2021-05-24 07:11:31.641000,"{parallel-hashmap,aflplusplus}","{29fb30f929e8eb5a95d951c00b0aae9ff469f15f,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-25 07:27:25.331000,"{parallel-hashmap,aflplusplus}","{29fb30f929e8eb5a95d951c00b0aae9ff469f15f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",642.0,1211.0,642.0,1211.0,0.0,0.0
phmap,2021-05-26 07:15:01.420000,"{parallel-hashmap,aflplusplus}","{29fb30f929e8eb5a95d951c00b0aae9ff469f15f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-05-27 08:13:32.510000,"{parallel-hashmap,aflplusplus}","{1f2671ff0a12710f19c92080693c857f918bda88,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",642.0,1211.0,642.0,1211.0,0.0,0.0
phmap,2021-06-14 10:28:32.802000,"{parallel-hashmap,aflplusplus}","{1f2671ff0a12710f19c92080693c857f918bda88,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-15 09:50:25.083000,"{parallel-hashmap,aflplusplus}","{1f2671ff0a12710f19c92080693c857f918bda88,ade8cdca55951958024c86766453430f904381c5}",642.0,1211.0,642.0,1211.0,0.0,0.0
