project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
plexus-utils,2022-09-21 06:09:05.538000,"{plexus-utils,centipede,aflplusplus}","{7f5114af7d0c4d19838a9e0082758ec0f5e0269e,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:05:35.134000,"{plexus-utils,centipede,aflplusplus}","{7f5114af7d0c4d19838a9e0082758ec0f5e0269e,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",1430.0,2203.0,1430.0,2203.0,0.0,0.0
plexus-utils,2022-10-10 06:41:54.026000,"{plexus-utils,centipede,aflplusplus}","{7f5114af7d0c4d19838a9e0082758ec0f5e0269e,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-11 06:29:32.516000,"{plexus-utils,centipede,aflplusplus}","{748933c5442ff13c9cca12bcdd88f64a209924ff,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",1485.0,2617.0,1485.0,2617.0,0.0,0.0
plexus-utils,2022-10-15 06:42:20.366000,"{plexus-utils,centipede,aflplusplus}","{748933c5442ff13c9cca12bcdd88f64a209924ff,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-16 06:04:58.827000,"{plexus-utils,centipede,aflplusplus}","{67ac243dbc6434c03a9b1582d94aef6bf2b5cf95,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",1485.0,2617.0,1485.0,2617.0,0.0,0.0
plexus-utils,2022-10-23 06:42:37.884000,"{plexus-utils,centipede,aflplusplus}","{67ac243dbc6434c03a9b1582d94aef6bf2b5cf95,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-24 06:08:57.098000,"{plexus-utils,centipede,aflplusplus}","{c4c3f3ecdfac8d90b8940a13cb3db9d8346c313d,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",1485.0,2617.0,1485.0,2617.0,0.0,0.0
plexus-utils,2022-10-25 19:57:08.341000,"{plexus-utils,centipede,aflplusplus}","{c4c3f3ecdfac8d90b8940a13cb3db9d8346c313d,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-26 06:05:13.837000,"{plexus-utils,centipede,aflplusplus}","{7f7929f6ec70228968c4ba1159777827c15cdd7e,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",1488.0,2617.0,1485.0,2617.0,0.0,-0.11463507833396847
plexus-utils,2022-10-26 20:13:10.432000,"{plexus-utils,centipede,aflplusplus}","{7f7929f6ec70228968c4ba1159777827c15cdd7e,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:11:50.224000,"{plexus-utils,centipede}","{7f7929f6ec70228968c4ba1159777827c15cdd7e,baa82e7189677bb9086beb5d9b5e58018d991607}",1485.0,2617.0,1485.0,2617.0,0.0,0.0
plexus-utils,2022-11-16 06:34:11.786000,"{plexus-utils,centipede}","{7f7929f6ec70228968c4ba1159777827c15cdd7e,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-18 06:17:09.914000,{plexus-utils},{7f7929f6ec70228968c4ba1159777827c15cdd7e},1487.0,2617.0,1487.0,2617.0,0.0,0.0
plexus-utils,2022-12-30 06:23:52.392000,{plexus-utils},{7f7929f6ec70228968c4ba1159777827c15cdd7e},2023-01-03 06:31:50.042000,{plexus-utils},{6288353e08b999ff16b7cf8ab09625f4e17b1b98},1486.0,2617.0,1510.0,2617.0,0.0,0.9170806266717619
plexus-utils,2023-01-14 06:25:49.400000,{plexus-utils},{6288353e08b999ff16b7cf8ab09625f4e17b1b98},2023-01-15 06:38:00.089000,{plexus-utils},{c41544820537cc0ab39791f65baa1cb518a33879},1506.0,2617.0,1504.0,2617.0,0.0,-0.07642338555597661
plexus-utils,2023-01-21 06:29:03.949000,{plexus-utils},{c41544820537cc0ab39791f65baa1cb518a33879},2023-01-22 06:03:55.838000,{plexus-utils},{4f333f2691873e5ba024991a03390a4e773511e9},1510.0,2617.0,1510.0,2617.0,0.0,0.0
