project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
poppler,2019-03-13 13:50:09.640000,"{freetype2,poppler,libfuzzer}","{4e64d9d3daa6356da8ad30b8303402f7dd4a30d2,12d4c8a46dd7b37bdc475d88d81ec5eecae48627,356047}",2019-03-14 13:49:54.388000,"{freetype2,poppler,libfuzzer}","{4e64d9d3daa6356da8ad30b8303402f7dd4a30d2,12d4c8a46dd7b37bdc475d88d81ec5eecae48627,356142}",70524.0,150667.0,70524.0,150667.0,0.0,0.0
poppler,2019-03-14 13:49:54.388000,"{freetype2,poppler,libfuzzer}","{4e64d9d3daa6356da8ad30b8303402f7dd4a30d2,12d4c8a46dd7b37bdc475d88d81ec5eecae48627,356142}",2019-03-15 13:50:51.305000,"{freetype2,poppler,libfuzzer}","{fbbcf50367403a6316a013b51690071198962920,12d4c8a46dd7b37bdc475d88d81ec5eecae48627,356259}",70524.0,150667.0,70524.0,150663.0,-4.0,0.0012427168195188187
poppler,2019-03-15 13:50:51.305000,"{freetype2,poppler,libfuzzer}","{fbbcf50367403a6316a013b51690071198962920,12d4c8a46dd7b37bdc475d88d81ec5eecae48627,356259}",2019-03-16 13:48:31.249000,"{freetype2,poppler,libfuzzer}","{fbbcf50367403a6316a013b51690071198962920,45c6c323fd577a96bb1bf0a53e1d1e5562932fad,356322}",70524.0,150663.0,70526.0,150736.0,73.0,-0.02134237723291932
poppler,2019-03-16 13:48:31.249000,"{freetype2,poppler,libfuzzer}","{fbbcf50367403a6316a013b51690071198962920,45c6c323fd577a96bb1bf0a53e1d1e5562932fad,356322}",2019-03-17 13:48:58.664000,"{freetype2,poppler,libfuzzer}","{fbbcf50367403a6316a013b51690071198962920,45c6c323fd577a96bb1bf0a53e1d1e5562932fad,356330}",70526.0,150736.0,70526.0,150736.0,0.0,0.0
poppler,2019-03-17 13:48:58.664000,"{freetype2,poppler,libfuzzer}","{fbbcf50367403a6316a013b51690071198962920,45c6c323fd577a96bb1bf0a53e1d1e5562932fad,356330}",2019-03-18 13:50:11.495000,"{freetype2,poppler,libfuzzer}","{fbbcf50367403a6316a013b51690071198962920,fada09a2ccc11a3a1d308e810f1336d8df6011fd,356367}",70526.0,150736.0,70526.0,150736.0,0.0,0.0
poppler,2019-03-18 13:50:11.495000,"{freetype2,poppler,libfuzzer}","{fbbcf50367403a6316a013b51690071198962920,fada09a2ccc11a3a1d308e810f1336d8df6011fd,356367}",2019-03-19 13:47:58.944000,"{freetype2,poppler,libfuzzer}","{dde03eec37579ef86ca6a9e04bf290bc85f785ad,fada09a2ccc11a3a1d308e810f1336d8df6011fd,356452}",70526.0,150736.0,70526.0,150736.0,0.0,0.0
poppler,2019-03-19 13:47:58.944000,"{freetype2,poppler,libfuzzer}","{dde03eec37579ef86ca6a9e04bf290bc85f785ad,fada09a2ccc11a3a1d308e810f1336d8df6011fd,356452}",2019-03-20 13:46:58.705000,"{freetype2,poppler,libfuzzer}","{df266d3e6b657c6220ae1a13b516f03d1a307d21,333bf1757bc68ce342ca708b881c75914a7c463a,356553}",70526.0,150736.0,70526.0,150736.0,0.0,0.0
poppler,2019-03-20 13:46:58.705000,"{freetype2,poppler,libfuzzer}","{df266d3e6b657c6220ae1a13b516f03d1a307d21,333bf1757bc68ce342ca708b881c75914a7c463a,356553}",2019-03-21 13:48:07.674000,"{freetype2,poppler,libfuzzer}","{fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,e68916fca85e497d73327625d72fcf8879ed67b2,356663}",70526.0,150736.0,70526.0,150736.0,0.0,0.0
poppler,2019-03-21 13:48:07.674000,"{freetype2,poppler,libfuzzer}","{fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,e68916fca85e497d73327625d72fcf8879ed67b2,356663}",2019-03-22 13:49:34.253000,"{freetype2,poppler,libfuzzer}","{fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,c317087a9e5db4f6441b4e399837d5b9afbe46a0,356748}",70526.0,150736.0,70540.0,150810.0,74.0,-0.013674785109913046
poppler,2019-03-22 13:49:34.253000,"{freetype2,poppler,libfuzzer}","{fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,c317087a9e5db4f6441b4e399837d5b9afbe46a0,356748}",2019-03-23 13:48:54.291000,"{freetype2,poppler,libfuzzer}","{fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,732bc31dcc7aa7fda42e4dbaa8a17f0d39125156,356831}",70540.0,150810.0,70540.0,150810.0,0.0,0.0
poppler,2019-03-23 13:48:54.291000,"{freetype2,poppler,libfuzzer}","{fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,732bc31dcc7aa7fda42e4dbaa8a17f0d39125156,356831}",2019-03-24 13:47:46.066000,"{freetype2,poppler,libfuzzer}","{fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,732bc31dcc7aa7fda42e4dbaa8a17f0d39125156,356854}",70540.0,150810.0,70537.0,150810.0,0.0,-0.0019892580067661925
poppler,2019-03-24 13:47:46.066000,"{freetype2,poppler,libfuzzer}","{fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,732bc31dcc7aa7fda42e4dbaa8a17f0d39125156,356854}",2019-03-25 13:54:01.516000,"{freetype2,poppler,libfuzzer}","{fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,2b5cccbafc79d561811906dfa5bc288aa9478b10,356894}",70537.0,150810.0,70538.0,150814.0,4.0,-0.0005774556033557587
poppler,2019-03-25 13:54:01.516000,"{freetype2,poppler,libfuzzer}","{fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,2b5cccbafc79d561811906dfa5bc288aa9478b10,356894}",2019-04-01 13:49:43.135000,"{freetype2,poppler,libfuzzer}","{6986ddac1ece9404c9b640a512cbd99534205fda,ea12ae67be12883e4626b34db8f2f849fb6d56d7,357383}",70538.0,150814.0,70556.0,150812.0,-2.0,0.012555652333837486
