project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
postfix,2021-11-11 11:04:16.248000,"{postfix,aflplusplus}","{838ddaeedb5b73d713e17b36a09733257313abdf,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-12 09:04:24.192000,"{postfix,aflplusplus}","{838ddaeedb5b73d713e17b36a09733257313abdf,533e979010ca338df6fc415d87668f8187752915}",766.0,2065.0,766.0,2065.0,0.0,0.0
postfix,2021-11-17 06:47:21.831000,"{postfix,aflplusplus}","{838ddaeedb5b73d713e17b36a09733257313abdf,533e979010ca338df6fc415d87668f8187752915}",2021-11-18 06:03:43.822000,"{postfix,aflplusplus}","{838ddaeedb5b73d713e17b36a09733257313abdf,132630d48d0f9fe50e9388f941433c85636587da}",766.0,2065.0,766.0,2065.0,0.0,0.0
postfix,2021-11-18 06:03:43.822000,"{postfix,aflplusplus}","{838ddaeedb5b73d713e17b36a09733257313abdf,132630d48d0f9fe50e9388f941433c85636587da}",2021-11-19 09:38:34.628000,"{postfix,aflplusplus}","{7961094a615b113d5fb55a11f0f8b9392115cd89,132630d48d0f9fe50e9388f941433c85636587da}",766.0,2065.0,766.0,2065.0,0.0,0.0
postfix,2021-11-19 09:38:34.628000,"{postfix,aflplusplus}","{7961094a615b113d5fb55a11f0f8b9392115cd89,132630d48d0f9fe50e9388f941433c85636587da}",2021-11-20 07:12:22.988000,"{postfix,aflplusplus}","{7961094a615b113d5fb55a11f0f8b9392115cd89,7777045c09c404b1274c930788317525fedb43ad}",766.0,2065.0,766.0,2065.0,0.0,0.0
postfix,2021-11-22 07:39:50.089000,"{postfix,aflplusplus}","{7961094a615b113d5fb55a11f0f8b9392115cd89,7777045c09c404b1274c930788317525fedb43ad}",2021-11-23 12:19:37.322000,"{postfix,aflplusplus}","{7961094a615b113d5fb55a11f0f8b9392115cd89,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",766.0,2065.0,766.0,2065.0,0.0,0.0
postfix,2021-11-28 06:06:27.462000,"{postfix,aflplusplus}","{7961094a615b113d5fb55a11f0f8b9392115cd89,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",2021-11-29 06:49:44.175000,"{postfix,aflplusplus}","{c4754532ffd9bdcb9a0ccb67973cbe93412807fb,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",933.0,10588.0,933.0,10588.0,0.0,0.0
postfix,2021-11-30 09:06:11.434000,"{postfix,aflplusplus}","{c4754532ffd9bdcb9a0ccb67973cbe93412807fb,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",2021-12-01 07:26:05.518000,"{postfix,aflplusplus}","{c4754532ffd9bdcb9a0ccb67973cbe93412807fb,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",933.0,10588.0,933.0,10588.0,0.0,0.0
postfix,2021-12-06 07:08:42.834000,"{postfix,aflplusplus}","{c4754532ffd9bdcb9a0ccb67973cbe93412807fb,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",2021-12-07 06:27:19.952000,"{postfix,aflplusplus}","{19f147bd656ba5ff6e598cf5161ca41511c3592e,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",933.0,10588.0,933.0,10588.0,0.0,0.0
postfix,2021-12-14 09:46:38.153000,"{postfix,aflplusplus}","{19f147bd656ba5ff6e598cf5161ca41511c3592e,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",2021-12-15 07:53:57.991000,"{postfix,aflplusplus}","{19f147bd656ba5ff6e598cf5161ca41511c3592e,52dd5d479d411460c8cf2010a89f72e269d799ea}",933.0,10588.0,933.0,10588.0,0.0,0.0
postfix,2021-12-15 07:53:57.991000,"{postfix,aflplusplus}","{19f147bd656ba5ff6e598cf5161ca41511c3592e,52dd5d479d411460c8cf2010a89f72e269d799ea}",2021-12-16 08:48:06.087000,"{postfix,aflplusplus}","{19f147bd656ba5ff6e598cf5161ca41511c3592e,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",933.0,10588.0,933.0,10588.0,0.0,0.0
postfix,2022-01-11 06:30:42.341000,"{postfix,aflplusplus}","{19f147bd656ba5ff6e598cf5161ca41511c3592e,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",2022-01-12 07:26:50.691000,"{postfix,aflplusplus}","{19f147bd656ba5ff6e598cf5161ca41511c3592e,ef77d552e9b89852b293c300a5a9a9c617945f43}",933.0,10588.0,933.0,10588.0,0.0,0.0
postfix,2022-01-18 11:51:23.333000,"{postfix,aflplusplus}","{19f147bd656ba5ff6e598cf5161ca41511c3592e,ef77d552e9b89852b293c300a5a9a9c617945f43}",2022-01-19 09:03:23.346000,"{postfix,aflplusplus}","{6591f53f93471b84f3120a277153ea68148c446d,c5117b42cab9f47448a7f3cfe3edae6708d32528}",933.0,10588.0,933.0,10621.0,33.0,-0.02737891554773597
postfix,2022-01-19 09:03:23.346000,"{postfix,aflplusplus}","{6591f53f93471b84f3120a277153ea68148c446d,c5117b42cab9f47448a7f3cfe3edae6708d32528}",2022-01-20 12:49:31.925000,"{postfix,fuzz-introspector,aflplusplus}","{6591f53f93471b84f3120a277153ea68148c446d,9e3393cd551b65a6bf2de6495013b415f315f74e,c5117b42cab9f47448a7f3cfe3edae6708d32528}",933.0,10621.0,933.0,10621.0,0.0,0.0
postfix,2022-01-20 12:49:31.925000,"{postfix,fuzz-introspector,aflplusplus}","{6591f53f93471b84f3120a277153ea68148c446d,9e3393cd551b65a6bf2de6495013b415f315f74e,c5117b42cab9f47448a7f3cfe3edae6708d32528}",2022-01-21 09:50:21.136000,"{postfix,fuzz-introspector,aflplusplus}","{6591f53f93471b84f3120a277153ea68148c446d,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",933.0,10621.0,933.0,10621.0,0.0,0.0
postfix,2022-01-22 06:32:15.159000,"{postfix,fuzz-introspector,aflplusplus}","{6591f53f93471b84f3120a277153ea68148c446d,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",2022-01-23 11:58:15.892000,"{postfix,fuzz-introspector,aflplusplus}","{38110d57f6c9550620169721da89077dd5aaa3fc,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",933.0,10621.0,933.0,10621.0,0.0,0.0
