project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
postgis,2019-08-20 14:37:25.498000,"{postgis,libfuzzer}","{022fd64774a5b016bb2d3c8bfbc432d82f277632,369388}",2019-08-21 14:40:34.657000,"{postgis,libfuzzer}","{4470155741015d847fb211650d81ab019c2b52af,369531}",3582.0,25924.0,3582.0,25920.0,-4.0,0.0021323012566654143
postgis,2019-08-21 14:40:34.657000,"{postgis,libfuzzer}","{4470155741015d847fb211650d81ab019c2b52af,369531}",2019-08-22 14:40:06.756000,"{postgis,libfuzzer}","{575c221d2837b90dcaffa75875ff69dbbd0971c2,369655}",3582.0,25920.0,4304.0,25936.0,16.0,2.775250188498182
postgis,2019-08-22 14:40:06.756000,"{postgis,libfuzzer}","{575c221d2837b90dcaffa75875ff69dbbd0971c2,369655}",2019-08-23 14:37:26.923000,"{postgis,libfuzzer}","{67ddac2919fdfb9d730746499bf4ab278d937c58,369761}",4304.0,25936.0,4304.0,25988.0,52.0,-0.033204714518738854
postgis,2019-08-23 14:37:26.923000,"{postgis,libfuzzer}","{67ddac2919fdfb9d730746499bf4ab278d937c58,369761}",2019-08-24 14:29:05.314000,"{postgis,libfuzzer}","{7bab445476440f30c9a06996a9bd4d3c762e790e,369846}",4304.0,25988.0,4307.0,25988.0,0.0,0.011543789441279984
postgis,2019-08-24 14:29:05.314000,"{postgis,libfuzzer}","{7bab445476440f30c9a06996a9bd4d3c762e790e,369846}",2019-08-25 14:29:14.200000,"{postgis,libfuzzer}","{7bab445476440f30c9a06996a9bd4d3c762e790e,369867}",4307.0,25988.0,4307.0,25988.0,0.0,0.0
postgis,2019-08-25 14:29:14.200000,"{postgis,libfuzzer}","{7bab445476440f30c9a06996a9bd4d3c762e790e,369867}",2019-08-26 14:38:47.822000,"{postgis,libfuzzer}","{c363fa2b42072cc05ad214abd008657c060e14ca,369911}",4307.0,25988.0,4307.0,25988.0,0.0,0.0
postgis,2019-08-26 14:38:47.822000,"{postgis,libfuzzer}","{c363fa2b42072cc05ad214abd008657c060e14ca,369911}",2019-08-27 14:43:09.033000,"{postgis,libfuzzer}","{9a40dcb640fb93067a843cdd5d655d7079a4f496,370067}",4307.0,25988.0,4307.0,25988.0,0.0,0.0
postgis,2019-08-27 14:43:09.033000,"{postgis,libfuzzer}","{9a40dcb640fb93067a843cdd5d655d7079a4f496,370067}",2019-08-28 14:31:43.492000,"{postgis,afl,libfuzzer}","{baab631a4de1f5ff532d2b303c61b323ded2416b,e9be6bce2282e8db95221c9a17fd10aba9e901bc,370210}",4307.0,25988.0,4307.0,25988.0,0.0,0.0
postgis,2019-08-28 14:31:43.492000,"{postgis,afl,libfuzzer}","{baab631a4de1f5ff532d2b303c61b323ded2416b,e9be6bce2282e8db95221c9a17fd10aba9e901bc,370210}",2019-08-29 14:31:40.712000,"{postgis,afl,libfuzzer}","{9faea6ee94f585b15f03666cfb66275184505f2f,e9be6bce2282e8db95221c9a17fd10aba9e901bc,370364}",4307.0,25988.0,4307.0,25988.0,0.0,0.0
postgis,2019-08-29 14:31:40.712000,"{postgis,afl,libfuzzer}","{9faea6ee94f585b15f03666cfb66275184505f2f,e9be6bce2282e8db95221c9a17fd10aba9e901bc,370364}",2019-08-30 14:32:31.547000,"{postgis,afl,libfuzzer}","{09b22f54ef41f659bbd1d141da47ab44c02ab8e4,e9be6bce2282e8db95221c9a17fd10aba9e901bc,370475}",4307.0,25988.0,4307.0,25988.0,0.0,0.0
