project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
powerdns,2019-03-13 13:51:13.183000,"{pdns,libfuzzer}","{3b26211d7dde337f35da2120a8024ce41dead2c3,356048}",2019-03-14 13:50:06.080000,"{pdns,libfuzzer}","{dadc1fec0f1c80b7609f43db8fc47ee2ee28364f,356145}",1787.0,10455.0,1787.0,10455.0,0.0,0.0
powerdns,2019-03-14 13:50:06.080000,"{pdns,libfuzzer}","{dadc1fec0f1c80b7609f43db8fc47ee2ee28364f,356145}",2019-03-15 13:49:38.477000,"{pdns,libfuzzer}","{7d9bae800dd0eb03c6fbcecaa1de62603f632cd5,356259}",1787.0,10455.0,1787.0,10455.0,0.0,0.0
powerdns,2019-03-15 13:49:38.477000,"{pdns,libfuzzer}","{7d9bae800dd0eb03c6fbcecaa1de62603f632cd5,356259}",2019-03-16 13:48:19.134000,"{pdns,libfuzzer}","{3b1a5987c2ccc6e917e849129fe3f07e914babdd,356322}",1787.0,10455.0,1787.0,10455.0,0.0,0.0
powerdns,2019-03-16 13:48:19.134000,"{pdns,libfuzzer}","{3b1a5987c2ccc6e917e849129fe3f07e914babdd,356322}",2019-03-17 13:48:38.628000,"{pdns,libfuzzer}","{3b1a5987c2ccc6e917e849129fe3f07e914babdd,356330}",1787.0,10455.0,1787.0,10455.0,0.0,0.0
powerdns,2019-03-17 13:48:38.628000,"{pdns,libfuzzer}","{3b1a5987c2ccc6e917e849129fe3f07e914babdd,356330}",2019-03-18 13:51:07.380000,"{pdns,libfuzzer}","{acaa0761460478d6f58c47a5f327a4504e827b44,356367}",1787.0,10455.0,1787.0,10455.0,0.0,0.0
powerdns,2019-03-18 13:51:07.380000,"{pdns,libfuzzer}","{acaa0761460478d6f58c47a5f327a4504e827b44,356367}",2019-03-19 13:47:29.189000,"{pdns,libfuzzer}","{f607e5ba00d7d1842e2d48048f3c24912e2d8e4b,356453}",1787.0,10455.0,1787.0,10465.0,10.0,-0.016332824017933234
powerdns,2019-03-19 13:47:29.189000,"{pdns,libfuzzer}","{f607e5ba00d7d1842e2d48048f3c24912e2d8e4b,356453}",2019-03-20 13:47:51.459000,"{pdns,libfuzzer}","{68f348bd8534ac8beb1029f63c5974824c72ecc7,356553}",1787.0,10465.0,1861.0,10509.0,44.0,0.6326631867472621
powerdns,2019-03-20 13:47:51.459000,"{pdns,libfuzzer}","{68f348bd8534ac8beb1029f63c5974824c72ecc7,356553}",2019-03-21 13:49:07.896000,"{pdns,libfuzzer}","{68f348bd8534ac8beb1029f63c5974824c72ecc7,356664}",1861.0,10509.0,1861.0,10509.0,0.0,0.0
powerdns,2019-03-21 13:49:07.896000,"{pdns,libfuzzer}","{68f348bd8534ac8beb1029f63c5974824c72ecc7,356664}",2019-03-22 13:49:31.141000,"{pdns,libfuzzer}","{68f348bd8534ac8beb1029f63c5974824c72ecc7,356750}",1861.0,10509.0,1861.0,10509.0,0.0,0.0
powerdns,2019-03-22 13:49:31.141000,"{pdns,libfuzzer}","{68f348bd8534ac8beb1029f63c5974824c72ecc7,356750}",2019-03-23 13:48:13.281000,"{pdns,libfuzzer}","{83437230d9f4f9ee37a7b8d8f94fbb04e7f20a58,356832}",1861.0,10509.0,1861.0,10509.0,0.0,0.0
powerdns,2019-03-23 13:48:13.281000,"{pdns,libfuzzer}","{83437230d9f4f9ee37a7b8d8f94fbb04e7f20a58,356832}",2019-03-24 13:48:51.129000,"{pdns,libfuzzer}","{83437230d9f4f9ee37a7b8d8f94fbb04e7f20a58,356854}",1861.0,10509.0,1861.0,10509.0,0.0,0.0
powerdns,2019-03-24 13:48:51.129000,"{pdns,libfuzzer}","{83437230d9f4f9ee37a7b8d8f94fbb04e7f20a58,356854}",2019-03-25 13:56:39.383000,"{pdns,libfuzzer}","{bc0aec951716bfa6b0a79343cd0370638524a041,356895}",1861.0,10509.0,1861.0,10509.0,0.0,0.0
