project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
proj4,2019-03-13 14:10:42.290000,"{proj.4,libfuzzer}","{5dc01e985e86b441ba2a671b712d3b211c8a2b33,356050}",2019-03-14 14:08:01.513000,"{proj.4,libfuzzer}","{5dc01e985e86b441ba2a671b712d3b211c8a2b33,356146}",24185.0,53325.0,24185.0,53325.0,0.0,0.0
proj4,2019-03-14 14:08:01.513000,"{proj.4,libfuzzer}","{5dc01e985e86b441ba2a671b712d3b211c8a2b33,356146}",2019-03-15 14:06:23.844000,"{proj.4,libfuzzer}","{3cce54767afe77412b850d2d88ee168370570b6f,356263}",24185.0,53325.0,24168.0,53349.0,24.0,-0.052268928702609685
proj4,2019-03-15 14:06:23.844000,"{proj.4,libfuzzer}","{3cce54767afe77412b850d2d88ee168370570b6f,356263}",2019-03-16 14:05:13.033000,"{proj.4,libfuzzer}","{eab22791b80615e3ad77040423f70205cd7a061d,356323}",24168.0,53349.0,24168.0,53350.0,1.0,-0.0008491413800868486
proj4,2019-03-16 14:05:13.033000,"{proj.4,libfuzzer}","{eab22791b80615e3ad77040423f70205cd7a061d,356323}",2019-03-17 14:04:41.124000,"{proj.4,libfuzzer}","{8cf492acb3840eff5064a2da421c143e1fd1646c,356331}",24168.0,53350.0,24202.0,53547.0,197.0,-0.10316667911970967
proj4,2019-03-17 14:04:41.124000,"{proj.4,libfuzzer}","{8cf492acb3840eff5064a2da421c143e1fd1646c,356331}",2019-03-18 14:09:21.090000,"{proj.4,libfuzzer}","{4b99c3b47e76afdeda2425e39ff53fed0f12b679,356368}",24202.0,53547.0,24202.0,53537.0,-10.0,0.008442325271737161
proj4,2019-03-18 14:09:21.090000,"{proj.4,libfuzzer}","{4b99c3b47e76afdeda2425e39ff53fed0f12b679,356368}",2019-03-19 14:07:07.700000,"{proj.4,libfuzzer}","{9ead1bfe5afd7e519fe5f83b6603e5147fa91411,356455}",24202.0,53537.0,24210.0,53568.0,31.0,-0.011226659444247389
proj4,2019-03-19 14:07:07.700000,"{proj.4,libfuzzer}","{9ead1bfe5afd7e519fe5f83b6603e5147fa91411,356455}",2019-03-20 14:04:06.584000,"{proj.4,libfuzzer}","{9ead1bfe5afd7e519fe5f83b6603e5147fa91411,356554}",24210.0,53568.0,24210.0,53568.0,0.0,0.0
proj4,2019-03-20 14:04:06.584000,"{proj.4,libfuzzer}","{9ead1bfe5afd7e519fe5f83b6603e5147fa91411,356554}",2019-03-21 14:07:23.068000,"{proj.4,libfuzzer}","{bf14355080cf7d8cf7e4b3342263ae7f22660e58,356665}",24210.0,53568.0,24246.0,53616.0,48.0,0.026683175941698778
proj4,2019-03-21 14:07:23.068000,"{proj.4,libfuzzer}","{bf14355080cf7d8cf7e4b3342263ae7f22660e58,356665}",2019-03-22 14:08:49.586000,"{proj.4,libfuzzer}","{32197a2e1d5dfa80838f6982787e957b643ff9d6,356751}",24246.0,53616.0,24248.0,53616.0,0.0,0.0037302297821568686
proj4,2019-03-22 14:08:49.586000,"{proj.4,libfuzzer}","{32197a2e1d5dfa80838f6982787e957b643ff9d6,356751}",2019-03-23 14:05:18.443000,"{proj.4,libfuzzer}","{5001cd25931706dfc6f1ad6afb35c8da13bf412d,356832}",24248.0,53616.0,24254.0,53617.0,1.0,0.010346992448688752
proj4,2019-03-23 14:05:18.443000,"{proj.4,libfuzzer}","{5001cd25931706dfc6f1ad6afb35c8da13bf412d,356832}",2019-03-24 14:04:47.462000,"{proj.4,libfuzzer}","{4f787973563fba4a4508340e6544f5c3c349570d,356855}",24254.0,53617.0,24235.0,53621.0,4.0,-0.03880835141988115
proj4,2019-03-24 14:04:47.462000,"{proj.4,libfuzzer}","{4f787973563fba4a4508340e6544f5c3c349570d,356855}",2019-03-25 14:15:28.098000,"{proj.4,libfuzzer}","{66774791d16d1b197911e595aaaceb9690c8ca14,356898}",24235.0,53621.0,24758.0,53698.0,77.0,0.9091557036010656
proj4,2019-03-25 14:15:28.098000,"{proj.4,libfuzzer}","{66774791d16d1b197911e595aaaceb9690c8ca14,356898}",2019-04-01 14:10:30.537000,"{proj.4,libfuzzer}","{54b21b1e97f149dce43a9199d13e421f24b6984e,357386}",24758.0,53698.0,35049.0,54125.0,427.0,18.649657975142304
proj4,2019-04-01 14:10:30.537000,"{proj.4,libfuzzer}","{54b21b1e97f149dce43a9199d13e421f24b6984e,357386}",2019-04-03 14:06:50.938000,"{proj.4,libfuzzer}","{1e2e512f9a671df504f6f01eee53dc26939b3c0a,357581}",35049.0,54125.0,35170.0,54156.0,31.0,0.18636115288875033
proj4,2019-04-03 14:06:50.938000,"{proj.4,libfuzzer}","{1e2e512f9a671df504f6f01eee53dc26939b3c0a,357581}",2019-04-04 14:08:50.283000,"{proj.4,libfuzzer}","{1e2e512f9a671df504f6f01eee53dc26939b3c0a,357694}",35170.0,54156.0,35176.0,54156.0,0.0,0.011079104808331408
proj4,2019-04-04 14:08:50.283000,"{proj.4,libfuzzer}","{1e2e512f9a671df504f6f01eee53dc26939b3c0a,357694}",2019-04-05 14:11:55.636000,"{proj.4,libfuzzer}","{0ea2b4e82700ba9aa0ae67ec0ee72ae58bc4f0c9,357764}",35176.0,54156.0,35169.0,54168.0,12.0,-0.02731201413151041
proj4,2019-04-05 14:11:55.636000,"{proj.4,libfuzzer}","{0ea2b4e82700ba9aa0ae67ec0ee72ae58bc4f0c9,357764}",2019-04-06 14:08:10.374000,"{proj.4,libfuzzer}","{89e5fe47cf695579cfec82907d8ba5abbd22ec86,357839}",35169.0,54168.0,35172.0,54169.0,1.0,0.004339644696372602
proj4,2019-04-06 14:08:10.374000,"{proj.4,libfuzzer}","{89e5fe47cf695579cfec82907d8ba5abbd22ec86,357839}",2019-04-07 14:05:56.117000,"{proj.4,libfuzzer}","{89e5fe47cf695579cfec82907d8ba5abbd22ec86,357866}",35172.0,54169.0,35174.0,54169.0,0.0,0.00369214864591072
proj4,2019-04-07 14:05:56.117000,"{proj.4,libfuzzer}","{89e5fe47cf695579cfec82907d8ba5abbd22ec86,357866}",2019-04-08 14:08:08.078000,"{proj.4,libfuzzer}","{5bd39cb3982abda85e04dccae82ca26523e7541b,357913}",35174.0,54169.0,35288.0,54169.0,0.0,0.21045247281654156
proj4,2019-04-08 14:08:08.078000,"{proj.4,libfuzzer}","{5bd39cb3982abda85e04dccae82ca26523e7541b,357913}",2019-04-09 14:13:33.245000,"{proj.4,libfuzzer}","{f0399c63d8b39fe7b6f9cf2ca562b6d5f2939549,358004}",35288.0,54169.0,35341.0,54169.0,0.0,0.09784193911647776
proj4,2019-04-09 14:13:33.245000,"{proj.4,libfuzzer}","{f0399c63d8b39fe7b6f9cf2ca562b6d5f2939549,358004}",2019-04-10 14:14:10.174000,"{proj.4,libfuzzer}","{fb125618fd18f112ed6f37662b021d07a602ff90,358083}",35341.0,54169.0,35365.0,54169.0,0.0,0.044305783750857586
proj4,2019-04-10 14:14:10.174000,"{proj.4,libfuzzer}","{fb125618fd18f112ed6f37662b021d07a602ff90,358083}",2019-04-11 14:13:28.538000,"{proj.4,libfuzzer}","{2117c151d62cd0267068075b9e7cf7cc0d404a63,358167}",35365.0,54169.0,35369.0,54178.0,9.0,-0.0034622497301768362
proj4,2019-04-11 14:13:28.538000,"{proj.4,libfuzzer}","{2117c151d62cd0267068075b9e7cf7cc0d404a63,358167}",2019-04-12 14:10:57.750000,"{proj.4,libfuzzer}","{2117c151d62cd0267068075b9e7cf7cc0d404a63,358284}",35369.0,54178.0,35369.0,54178.0,0.0,0.0
proj4,2019-04-12 14:10:57.750000,"{proj.4,libfuzzer}","{2117c151d62cd0267068075b9e7cf7cc0d404a63,358284}",2019-04-13 14:16:28.346000,"{proj.4,libfuzzer}","{a6bb3c4f1b8cb6aabbb01b10f07821c1ea8f9fee,358332}",35369.0,54178.0,35372.0,54188.0,10.0,-0.006511212109955977
proj4,2019-04-13 14:16:28.346000,"{proj.4,libfuzzer}","{a6bb3c4f1b8cb6aabbb01b10f07821c1ea8f9fee,358332}",2019-04-14 14:08:21.293000,"{proj.4,libfuzzer}","{a6bb3c4f1b8cb6aabbb01b10f07821c1ea8f9fee,358357}",35372.0,54188.0,35383.0,54188.0,0.0,0.020299697349969392
