project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
proxygen,2019-09-21 14:59:39.534000,"{proxygen,afl,libfuzzer}","{fff716ec560fcd051bad1932759626f60dd8a8ee,1f414d53535ea470bba3858bc1324081baf22c75,372470}",2019-09-23 14:59:42.306000,"{proxygen,afl,libfuzzer}","{fb645ee16a001db734551456318896fe7f33f289,1f414d53535ea470bba3858bc1324081baf22c75,372617}",347.0,27110.0,347.0,27110.0,0.0,0.0
proxygen,2019-09-23 14:59:42.306000,"{proxygen,afl,libfuzzer}","{fb645ee16a001db734551456318896fe7f33f289,1f414d53535ea470bba3858bc1324081baf22c75,372617}",2019-09-24 14:57:53.952000,"{proxygen,afl,libfuzzer}","{7c32c340b3b1f62b37c52eab4564fa67fc5ff1e4,1f414d53535ea470bba3858bc1324081baf22c75,372764}",347.0,27110.0,347.0,27110.0,0.0,0.0
proxygen,2019-09-24 14:57:53.952000,"{proxygen,afl,libfuzzer}","{7c32c340b3b1f62b37c52eab4564fa67fc5ff1e4,1f414d53535ea470bba3858bc1324081baf22c75,372764}",2019-09-25 15:14:56.426000,"{proxygen,afl,libfuzzer}","{e2d0786df69873682613a5d89bba79a3a371531d,1f414d53535ea470bba3858bc1324081baf22c75,372884}",347.0,27110.0,347.0,27110.0,0.0,0.0
proxygen,2019-09-25 15:14:56.426000,"{proxygen,afl,libfuzzer}","{e2d0786df69873682613a5d89bba79a3a371531d,1f414d53535ea470bba3858bc1324081baf22c75,372884}",2019-09-26 15:00:40.261000,"{proxygen,afl,libfuzzer}","{88bd1172e00f862a0540e918b51e7069a6c23ee6,1f414d53535ea470bba3858bc1324081baf22c75,372981}",347.0,27110.0,347.0,27115.0,5.0,-0.00023602627523411357
proxygen,2019-09-26 15:00:40.261000,"{proxygen,afl,libfuzzer}","{88bd1172e00f862a0540e918b51e7069a6c23ee6,1f414d53535ea470bba3858bc1324081baf22c75,372981}",2019-09-27 15:05:37.421000,"{proxygen,afl,libfuzzer}","{6c378bf16df75537cc767214e043e7728997d196,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373090}",347.0,27115.0,3846.0,27150.0,35.0,12.886011392034947
proxygen,2019-09-27 15:05:37.421000,"{proxygen,afl,libfuzzer}","{6c378bf16df75537cc767214e043e7728997d196,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373090}",2019-09-27 18:55:23.162000,"{proxygen,afl,libfuzzer}","{6c378bf16df75537cc767214e043e7728997d196,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373109}",3846.0,27150.0,3846.0,27150.0,0.0,0.0
proxygen,2019-09-27 18:55:23.162000,"{proxygen,afl,libfuzzer}","{6c378bf16df75537cc767214e043e7728997d196,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373109}",2019-09-29 00:38:59.785000,"{proxygen,afl,libfuzzer}","{828a5bb15a8a38173fc34b7173a5c1ce3a840bda,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373153}",3846.0,27150.0,3846.0,27150.0,0.0,0.0
proxygen,2019-09-29 00:38:59.785000,"{proxygen,afl,libfuzzer}","{828a5bb15a8a38173fc34b7173a5c1ce3a840bda,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373153}",2019-09-29 15:01:00.368000,"{proxygen,afl,libfuzzer}","{e273e61785d256a2bc3b88e56fa036bdf853f851,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373166}",3846.0,27150.0,3846.0,27150.0,0.0,0.0
proxygen,2019-09-29 15:01:00.368000,"{proxygen,afl,libfuzzer}","{e273e61785d256a2bc3b88e56fa036bdf853f851,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373166}",2019-09-30 15:08:47.043000,"{proxygen,afl,libfuzzer}","{e4f5f3d4829ab0189e578feae1b783b58d34d2cc,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373215}",3846.0,27150.0,3846.0,27150.0,0.0,0.0
proxygen,2019-09-30 15:08:47.043000,"{proxygen,afl,libfuzzer}","{e4f5f3d4829ab0189e578feae1b783b58d34d2cc,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373215}",2019-10-01 15:09:13.646000,"{proxygen,afl,libfuzzer}","{39959e29d638e0e630d61b7e192bc45f2cf9ce9b,8da80951dd7eeeb3e3b5a3bcd36c485045f40274,373340}",3846.0,27150.0,3846.0,27150.0,0.0,0.0
